food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
173,10,1/2 lb. Cheese GrillBurger,820,48.0,20.0,1.5,170,910,46,2,11,52,0,0,0,0,0,0,0
174,10,1/2 lb. FlameThrower GrillBurger,990,67.0,24.0,1.5,195,1490,43,2,9,57,0,0,0,0,0,0,0
175,10,1/3 lb. Double with Cheese,540,27.0,12.0,1.0,105,710,35,2,6,38,0,0,0,0,0,0,0
176,10,1/4 lb. Bacon Cheese GrillBurger,620,33.0,13.0,1.0,100,1140,44,2,11,35,0,0,0,0,0,0,0
177,10,1/4 lb. DQ Ultimate GrillBurger,650,38.0,13.0,1.0,105,1100,43,2,10,34,0,0,0,0,0,0,0
178,10,1/4 lb. Mushroom Swiss GrillBurger,590,34.0,12.0,1.0,95,540,40,2,7,30,0,0,0,0,0,0,0
179,10,Deluxe Bacon Cheeseburger,480,26.0,10.0,0.5,70,750,35,2,7,25,0,0,0,0,0,0,0
180,10,Deluxe Cheeseburger,450,24.0,9.0,1.0,65,760,36,2,7,22,0,0,0,0,0,0,0
181,10,Chicken Bacon Ranch Sandwich,580,25.0,9.0,0.3,80,1590,46,3,4,40,0,0,0,0,0,0,0
182,10,Grilled Chicken Sandwich,410,15.0,2.5,0.1,35,1070,44,2,3,24,0,0,0,0,0,0,0
183,10,Turkey BLT Sandwich,550,29.0,8.0,0.3,75,1620,47,4,4,29,0,0,0,0,0,0,0
184,10,Crispy Chicken Sandwich,500,25.0,3.0,0.2,60,1160,45,3,4,23,0,0,0,0,0,0,0
185,10,Bacon Cheese Dog (5:1),440,20.0,9.0,1.0,65,1400,39,1,5,23,0,0,0,0,0,0,0
186,10,Bacon Cheese Dog (8:1),340,15.0,7.0,0.5,45,1000,32,1,4,18,0,0,0,0,0,0,0
187,10,Cheese Dog (5:1),410,18.0,8.0,1.0,55,1250,39,1,5,21,0,0,0,0,0,0,0
188,10,Cheese Dog (8:1),310,13.0,6.0,0.5,35,840,32,1,4,15,0,0,0,0,0,0,0
189,10,Chili Cheese Dog (5:1),420,18.0,8.0,1.0,60,1250,41,1,5,22,0,0,0,0,0,0,0
190,10,Chili Cheese Dog (8:1),320,13.0,6.0,0.5,40,850,34,1,4,16,0,0,0,0,0,0,0
191,10,Relish Dog (5:1),370,14.0,5.0,0.5,45,1240,42,1,8,17,0,0,0,0,0,0,0
192,10,Relish Dog (8:1),270,8.0,3.0,0.4,25,830,35,1,7,12,0,0,0,0,0,0,0
193,10,Chicken BLT Salad - Grilled Chicken,260,11.0,4.5,0.1,65,1160,10,3,6,32,0,0,0,0,0,0,0
194,10,Chicken BLT Salad - Crispy Chicken,380,20.0,5.0,0.2,65,1110,27,4,5,26,0,0,0,0,0,0,0
195,10,Chicken Strip Basket - 4 piece,810,38.0,6.0,0.0,60,2530,83,6,1,34,0,0,0,0,0,0,0
196,10,Chicken Strip Basket - 6 piece,1050,49.0,8.0,0.0,90,3190,101,7,1,48,0,0,0,0,0,0,0
197,10,Chicken Strips - 3 pieces,350,17.0,1.5,0.1,50,990,28,2,0,22,0,0,0,0,0,0,0
198,10,Side Salad,25,0.1,0.0,0.0,0,15,5,2,3,1,0,0,0,0,0,0,0
