food_id,menu_id,food_name,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
309,15,Berry Pomegranate Julius - Small,250,0.4,0.0,0.0,0,35,63,1,61,0.4,0,0,0,0,0,0,0
310,15,Berry Pomegranate Julius - Simple Syrup - Small,330,0.2,0.0,0.0,0,35,87,1,84,0.4,0,0,0,0,0,0,0
311,15,Berry Pomegranate Julius - Medium,340,0.5,0.0,0.0,0,45,84,1,81,1.0,0,0,0,0,0,0,0
312,15,Berry Pomegranate Julius - Simple Syrup - Medium,430,0.3,0.0,0.0,0,45,114,1,110,1.0,0,0,0,0,0,0,0
313,15,Berry Pomegranate Julius - Large,500,0.5,0.0,0.0,0,70,125,1,121,1.0,0,0,0,0,0,0,0
314,15,Berry Pomegranate Julius - Simple Syrup - Large,650,0.5,0.1,0.0,0,65,173,1,168,1.0,0,0,0,0,0,0,0
315,15,Mango Pineapple Julius - Small,240,0.2,0.0,0.0,0,35,58,0,57,0.4,0,0,0,0,0,0,0
316,15,Mango Pineapple Julius - Medium,310,0.2,0.0,0.0,0,45,78,1,76,1.0,0,0,0,0,0,0,0
317,15,Mango Pineapple Julius - Simple Syrup - Small,340,0.1,0.0,0.0,0,35,90,0,88,0.5,0,0,0,0,0,0,0
318,15,Mango Pineapple Julius - Simple Syrup - Medium,450,0.1,0.0,0.0,0,45,118,1,116,1.0,0,0,0,0,0,0,0
319,15,Mango Pineapple Julius - Large,470,0.4,0.0,0.0,0,70,117,1,114,1.0,0,0,0,0,0,0,0
320,15,Mango Pineapple Julius - Simple Syrup - Large,680,0.2,0.0,0.0,0,70,180,1,176,1.0,0,0,0,0,0,0,0
321,15,Orange Julius - Small,200,0.1,0.0,0.0,0,35,50,0,48,1.0,0,0,0,0,0,0,0
322,15,Orange Julius - Simple Syrup - Small,210,0.0,0.0,0.0,0,25,55,0,53,1.0,0,0,0,0,0,0,0
323,15,Orange Julius - Medium,260,0.1,0.0,0.0,0,45,65,0,62,1.0,0,0,0,0,0,0,0
324,15,Orange Julius - Simple Syrup - Medium,270,0.0,0.0,0.0,0,35,72,0,70,1.0,0,0,0,0,0,0,0
325,15,Orange Julius - Large,400,0.2,0.0,0.0,0,65,99,0,95,1.0,0,0,0,0,0,0,0
326,15,Orange Julius - Simple Syrup - Large,410,0.0,0.0,0.0,0,55,110,0,106,1.0,0,0,0,0,0,0,0
327,15,OrangeBerry Julius - Small,230,0.2,0.0,0.0,0,35,59,0,57,1.0,0,0,0,0,0,0,0
328,15,OrangeBerry Julius - Simple Syrup - Small,250,0.1,0.0,0.0,0,30,68,0,66,1.0,0,0,0,0,0,0,0
329,15,OrangeBerry Julius - Medium,310,0.2,0.0,0.0,0,45,80,1,76,1.0,0,0,0,0,0,0,0
330,15,OrangeBerry Julius - Simple Syrup - Medium,330,0.1,0.0,0.0,0,40,89,1,87,1.0,0,0,0,0,0,0,0
331,15,OrangeBerry Julius - Large,470,0.3,0.0,0.0,0,70,120,1,115,2.0,0,0,0,0,0,0,0
332,15,OrangeBerry Julius - Simple Syrup - Large,510,0.1,0.0,0.0,0,60,137,1,132,1.0,0,0,0,0,0,0,0
333,15,Pina Colada Julius - Small,380,4.5,4.5,0.1,0,75,81,2,75,2.0,0,0,0,0,0,0,0
334,15,Pina Colada Julius - Simple Syrup - Small,400,6.0,6.0,0.1,0,80,88,2,80,2.0,0,0,0,0,0,0,0
335,15,Pina Colada Julius - Medium,510,7.0,6.0,0.1,0,105,108,2,100,3.0,0,0,0,0,0,0,0
336,15,Pina Colada Julius - Simple Syrup - Medium,520,8.0,7.0,0.1,0,100,115,3,105,2.0,0,0,0,0,0,0,0
337,15,Pina Colada Julius - Large,750,9.0,9.0,0.1,0,150,163,3,151,4.0,0,0,0,0,0,0,0
338,15,Pina Colada Julius - Simple Syrup - Large,790,12.0,11.0,0.1,0,160,175,4,160,4.0,0,0,0,0,0,0,0
339,15,Pineapple Orange Straw. Julius - Small,240,0.2,0.0,0.0,0,35,61,1,58,1.0,0,0,0,0,0,0,0
340,15,Pineapple Orange Straw. Julius - Simple Syrup - Small,290,0.1,0.0,0.0,0,30,78,1,76,1.0,0,0,0,0,0,0,0
341,15,Pineapple Orange Straw. Julius - Medium,310,0.3,0.0,0.0,0,45,80,1,76,1.0,0,0,0,0,0,0,0
342,15,Pineapple Orange Straw. Julius - Simple Syrup - Medium,380,0.1,0.0,0.0,0,40,102,1,99,1.0,0,0,0,0,0,0,0
343,15,Pineapple Orange Straw. Julius - Large,480,0.4,0.0,0.0,0,70,121,1,116,2.0,0,0,0,0,0,0,0
344,15,Pineapple Orange Straw. Julius - Simple Syrup - Large,580,0.2,0.0,0.0,0,60,156,1,151,2.0,0,0,0,0,0,0,0
345,15,Strawberry Banana Julius - Small,330,4.5,4.5,0.1,0,70,72,1,64,2.0,0,0,0,0,0,0,0
346,15,Strawberry Banana Julius - Simple Syrup - Small,400,6.0,6.0,0.1,0,80,93,2,82,2.0,0,0,0,0,0,0,0
347,15,Strawberry Banana Julius - Medium,460,7.0,7.0,0.1,0,100,100,2,88,3.0,0,0,0,0,0,0,0
348,15,Strawberry Banana Julius - Simple Syrup - Medium,530,8.0,7.0,0.1,0,105,121,3,108,3.0,0,0,0,0,0,0,0
349,15,Strawberry Banana Julius - Large,670,9.0,9.0,0.1,0,140,148,3,131,4.0,0,0,0,0,0,0,0
350,15,Strawberry Banana Julius - Simple Syrup - Large,810,12.0,11.0,0.1,0,160,185,4,164,5.0,0,0,0,0,0,0,0
351,15,Strawberry Julius - Small,220,0.2,0.0,0.0,0,35,58,1,56,1.0,0,0,0,0,0,0,0
352,15,Strawberry Julius - Medium,300,0.3,0.0,0.0,0,45,77,1,74,1.0,0,0,0,0,0,0,0
353,15,Strawberry Julius - Simple Syrup - Small,300,0.1,0.0,0.0,0,35,81,1,79,1.0,0,0,0,0,0,0,0
354,15,Strawberry Julius - Simple Syrup - Medium,390,0.1,0.0,0.0,0,45,106,1,104,1.0,0,0,0,0,0,0,0
355,15,Strawberry Julius - Large,450,0.4,0.0,0.0,0,70,116,1,112,1.0,0,0,0,0,0,0,0
356,15,Strawberry Julius - Simple Syrup - Large,600,0.2,0.0,0.0,0,65,163,1,158,1.0,0,0,0,0,0,0,0
357,15,Strawberry Watermelon Julius - Small,240,0.2,0.0,0.0,0,40,60,0,57,0.4,0,0,0,0,0,0,0
358,15,Strawberry Watermelon Julius - Simple Syrup - Small,270,0.0,0.0,0.0,0,30,71,0,69,0.4,0,0,0,0,0,0,0
359,15,Strawberry Watermelon Julius - Medium,310,0.2,0.0,0.0,0,50,80,1,76,1.0,0,0,0,0,0,0,0
360,15,Strawberry Watermelon Julius - Simple Syrup - Medium,360,0.1,0.0,0.0,0,40,96,0,93,0.5,0,0,0,0,0,0,0
361,15,Strawberry Watermelon Julius - Large,470,0.3,0.0,0.0,0,75,120,1,115,1.0,0,0,0,0,0,0,0
362,15,Strawberry Watermelon Julius - Simple Syrup - Large,550,0.1,0.0,0.0,0,65,146,1,141,1.0,0,0,0,0,0,0,0
363,15,Tripleberry Julius - Small,340,5.0,4.5,0.1,0,70,74,1,68,1.0,0,0,0,0,0,0,0
364,15,Tripleberry Julius - Simple Syrup - Small,460,6.0,6.0,0.1,0,80,105,2,97,2.0,0,0,0,0,0,0,0
365,15,Tripleberry Julius - Medium,470,7.0,7.0,0.1,0,100,102,2,92,2.0,0,0,0,0,0,0,0
366,15,Tripleberry Julius - Simple Syrup - Medium,600,8.0,7.0,0.1,0,105,137,2,127,3.0,0,0,0,0,0,0,0
