food_id	menu_id	food_name	serving_size	calories	fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	fiber	sugar	protein	vit_a	vit_c	calcium	iron	is_vegetarian	is_vegan	is_gf	
143010	23047	Broccoli Cheddar	10.5 oz.	390	29	18	0	85	910	18	1	1	13	20	30	35	20	0	0	1	0
143011	23047	Hearty Chicken Noodle Soup	10.5 oz.	110	3	0.5	0	35	750	11	1	2	11	100	4	2	0	0	0	0	1
143012	23047	Moroccan Lentil with Harissa	10.5 oz.	210	7	1	0	0	690	30	11	4	10	0	0	6	20	1	1	1	0
143013	23047	Mushroom Bisque	10.5 oz.	280	19	7	6	30	780	21	2	5	6	45	0	4	6	0	0	1	0
143014	23047	Pasta Fagioli	10.5 oz.	260	7	2	0	10	910	49	6	4	19	10	15	20	30	0	0	0	0
143015	23047	Tomato Bisque	10.5 oz.	190	13	8	0	45	630	21	4	10	5	35	4	6	15	0	0	1	0
143016	23047	Tomato Soup with Brown Rice	10.5 oz.	120	3.5	2.5	0	5	570	18	2	7	4	35	6	2	0	0	0	1	0
143017	23047	White Chicken Chili	10.5 oz.	390	16	6	0	80	800	49	20	5	31	0	0	10	30	0	0	1	0
143018	23048	Harvest Salad		220	13	3	0	10	260	19	3	13	7	80	4	10	6	1	1	1	0
143019	23048	Harvest Salad with Chicken		330	16	3.5	0	75	710	19	3	13	28	80	6	15	10	0	0	0	0
143020	23048	Harvest Salad with Salmon		450	29	6	0	20	280	19	3	13	31	80	8	20	6	0	0	0	1
143021	23048	Hot Smoked Salmon with Bean Salad		460	290	4	0	10	110	11	5	7	41	15	15	15	10	0	0	0	0
143022	23048	Iceberg Wedge Salad		290	26	6	0	35	620	7	1	2	7	15	10	2	2	0	0	0	0
143023	23048	Marinated Salmon		360	26	2.5	0	5	750	14	1	10	19	40	25	2	8	0	0	0	0
143024	23048	Najad Salmon		240	14	2.5	0	0	5	8	3	6	20	8	15	4	6	0	0	0	0
143025	23048	Side Salad		15	0	0	0	0	15	4	1	2	1	35	10	2	2	0	0	0	0
143026	23050	Bacon - pre-cooked (3 strips)		80	8	2.5	0	15	270	0	0	0	5	0	0	0	0	0	0	1	0
143027	23050	Gravad Lax with Bagel		390	14	4.5	0	15	900	39	1	4	25	2	0	8	10	0	0	0	0
143028	23050	Gravad Lax with Rye Crispbread		290	14	5	0	15	800	19	4	2	21	2	0	2	2	0	0	0	0
143029	23050	Hash Browns	6 oz.	390	19	2	0	0	980	48	5	0	6	0	0	0	0	0	0	0	0
143030	23050	Kid's Pancake and Chicken Sausage		230	10	3	0	110	510	22	2	3	11	2	0	6	6	0	0	0	0
143031	23050	Regular Breakfast		420	25	5	0	415	990	28	0	1	22	10	8	8	10	0	0	0	0
143032	23050	Scrambled Eggs	4 oz.	170	12	3.5	0	375	170	3	0	1	11	10	0	6	10	0	0	1	0
143033	23050	Swedish American Breakfast		680	34	8	0	505	1350	62	3	16	30	10	10	15	15	0	0	0	0
143034	23050	Swedish Pancakes (3) w Strawberry Jam (1 oz.)		390	15	4	0	155	590	49	4	15	12	2	0	15	6	0	0	0	0
143035	23051	Braised Beef Tenderloin w/Mashed Potatoes and Fall Medley		540	29	11	1	130	1110	26	4	5	46	0	0	8	40	0	0	0	0
