food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
100000,20000,Chicken Noodle,8 oz,70,2,0,0,15,720,10,1,1,4,0,0,0,0,0,0,0
100001,20000,Clam Chowder,8 oz,200,9,5,0,35,1110,18,1,9,11,0,0,0,0,0,0,0
100002,20000,Country Potato,8 oz,220,10,4.5,0,35,880,21,1,8,10,0,0,0,0,0,0,0
100003,20000,Hearty Vegetable,8 oz,60,5,0,0,0,910,12,2,2,3,0,0,0,0,0,0,0
100004,20000,Hot and Sour,8 oz,90,4,5,0,10,850,10,1,2,4,0,0,0,0,0,0,0
100005,20000,Mangia Mangia Mushroom,8 oz,220,15,8,0,50,720,18,2,5,5,0,0,0,0,0,0,0
100006,20000,Mushroom Bisque,8 oz,180,9,4,0,20,960,16,1,9,7,0,0,0,0,0,0,0
100007,20000,Tomato Bisque,8 oz,310,26,14,0,80,870,17,2,8,3,0,0,0,0,0,0,0
100008,20000,Vegetarian Chili,8 oz,140,2,0,0,0,1140,26,6,4,7,0,0,0,0,0,0,0
100009,20000,Wisconsin Cheese,8 oz,190,9,5,0,30,780,17,1,9,10,0,0,0,0,0,0,0
100010,20001,Bacon,15 g,80,6,2,0,15,320,0,0,0,5,0,0,0,0,0,0,0
100011,20001,Beets,1 oz,10,0,0,0,0,71,2,1,2,1,0,0,0,0,0,0,0
100012,20001,Black Olives,1 oz,53,5,0,0,0,248,2,0,0,0,0,0,0,0,0,0,0
100013,20001,Carrots,1 oz,12,1,1,0,0,10,3,1,2,1,4,59,0,1,0,0,0
100014,20001,Cheddar Cheese,1 oz,120,10,6,0,30,190,1,0,0,7,0,6,20,0,0,0,0
100015,20001,Cottage Cheese,4 oz,110,5,3,0,25,430,4,0,3,12,0,2,10,0,0,0,0
100016,20001,Cucumbers,1 oz,4,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0
100017,20001,Grape Tomatoes,3 oz,25,0,0,0,0,0,6,1,3,0,40,8,0,2,0,0,0
100018,20001,Iceberg Lettuce,3.5 oz,20,4,0,0,0,9,2,14,0,1,4,20,4,1,0,0,0
100019,20001,Mushrooms,1 oz,7,1,0,0,0,1,1,1,4,1,1,0,0,2,0,0,0
100020,20001,Onion (Red),1 oz,15,0,0,0,0,25,15,75,0,1,15,10,4,2,0,0,0
100021,20001,Pineapple,1 oz,14,0,0,0,0,2,3,1,3,1,4,0,0,0,0,0,0
100022,20001,Spinach,3 oz,10,0,0,0,0,100,7,7,0,2,35,90,6,30,0,0,0
100023,20002,Balsamic Vinaigrette,1 oz,60,5,1,0,0,190,4,0,3,0,0,0,0,0,0,0,0
100024,20002,Bleu Cheese,1 oz,160,17,3,0,15,260,2,0,1,1,0,0,2,0,0,0,0
100025,20002,Caesar,1 oz,150,16,3,0,0,300,29,0,1,1,0,2,2,0,0,0,0
100026,20002,Fat Free French,1 oz,30,0,0,0,0,310,8,1,5,0,0,0,0,0,0,0,0
100027,20002,Greek Feta,1 oz,70,45,3,0,15,270,1,1,0,5,0,4,10,0,0,0,0
100028,20002,Honey Mustard,1 oz,160,16,2.5,0,10,140,5,0,5,0,0,0,0,0,0,0,0
100029,20002,Ranch,1 oz,180,20,3,0,3,250,1,0,1,0,0,0,0,0,0,0,0
100030,20002,Raspberry Vinaigrette,1 oz,35,0,0,0,0,80,8,0,7,0,0,0,0,0,0,0,0
100031,20002,Thousand Island,1 oz,120,11,1.5,0,5,300,5,0,4,0,2,2,0,0,0,0,0
100032,20003,Chow Mein Noodles,1/2 cup,140,6,1,0,0,230,19,1,4,3,0,0,0,6,0,0,0
100033,20003,Crackers,1 pkg,25,5,0,0,0,80,4,1,0,1,0,0,0,0,0,0,0
100034,20003,Croutons,7 pieces,35,15,0,0,0,90,4,0,0,1,0,0,0,0,0,0,0
100035,20004,Chicken,3 oz,102,3.4,0,0,60,68,0,0,0,18,2,0,2,4,0,0,0
100036,20004,Lamp,3 oz,126,6.8,0,0,55,56,0,0,0,17,0,0,0,8,0,0,0
100037,20004,NY & KC Strip,3 oz,79,1.2,37,0,47,272,1.1,0,0.7,16,0,0,3,38,0,0,0
100038,20004,Pork,3 oz,123,5.1,0,0,51,46,0,0,0,18,1,0,1,4,0,0,0
100039,20004,Ribeye,3 oz,123,4.3,0,0,50,54,0,0,0,18,0,0,0,4,0,0,0
100040,20004,Sausage,3 oz,273,26,9,0,53,660,2,0,0,9,0,0,0,0,0,0,0
100041,20004,Turkey,3 oz,102,3.4,0,0,55,60,0,0,0,19,0,0,0,0,0,0,0
100042,20005,Calamari,3 oz,78,1.2,1.5,0,215,130,2.6,0,0,15,2,4,2,2,0,0,0
100043,20005,Crawfish,3 oz,80,2,1,0,125,100,0,0,0,15,0,15,4,6,0,0,0
100044,20005,Krab (Surimi),3 oz,85,1,0,0,9,771,9,0,0,10,0,0,0,0,0,0,0
100045,20005,Mussels,3 oz,148,3.8,5,0,30,290,6.3,0,0,20,12,2,2,22,0,0,0
100046,20005,Salmon,3 oz,156,10,2,0,50,50,0,0,0,17,6,0,1,2,0,0,0
100047,20005,Scallops,3 oz,84,1,0,0,29,202,3,0,0,16,3,0,2,0,0,0,0
100048,20005,Shrimp,3 oz,65,0,0,0,65,550,0,0,0,14,0,0,6,0,0,0,0
100049,20005,Tuna,3 oz,112,4,0,0,39,52,0,0,0,20,0,0,0,0,0,0,0
100050,20006,Bean Sprouts,1 oz,29,0,0,0,0,1,19,0,0,1.1,0,0,0,0,0,0,0
100051,20006,Broccoli,1 oz,8,1,0,0,0,8,15,0,57,84,44,17,1,1,0,0,0
100052,20006,Celery,1 oz,5,0,0,0,0,25,1,48,28,21,3,0,1,0,0,0,0
100053,20006,Chopped Garlic,1 tsp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100054,20006,Corn (Baby),1 oz,5.7,0,0,0,0,64,1,45,23,23,0,2,0,0,0,0,0
100055,20006,Edamame,4 oz,17.1,7.3,8,0,0,16,12.5,4.8,2,14,4,0,4,8,0,0,0
100056,20006,Jalapenos (Fresh),1 oz,10,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0
100057,20006,Mushrooms,1 oz,7,1,0,0,0,1,1,34,4,8,1,0,0,2,0,0,0
100058,20006,Onion (Yellow),1 oz,11,1,0,0,0,1,2,1,2,1,3,0,0,0,0,0,0
100059,20006,Pea Pods,1 oz,11,1,0,0,0,2.5,2.5,1,1,1,23,0,1,1,0,0,0
100060,20006,Peppers,1 oz,8,0.1,0,0,0,6,2,1,1,1,42,4,0,0,0,0,0
100061,20006,Pineapple,1 oz,14,0,0,0,0,2,3,1,3,1,4,0,0,0,0,0,0
100062,20006,Redskin Potatoes,3 oz,60,0,0,0,0,10,13,1,0,2,15,0,0,2,0,0,0
100063,20006,Scallions,1/4 cup,10,0,0,0,0,5,2,1,1,0,0,2,0,0,0,0,0
100064,20006,Tomatoes,3.5 oz,15,2,0,0,0,4,3.3,1,2.2,9,40,8,0,2,0,0,0
100065,20006,Water Chestnuts,1 oz,9,0,0,0,0,5,2,1,1,1,0,0,0,2,0,0,0
100066,20006,Egg,1 egg,70,5,16,0,213,66,1,0,0,5,0,6,2,4,0,0,0
100067,20006,Tofu,4 oz,94,3,0,0,0,0,4,1,1,13,0,0,15,20,0,0,0
100068,20007,Pasta,2 oz,210,1,0,0,0,0,42,2,2,7,0,0,0,10,0,0,0
100069,20007,Lo Mein,2 oz,161,0.5,0.4,0,4.4,742,33,1.5,0,6,0,0,14,47,0,0,0
100070,20008,Rice,3/4 cup,160,0,0,0,0,0,35,0,2,3,0,0,0,8,0,0,0
100071,20008,Tottillas,1 tortilla,100,2.5,5,0,0,240,15,1,0,2,0,0,6,4,0,0,0
100072,20009,Barbeque,1 oz,41,42,0,0,0,169,9.3,0,5.8,0.4,0,0,0,0,0,0,0
100073,20009,Black Bean,1 oz,50,1,0,0,0,340,8,1,4,1,0,0,0,0,0,0,0
100074,20009,Burgundy Wine,1 oz,36,1,0,0,0,510,5,0,3,1,0,0,0,0,0,0,0
100075,20009,Chili Garlic,1 oz,40.1,2.8,46,0,0,840,3,1,2,0,0,0,0,0,0,0,0
100076,20009,Fajita,1 oz,80,6,1,0,0,130,7,1,3,1,0,0,0,0,0,0,0
100077,20009,Kung Pao,1 oz,34.2,58,0,0,0,362,6.6,0.1,5.8,0.6,0,0,0,0,0,0,0
100078,20009,Lemon,1 oz,22.7,0,0,0,0,85,5.7,0,4.8,0,0,0,0,0,0,0,0
100079,20009,Mongo Marinara,1 oz,36,1,0,0,0,180,6,1,2,1,0,0,0,0,0,0,0
100080,20009,Mongolian Ginger,1 oz,41.7,1.1,0,0,0,461,7.1,0,6.2,0.8,0,0,0,0,0,0,0
100081,20009,Mustard,1 oz,28.8,2.9,0,0,0,450,0,1,9,0,0,0,0,0,0,0,0
100082,20009,Peanut,1 oz,70,4,1,0,0,380,7,0,5,1,0,0,0,0,0,0,0
100083,20009,Shiitake Mushroom,1 oz,45,0,0,0,0,760,9,0,6,2,0,0,0,0,0,0,0
100084,20009,Soy,1 oz,10.1,0,0,0,0,613,1,0,0,1,0,0,0,0,0,0,0
100085,20009,Spicy Buffalo,1 oz,40.2,4.5,74,0,0,369,0,0,0,0,0,0,0,0,0,0,0
100086,20009,Sweet & Sour,1 oz,34.5,0,0,0,0,133,8.4,0.1,5.3,2,0,0,0,0,0,0,0
100087,20009,Teriyaki,1 oz,26.5,0,0,0,0,310,6.6,0,5.5,38,0,0,0,0,0,0,0
100088,20009,Wasabi,1 oz,70,6,3,0,15,150,3,0,1,1,0,0,0,0,0,0,0
100089,20009,Sesame/Vegetable Oil Blend,1 oz,120,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100090,20010,Apple Cobbler,large,1335,65,25,0,120,1166,180,5,113,13.5,0,0,0,0,0,0,0
100091,20010,Apple Cobbler,small,762,38,15,0,116,609,99,2.5,65,9,0,0,0,0,0,0,0
100092,20010,Big Brownie,1 brownie,1532,66,47,0,277,492,179,3,150,18,0,0,0,0,0,0,0
100093,20010,Cheesecake,1 slice,470,33,19,0,110,360,37,1,28,8,0,0,0,0,0,0,0
100094,20010,Strawberry Cheesecake,1 slice,500,33,19,0,110,360,45,1.4,35,8,0,0,0,0,0,0,0
100095,20010,Mud Pie,1 slice,600,39,21,0,110,510,99,0,54,13,0,0,0,0,0,0,0
100096,20010,Snickers Bar Pie,1 slice,640,42,17,0,100,370,57,1,31,9,0,0,0,0,0,0,0
100097,20010,Vanilla Ice Cream,1/2 cup,160,10,6,0,75,36,15,0,14,3,0,0,0,0,0,0,0
100098,20010,Caramel Topping,2 tbsp,100,1.5,5,0,5,95,22,0,22,1,0,0,0,0,0,0,0
100099,20010,Fudge Topping,1/2 cup,317,10.9,10.3,0,8,398,53.4,1.9,45.6,2.8,0,0,0,0,0,0,0
100100,20010,Strawberry Topping,1/2 cup,150,0,0,0,0,0,38,2,35,1,0,0,0,0,0,0,0
100101,20010,Whipped Topping,2 tbsp,25,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
100102,20010,Peanuts,1/4 cup,201,17,2.4,0,0,6,6,3,1.4,9,0,0,0,0,0,0,0
