food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
100212,20036,Minced Chicken with Cool Lettuce Wraps,1/2 serving,250,4,0,0,0,0,31,3,15,22,0,0,0,0,0,0,0
100213,20036,Edamame,1/2 serving,156,8,0,0,0,0,12,5,4,14,0,0,0,0,0,0,0
100214,20036,Crispy Potstickers (4 Pieces),1/2 serving,130,7,0,0,0,0,10,0,1,6,0,0,0,0,0,0,0
100215,20036,Pei Wei Spring Rolls (2 Rolls),1/2 serving,90,5,0,0,0,0,11,1,3,2,0,0,0,0,0,0,0
100216,20036,Crab Wontons (4 Pieces),1/2 serving,190,13,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0
100217,20036,Wonton Soup,cup,110,1.5,0,0,0,0,23,3,4,5,0,0,0,0,0,0,0
100218,20036,Wonton Soup,bowl,260,4.5,0,0,0,0,49,6,8,12,0,0,0,0,0,0,0
100219,20036,Hot & Sour Soup,cup,150,9,0,0,0,0,11,2,0,7,0,0,0,0,0,0,0
100220,20036,Hot & Sour Soup,bowl,500,28,0,0,0,0,37,6,1,24,0,0,0,0,0,0,0
100221,20037,Asian Chopped Chicken Salad,1/2 serving,280,15,0,0,0,0,13,2,4,24,0,0,0,0,0,0,0
100222,20037,Asian Chopped Chicken Salad,1/2 serving,200,8,0,0,0,0,10,2,2,23,0,0,0,0,0,0,0
100223,20037,Pei Wei Spicy Chicken Salad,1/2 serving,350,16,0,0,0,0,28,2,8,22,0,0,0,0,0,0,0
100224,20037,Pei Wei Spicy Chicken Salad,1/2 serving,210,2.5,0,0,0,0,23,2,3,22,0,0,0,0,0,0,0
100225,20037,Vietnamese Chicken Salad Rolls,1/3 serving,80,4,0,0,0,0,9,1,3,3,0,0,0,0,0,0,0
100226,20038,Sweet Chile Sauce,1 serving - 2 oz,140,0,0,0,0,0,34,2,28,0,0,0,0,0,0,0,0
100227,20038,Thai Peanut Sauce,1 serving - 2 oz,168,11,0,0,0,0,15,1,11,5,0,0,0,0,0,0,0
100228,20038,Lettuce Wrap Sauce,1 serving - 2 oz,70,4.5,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0
100229,20038,Lime Vinaigrette,1 serving - 2 oz,230,20,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0
100230,20038,Sesame Ginger Dressing,1 serving - 2 oz,170,16,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0
100231,20038,Rice Sticks,1 cup - 2 oz,130,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
100232,20038,Fortune Cookie,1 serving - 2 oz,30,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0
100233,20039,Soba Miso Bowl - Chicken,1/2 serving,420,8,0,0,0,0,53,5,5,34,0,0,0,0,0,0,0
100234,20039,Soba Miso Bowl - Pork,1/2 serving,450,13,0,0,0,0,53,5,5,31,0,0,0,0,0,0,0
100235,20039,Soba Miso Bowl - Beef,1/2 serving,530,18,0,0,0,0,53,5,5,38,0,0,0,0,0,0,0
100236,20039,Soba Miso Bowl - Vegetables & Tofu,1/2 serving,360,7,0,0,0,0,57,7,7,19,0,0,0,0,0,0,0
100237,20039,Soba Miso Bowl - Shrimp,1/2 serving,360,6,0,0,0,0,51,5,5,26,0,0,0,0,0,0,0
100238,20039,Soba Miso Bowl - Scallops,1/2 serving,350,5,0,0,0,0,52,5,5,24,0,0,0,0,0,0,0
100239,20039,Dan Dan Noodles - Chicken,1/2 serving,390,7,0,0,0,0,54,3,9,26,0,0,0,0,0,0,0
100240,20039,Pad Thai - Chicken,1/2 serving,560,20,0,0,0,0,61,2,19,35,0,0,0,0,0,0,0
100241,20039,Pad Thai - Pork,1/2 serving,590,25,0,0,0,0,62,2,19,32,0,0,0,0,0,0,0
100242,20039,Pad Thai - Beef,1/2 serving,670,30,0,0,0,0,63,2,19,40,0,0,0,0,0,0,0
100243,20039,Pad Thai - Vegetables & Tofu,1/2 serving,470,17,0,0,0,0,66,4,21,18,0,0,0,0,0,0,0
