food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
100582,20081,Beets Julienne,2 tbsp,8,0,0,0,0,58,2,0,2,0,0,0,0,0,0,0,0
100583,20081,Blue Cheese,2 tbsp,60,5,3,0,13,235,0,0,0,4,0,0,0,0,0,0,0
100584,20081,Broccoli,2 tbsp,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
100585,20081,Bruschetta,2 tbsp,30,2.5,0.3,0,0,22,2,0.3,1.2,0.3,0,0,0,0,0,0,0
100586,20081,Cabbage,2 tbsp,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
100587,20081,Carrots,2 tbsp,6,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0
100588,20081,Cauliflower,2 tbsp,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
100589,20081,Celery,2 tbsp,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
100590,20081,Corn Kernels,2 tbsp,18,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0
100591,20081,Cottage Cheese 2%,2 tbsp,25,1,0,0,2,115,1,0,0,4,0,0,0,0,0,0,0
100592,20081,Cucumber,4 slices,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100593,20081,Edamame,2 tbsp,25,1,0,0,0,8,2,1,0,2,0,0,0,0,0,0,0
100594,20081,Eggplant Dip,2 tbsp,37,2.1,0.3,0,0,202,3.5,1.2,0.4,1.5,0,0,0,0,0,0,0
100595,20081,Garbanzo Beans,2 tbsp,36,0,0,0,0,90,7,1,0,1,0,0,0,0,0,0,0
100596,20081,Green Beans,2 tbsp,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100597,20081,Green Bell Peppers,2 tbsp,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100598,20081,Green Onions,2 tbsp,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
100599,20081,Greens: Lettuce - Iceberg,1/2 cup,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
100600,20081,Greens: Lettuce - Romaine,1/2 cup,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
100601,20081,Greens: Spinach,1/2 cup,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100602,20081,Greens: Spring Mix,1/2 cup,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
100603,20081,Hard Boiled Egg,2 tbsp,32,2,1,0,86,25,0,0,0,3,0,0,0,0,0,0,0
100604,20081,Hominy,2 tbsp,13,0,0,0,0,150,4,1,0,0,0,0,0,0,0,0,0
100605,20081,Hummus,2 tbsp,45,2,0,0,0,90,5,2,0,2,0,0,0,0,0,0,0
100606,20081,Jalapeño Peppers,2 tbsp,10,0,0,0,0,400,3,1,0,0,0,0,0,0,0,0,0
100607,20081,Jicama,2 tbsp,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
100608,20081,Kidney Beans,2 tbsp,26,0,0,0,0,111,5,1,0,2,0,0,0,0,0,0,0
100609,20081,Mushrooms,2 tbsp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100610,20081,Olives,2 tbsp,19,2,0,0,0,147,1,1,0,0,0,0,0,0,0,0,0
100611,20081,Peas,2 tbsp,14,0,0,0,0,20,2,1,1,1,0,0,0,0,0,0,0
100612,20081,Pepperoncini,2 tbsp,8,0,0,0,0,369,1,0,0,0,0,0,0,0,0,0,0
100613,20081,Radishes,2 tbsp,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100614,20081,Rainbow Rotini,2 tbsp,18,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0
100615,20081,Raisins,2 tbsp,63,0,0,0,0,2,16,1,14,1,0,0,0,0,0,0,0
100616,20081,Red Bell Pepper,2 tbsp,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100617,20081,Red Onions,2 tbsp,8,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
100618,20081,Snap Peas,2 tbsp,10,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0
100619,20081,Sunflower Seeds,2 tbsp,103,9,1,0,0,1,3,2,0,4,0,0,0,0,0,0,0
100620,20081,Sweet Corn,2 tbsp,18,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0
100621,20081,Tofu,2 tbsp,24,1,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0
100622,20081,Tomatoes,2 tbsp,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
