food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
100969,20095,Golden Fried Butterfly Shrimp (after 4pm),3.8 oz,377,23.8,3.6,0,63.2,459.1,28.6,0.8,0,7.5,2,2,3,15,0,0,0
100970,20095,Baked Fish with Lemon Herb Bread Crumbs,6.6 oz,477,27.1,5.3,0,100,930.7,25.3,1.3,1.8,31.7,1,24,16,16,0,0,0
100971,20095,Baked Salmon Vera Cruz,9.2 oz,294,18.7,3.1,0,58.8,988.9,8.1,1.7,4.3,24,71,24,4,8,0,0,0
100972,20095,Beef Enchiladas (AM PM),5.3 oz,316,20.8,9.3,0,59.6,621.2,18.5,2.3,1.6,14.3,18,11,13,11,0,0,0
100973,20095,Blackened Tilapia with Chipotle Tartar Sauce,4.5 oz,159,7,1.6,0,55,1263.1,2.8,1.2,0,21.6,1,23,2,10,0,0,0
100974,20095,Carved Maple Cinnamon Glazed Ham (AM),3 oz,130,7,3.5,0,45,1030,2,0,2,14,0,0,0,0,0,0,0
100975,20095,Carved Roast Beef (AM PM),6.9 oz,362,16,6,0,140.9,415,0.7,0,0,50.1,0,0,2,25,0,0,0
100976,20095,Carved Turkey (AM PM),2 oz,60,1.5,0,0,25,450,1,0,0,11,0,0,0,4,0,0,0
100977,20095,Cheese Enchiladas,7.1 oz,379,23.8,11.1,0,57.2,854.1,24.9,1.2,2.8,16.7,31,18,33,7,0,0,0
100978,20095,Chicken Enchiladas,5.8 oz,301,17.3,9.2,0,62,688.4,18.2,2.1,1.1,18.4,22,11,35,6,0,0,0
100979,20095,Chicken Fried Steak,7.9 oz,467,26.9,7.5,0,55.9,1319.2,32.3,1,2.5,22,0,0,4,21,0,0,0
100980,20095,Chicken Pot Pie,8.6 oz,407,29.4,8.4,0,46.1,910,24.3,1.7,3,12.2,6,25,4,11,0,0,0
100981,20095,Chopped Beef with Natural Gravy,6.1 oz,341,26.2,9.9,0,90.5,722.5,1.9,0.4,0.3,23,0,0,3,15,0,0,0
100982,20095,Coconut Chicken with Honey Mustard,10 oz,952,68,25.8,0,133.1,819.7,41.5,5.2,11,45.5,1,0,4,17,0,0,0
100983,20095,Fried Fish with Tartar Sauce,4 oz,403,21.1,3.2,0,33.6,891,38,1.9,0.9,15.6,0,6,2,8,0,0,0
100984,20095,Furr's Famous Fried Chicken,14.4 oz,724,27.8,7,0,228.2,2280.5,48.7,2,0.5,68.3,0,0,10,59,0,0,0
100985,20095,Glazed Meatloaf with Creole Sauce,5.5 oz,251,16.1,5.8,0,62.5,932.1,11.3,1.2,4.8,14.6,9,17,3,11,0,0,0
100986,20095,Liver & Grilled Onions,10.1 oz,572,34.8,5.1,0,415.8,977,30.6,2.1,3.7,33.8,13,520,3,49,0,0,0
