food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
102027,20144,"Salad Dressing, Ranch, Fat-Free ",2 tbl,36,0,0,0,0,352,7,1,0,1,0,0,0,0,0,0,0
102028,20144,"Salad, Piccadilly Fruit ",6 oz,78,0,0,0,0,3,20,3,0,1,0,0,0,0,0,0,0
102029,20144,"Salad, Shrimp Remoulade ",11.5 oz,516,28,2,0,383,870,33,5,0,31,0,0,0,0,0,0,0
102030,20144,"Salad, Spring Bowl ",2.5 oz,15,0,0,0,0,10,3,1,0,1,0,0,0,0,0,0,0
102031,20144,"Beef, Roast ",5.5 oz,481,30,13,0,141,292,3,1,0,48,0,0,0,0,0,0,0
102032,20144,"Chicken, Grilled Breast ",6 oz,478,26,5,0,138,242,23,1,0,36,0,0,0,0,0,0,0
102033,20144,"Fish, Tilapia, Baked ",1 order,210,11,2,0,0,550,10,1,0,17,0,0,0,0,0,0,0
102034,20144,"Pork Loin, Marinated Boneless ",5.5 oz,365,24,8,0,102,529,1,0,0,34,0,0,0,0,0,0,0
102035,20144,"Shrimp, Fried ",1 order,462,19,5,0,243,357,34,2,0,36,0,0,0,0,0,0,0
102036,20144,"Beans, Green, Fresh ",4.5 oz,136,11,4,0,12,291,8,4,0,3,0,0,0,0,0,0,0
102037,20144,"Broccoli, Fresh Florets ",4 oz,90,7,1,0,0,174,5,3,0,3,0,0,0,0,0,0,0
102038,20144,"Corn, Fresh ",4 oz,125,6,1,0,0,128,18,1,0,3,0,0,0,0,0,0,0
102039,20144,"Okra, Fried ",3.3 oz,242,13,3,0,0,473,26,4,0,4,0,0,0,0,0,0,0
102040,20144,"Rolls, White, Parker House ",1 each,147,5,1,0,0,198,22,1,0,3,0,0,0,0,0,0,0
102041,20144,"Rolls, Whole Wheat ",1 each,231,8,1,0,0,376,37,5,0,6,0,0,0,0,0,0,0
102042,20144,"Blueberry Pie, Sugar-Free ",1 slice,314,17,5,0,0,253,42,3,0,5,0,0,0,0,0,0,0
102043,20144,"Cherry Pie, Sugar-Free ",1 slice,334,17,5,0,0,253,45,1,0,5,0,0,0,0,0,0,0
102044,20144,"Chocolate Almond Pie, Sugar Free ",1 slice,612,44,32,0,1,564,49,2,0,5,0,0,0,0,0,0,0
102045,20145,"Cottage Cheese, Creamed ",4 oz,117,5,3,0,17,813,3,0,0,14,0,0,0,0,0,0,0
102046,20145,Cucumbers and Sour Cream,4.5 oz,86,6,3,0,28,121,6,1,0,2,0,0,0,0,0,0,0
102047,20145,"Salad Dressing, Blue Cheese ",2 tbl,160,18,3,0,20,210,1,0,0,1,0,0,0,0,0,0,0
102048,20145,"Salad Dressing, French ",2 tbl,130,13,2,0,0,240,5,0,0,0,0,0,0,0,0,0,0
102049,20145,"Salad Dressing, Italian ",2 tbl,160,17,3,0,0,561,1,0,0,0,0,0,0,0,0,0,0
102050,20145,"Salad Dressing, Ranch ",2 tbl,150,17,2,0,15,210,1,0,0,1,0,0,0,0,0,0,0
102051,20145,"Salad Dressing, Ranch, Fat Free ",2 tbl,36,0,0,0,0,352,7,1,0,1,0,0,0,0,0,0,0
102052,20145,"Salad Dressing, Thousand Island ",2 tbl,170,18,3,0,15,110,2,0,0,0,0,0,0,0,0,0,0
102053,20145,"Salad, Asparagus and Tomato ",1 order,88,5,1,0,4,118,10,2,0,2,0,0,0,0,0,0,0
102054,20145,"Salad, Caesar ",3 oz,143,11,3,0,11,317,7,1,0,5,0,0,0,0,0,0,0
102055,20145,"Salad, Cauliflower, Fresh ",3.5 oz,117,8,2,0,30,361,9,2,0,4,0,0,0,0,0,0,0
102056,20145,"Salad, Chef's",small - 6 oz,143,9,3,0,137,474,4,1,0,13,0,0,0,0,0,0,0
102057,20145,"Salad, Coleslaw, Italian ",3.8 oz,163,16,2,0,0,645,5,2,0,1,0,0,0,0,0,0,0
102058,20145,"Salad, Coleslaw, Kosher Style ",4 oz,143,13,2,0,0,77,7,2,0,1,0,0,0,0,0,0,0
102059,20145,"Salad, Combination ",3.5 oz,73,5,1,0,39,106,5,1,0,2,0,0,0,0,0,0,0
102060,20145,"Salad, Cucumber and Celery ",4 oz,74,4,1,0,0,141,9,1,0,1,0,0,0,0,0,0,0
102061,20145,"Salad, Cucumber and Tomato ",3.8 oz,41,0,0,0,0,109,10,1,0,1,0,0,0,0,0,0,0
102062,20145,"Salad, Cucumber Mix ",5.5 oz,61,4,1,0,0,107,7,2,0,1,0,0,0,0,0,0,0
102063,20145,"Salad, Louisianne Bowl ",1 order,44,3,2,0,9,112,2,1,0,4,0,0,0,0,0,0,0
102064,20145,"Salad, Mexican ",3.5 oz,58,3,0,0,0,54,8,1,0,1,0,0,0,0,0,0,0
102065,20145,"Salad, Piccadilly Bowl ",1 order,27,0,0,0,0,30,6,2,0,1,0,0,0,0,0,0,0
102066,20145,"Salad, Spring Salad Bowl",small - 2.5 oz,15,0,0,0,0,10,3,1,0,1,0,0,0,0,0,0,0
102067,20145,"Salad, Tomato, Cucumber and Onion ",4 oz,44,0,0,0,0,108,10,1,0,1,0,0,0,0,0,0,0
102068,20145,"Salad, Vegetable Combination w/Cherry Tom ",1 order,68,4,0,0,0,114,9,2,0,1,0,0,0,0,0,0,0
102069,20145,"Gumbo, Chicken (no rice) ",9.5 oz,98,2,1,0,23,1225,11,1,0,8,0,0,0,0,0,0,0
102070,20145,"Gumbo, Chicken and Sausage (no rice) ",9.5 oz,224,15,3,0,39,649,10,1,0,12,0,0,0,0,0,0,0
102071,20145,Au Jus,3 fl oz,6,0,0,0,0,457,1,0,0,0,0,0,0,0,0,0,0
102072,20145,"Beef, Chopped Steak, Fried Jumbo ",8 oz,737,59,23,0,136,726,11,0,0,34,0,0,0,0,0,0,0
102073,20145,"Beef, Chopped Steak, Fried Regular ",4.5 oz,414,33,13,0,77,408,6,0,0,19,0,0,0,0,0,0,0
102074,20145,"Beef, Roast Leg",small - 4 oz,352,22,9,0,103,213,2,1,0,35,0,0,0,0,0,0,0
102075,20145,"Beef, Steak, Filet Mignon ",6 oz,341,20,8,0,105,286,1,0,0,36,0,0,0,0,0,0,0
102076,20145,"Beef, Steak, New Your Strip ",10 oz,876,71,24,0,190,380,1,0,0,55,0,0,0,0,0,0,0
102077,20145,"Beef, Steak, Ribeye ",10 oz,1042,91,33,0,193,542,2,1,0,50,0,0,0,0,0,0,0
