food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
102310,20153,Artichoke Eggs Florentine,1 serving - 327 g,900,69,39,0,583,1524,46,4,2,26,8,105,25,35,0,0,0
102311,20153,Double Bacon Eggs Benedict,1 serving - 327 g,1059,81,44,0,633,2599,43,2,2,40,25,55,20,35,0,0,0
102312,20153,Smoked Turkey Eggs Benedict,1 serving - 327 g,940,69,39,0,608,1968,43,2,2,37,0,55,20,30,0,0,0
102313,20153,Three Eggs - Egg Whites - Bacon,1 serving - 279 g,521,26,8,0,61,2035,27,3,0,43,0,0,6,10,0,0,0
102314,20153,Three Eggs - Egg Whites - Canadian Bacon,1 serving - 279 g,316,6,2,0,33,1668,27,3,0,36,20,0,6,10,0,0,0
102315,20153,Three Eggs - Egg Whites - Chicken Sausage,1 serving - 279 g,333,10,3,0,68,1378,31,3,1,30,0,0,10,25,0,0,0
102316,20153,Three Eggs - Fried - Bacon,1 serving - 279 g,795,55,18,0,826,1503,26,3,1,45,30,25,15,30,0,0,0
102317,20153,Three Eggs - Fried - Canadian Bacon,1 serving - 279 g,573,32,9,0,810,1474,27,3,1,41,20,25,15,30,0,0,0
102318,20153,Three Eggs - Fried - Chicken Sausage,1 serving - 279 g,590,36,10,0,845,1184,30,3,2,35,0,25,20,40,0,0,0
102319,20153,Three Eggs - Poached - Bacon,1 serving - 259 g,657,41,13,0,694,1935,26,3,1,44,0,15,15,25,0,0,0
102320,20153,Three Eggs - Poached - Canadian Bacon,1 serving - 259 g,451,21,7,0,666,1568,26,3,1,37,20,15,15,25,0,0,0
102321,20153,Three Eggs - Poached - Chicken Sausage,1 serving - 259 g,469,24,8,0,701,1278,30,3,2,31,0,15,20,40,0,0,0
102322,20153,Three Eggs - Scrambled - Bacon,1 serving - 279 g,735,50,16,0,647,1632,28,3,3,41,30,20,15,25,0,0,0
102323,20153,Three Eggs - Scrambled - Canadian Bacon,1 serving - 279 g,513,27,8,0,632,1604,29,3,3,37,20,20,15,20,0,0,0
102324,20153,Three Eggs - Scrambled - Chicken Sausage,1 serving - 279 g,531,30,9,0,667,1313,33,3,4,31,0,20,20,35,0,0,0
102325,20153,Toad in the Hole - Scrambled Eggs,1 serving - 165 g,449,30,7,0,435,852,29,1,0,15,0,30,10,20,0,0,0
102326,20153,Toad in the Hole - Egg Whites,1 serving - 165 g,257,8,1,0,0,544,29,1,1,17,0,6,4,8,0,0,0
102327,20153,Toad in the Hole - Fried Eggs,1 serving - 144 g,383,22,5,0,420,543,29,1,1,17,0,20,10,20,0,0,0
102328,20153,Toad in the Hole - Poached Eggs,1 serving - 152 g,345,17,5,0,422,650,28,1,1,17,0,15,10,20,0,0,0
102329,20153,Two Egg Whites - Bacon,1 serving - 222 g,493,26,8,0,61,1855,26,3,0,37,0,0,6,10,0,0,0
102330,20153,Two Egg Whites - Canadian Bacon,1 serving - 222 g,287,6,2,0,33,1488,26,3,0,30,20,0,6,10,0,0,0
102331,20153,Two Eggs Whites - Chicken Sausage,1 serving - 222 g,305,10,3,0,68,1197,30,3,1,24,0,0,10,25,0,0,0
102332,20153,Two Fried Eggs - Bacon,1 serving - 201 g,638,44,14,0,469,1343,25,3,1,34,30,15,10,25,0,0,0
102333,20153,Two Fried Eggs - Canadian Bacon,1 serving - 201 g,416,20,6,0,453,1315,26,3,1,31,20,15,10,20,0,0,0
102334,20153,Two Fried Eggs - Chicken Sausage,1 serving - 201 g,433,24,7,0,488,1025,30,3,2,25,0,15,15,35,0,0,0
102335,20153,Two Poached Eggs - Bacon,1 serving - 209 g,584,36,11,0,483,1788,26,3,1,37,0,10,10,20,0,0,0
102336,20153,Two Poached Eggs - Canadian Bacon,1 serving - 209 g,378,16,5,0,455,1421,26,3,1,31,20,10,10,20,0,0,0
102337,20153,Two Poached Eggs - Chicken Sausage,1 serving - 209 g,395,20,6,0,490,1131,30,3,2,25,0,10,15,35,0,0,0
102338,20153,Two Scrambled Eggs - Bacon,1 serving - 222 g,704,52,16,0,483,1652,26,3,0,32,30,25,10,20,0,0,0
102339,20153,Two Scrambled Eggs - Canadian Bacon,1 serving - 222 g,483,29,7,0,468,1624,26,3,0,29,20,25,10,20,0,0,0
102340,20153,Two Srambled Eggs - Chicken Sausage,1 serving - 222 g,500,32,8,0,503,1333,30,3,1,23,0,25,15,30,0,0,0
102341,20153,Flap Jacks - Full Stack,1 serving - 680 g,1545,66,14,0,401,2987,193,0,0,44,4,25,150,70,0,0,0
102342,20153,Flap Jacks - Half Stack,1 serving - 680 g,1545,66,14,0,401,2987,193,0,0,44,4,25,150,70,0,0,0
102343,20153,Hashbrowns,1 serving - 57 g,154,9,2,0,54,288,16,1,0,3,20,2,0,4,0,0,0
102344,20153,Bacon Bomb - Egg Whites,1 serving - 213 g,198,7,4,0,31,809,2,0,1,29,10,4,10,4,0,0,0
102345,20153,Bacon Bomb - Whole Eggs,1 serving - 213 g,360,24,9,0,751,764,2,0,1,32,10,20,20,20,0,0,0
102346,20153,Grand Canyon - Canadian Bacon,1 serving - 298 g,382,24,9,0,751,768,7,1,4,33,55,25,20,20,0,0,0
102347,20153,Grand Canyon - Egg Whites - Canadian Bacon,1 serving - 298 g,199,10,3,0,25,662,8,1,5,28,45,10,15,6,0,0,0
