food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
103093,20170,Bartlett Pear & Caramelized Walnut (Veg),1 cup,180,12,2,0,5,220,13,2,10,4,0,0,0,0,0,0,0
103094,20170,BBQ Julienne Chopped with Chicken,1 cup,190,10,2,0,20,430,20,3,5,5,0,0,0,0,0,0,0
103095,20170,BBQ Smokehouse with Bacon & Peanuts,1 cup,190,10,3,0,10,530,19,3,4,6,0,0,0,0,0,0,0
103096,20170,Bombay Curry with Almonds & Coconut (Veg),1 cup,210,16,4,0.5,10,85,17,4,11,3,0,0,0,0,0,0,0
103097,20170,Caesar Salad Asiago (Non-Veg),1 cup,190,14,2,0,10,280,10,1,4,5,0,0,0,0,0,0,0
103098,20170,California Cobb with Bacon,1 cup,180,14,4,0,55,350,5,2,1,5,0,0,0,0,0,0,0
103099,20170,Cape Cod Spinach with Walnuts & Bacon,1 cup,170,14,2,0,5,270,6,4,5,4,0,0,0,0,0,0,0
103100,20170,Chicken Tortilla,1 cup,180,10,3,0,20,300,16,2,4,6,0,0,0,0,0,0,0
103101,20170,Classic Antipasto with Peppered Salami,1 cup,140,10,3,0,10,370,6,2,2,5,0,0,0,0,0,0,0
103102,20170,Classic Greek (Veg),1 cup,120,9,3,0,10,320,4,2,2,3,0,0,0,0,0,0,0
103103,20170,Club Blue BLT with Bacon,1 cup,250,16,4.5,0,25,600,20,3,4,6,0,0,0,0,0,0,0
103104,20170,Country French with Bacon,1 cup,210,18,6,0,20,420,7,2,1,10,0,0,0,0,0,0,0
103105,20170,Ensalada Azteca with Turkey,1 cup,130,9,3,0,15,230,7,4,3,6,0,0,0,0,0,0,0
103106,20170,Honey Minted Fruit Toss,1 cup,140,6,3.5,0,0,80,20,3,15,1,0,0,0,0,0,0,0
103107,20170,Italian Sub with Turkey & Salami,1 cup,260,17,6,0,20,470,18,2,5,9,0,0,0,0,0,0,0
103108,20170,Mandarin Spinach with Caramelized Walnuts (Veg),1 cup,170,11,1,0,0,150,14,3,11,3,0,0,0,0,0,0,0
103109,20170,Mediterranean (Veg),1 cup,150,11,1.5,0,5,430,9,4,2,4,0,0,0,0,0,0,0
103110,20170,Monterey Blue with Peanuts (Veg),1 cup,200,12,4,0,5,330,20,2,5,3,0,0,0,0,0,0,0
103111,20170,Outrageous Orange with Cashews (Veg),1 cup,200,14,1.5,0.5,10,95,16,2,8,3,0,0,0,0,0,0,0
103112,20170,Pesto Orzo with Pinenuts (Non-Veg),1 cup,220,17,3,0,10,320,14,2,5,4,0,0,0,0,0,0,0
103113,20170,Cherry Chipotle Spinach (Veg),1 cup,220,15,1.5,0,0,90,20,2,10,2,0,0,0,0,0,0,0
103114,20170,Ragin' Cajun (Veg),1 cup,180,13,1.5,0,0,280,15,3,7,2,0,0,0,0,0,0,0
103115,20170,Ranch House BLT with Turkey & Bacon,1 cup,180,11,4,0,15,390,10,6,2,6,0,0,0,0,0,0,0
103116,20170,Roasted Vegetables with Feta & Olives (Veg),1 cup,140,11,2,0,5,240,7,2,2,2,0,0,0,0,0,0,0
