food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
103695,20214,Venetian Toast,,0,0,5,0,0,0,20,1,0,18,0,0,0,0,0,0,0
103696,20214,Greek Toast,,0,0,12,0,0,0,74,12,0,24,0,0,0,0,0,0,0
103697,20214,Shrimp Cocktail,,0,0,0,0,0,0,8,1,0,22,0,0,0,0,0,0,0
103698,20214,Bruschetta,,0,0,3,0,0,0,44,5,0,10,0,0,0,0,0,0,0
103699,20214,Mussel Mania,,0,0,1,0,0,0,5,0,0,27,0,0,0,0,0,0,0
103700,20214,Spinach Dip,,0,0,10,0,0,0,5,2,0,9,0,0,0,0,0,0,0
103701,20214,Salmon Cocktail,,0,0,2,0,0,0,6,2,0,32,0,0,0,0,0,0,0
103702,20214,Sashimi Cocktail,,0,0,0,0,0,0,6,1,0,28,0,0,0,0,0,0,0
103703,20215,Chicken Spinach Wrap,,0,0,6,0,0,0,58,4,0,40,0,0,0,0,0,0,0
103704,20215,Fitness Rolls,,0,0,3,0,0,0,32,3,0,42,0,0,0,0,0,0,0
103705,20215,Fitness Maximus,,0,0,6,0,0,0,58,4,0,40,0,0,0,0,0,0,0
103706,20215,Power Wrap,,0,0,8,0,0,0,58,17,0,60,0,0,0,0,0,0,0
103707,20215,Salmon Tai Chi,,0,0,3,0,0,0,33,2,0,46,0,0,0,0,0,0,0
103708,20215,Kinki Ahi Rolls,,0,0,5,0,0,0,14,4,0,26,0,0,0,0,0,0,0
103709,20215,Three Musketeers,,0,0,1,0,0,0,36,5,0,48,0,0,0,0,0,0,0
103710,20215,Chicken Lettuce Wrap,,0,0,3,0,0,0,7,4,0,50,0,0,0,0,0,0,0
103711,20216,Chicken Pesto,,0,0,1,0,0,0,40,7,0,51,0,0,0,0,0,0,0
103712,20216,Fitness Tacos,,0,0,6,0,0,0,38,3,0,47,0,0,0,0,0,0,0
