food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
103941,20238,Chips & Salsa - Plain,4 oz,290,12,1.5,0,0,600,43,0,0,0,0,0,0,0,0,0,0
103942,20238,Nachos - Original Style,4 oz,400,29,16,0,70,680,20,0,0,0,0,0,0,0,0,0,0
103943,20238,Quesadilla - Original Style,4 oz,290,20,12,1,50,670,18,0,0,0,0,0,0,0,0,0,0
103944,20238,Tiki Tenders - Adult,4.5 oz,360,21,3.5,0,90,620,15,0,0,0,0,0,0,0,0,0,0
103945,20238,Cheddar Fries,4 oz,310,20,6,2,15,490,27,0,0,0,0,0,0,0,0,0,0
103946,20238,Cheddar Fries w/ Chili,4 oz,310,20,6,2,25,480,25,0,0,0,0,0,0,0,0,0,0
103947,20238,Large Fries,large order - 4 oz,290,17,3,2,0,460,32,0,0,0,0,0,0,0,0,0,0
103948,20238,Onion Rings,large order - 4 oz,380,15,2,2,0,990,55,0,0,0,0,0,0,0,0,0,0
103949,20238,Spinach Artichoke Dip w/ Chips,4 oz,290,19,8,0,35,470,25,0,0,0,0,0,0,0,0,0,0
103950,20239,Big Wave Burger w/ Cheese,17 oz,1220,75,30,2,220,1970,69,0,0,0,0,0,0,0,0,0,0
103951,20239,Big Wave Burger - Plain,14.5 oz,990,57,19,2,165,1130,63,0,0,0,0,0,0,0,0,0,0
103952,20239,Bleunami Burger,15.5 oz,1290,88,27,2,195,1240,65,0,0,0,0,0,0,0,0,0,0
103953,20239,Hawaiian Burger,19 oz,1450,91,31,2,225,1490,85,0,0,0,0,0,0,0,0,0,0
103954,20239,Hula Burger,19.5 oz,1390,90,31,2,225,1310,70,0,0,0,0,0,0,0,0,0,0
103955,20239,Maui Burger,17.5 oz,1430,96,32,2,225,1050,72,0,0,0,0,0,0,0,0,0,0
103956,20239,Pipeline Burger,19.5 oz,1430,91,36,2,270,2280,72,0,0,0,0,0,0,0,0,0,0
103957,20239,Sunset Burger,17.5 oz,1250,75,30,2,220,2180,75,0,0,0,0,0,0,0,0,0,0
103958,20239,Veggie Burger,10.5 oz,630,24,5,2,25,1550,90,0,0,0,0,0,0,0,0,0,0
103959,20240,Sandpiper Chicken,17.5 oz,1020,51,13,2,180,1230,70,0,0,0,0,0,0,0,0,0,0
103960,20240,Shorebird Chicken,14 oz,990,50,13,2,180,1030,69,0,0,0,0,0,0,0,0,0,0
103961,20240,Toucan Chicken,15 oz,1050,52,13,2,180,1410,79,0,0,0,0,0,0,0,0,0,0
103962,20241,Chocolate Lava Dessert,4.5 oz,480,29,11,2,105,260,50,0,0,0,0,0,0,0,0,0,0
103963,20241,Kona Pie,4 oz,350,23,10,2,70,120,34,0,0,0,0,0,0,0,0,0,0
103964,20241,Cheesecake w/ Strawberries And Glaze,11 oz,780,50,29,5,220,430,72,0,0,0,0,0,0,0,0,0,0
103965,20242,Gremmie Fries,4 oz,290,17,3,2,0,460,32,0,0,0,0,0,0,0,0,0,0
103966,20242,Jr Chz Wave w/ Fries,19.5 oz,1750,90,30,7,120,1500,80,0,0,0,0,0,0,0,0,0,0
103967,20242,Jr Quesadilla w/ Fries,13.5 oz,1290,77,23,9,60,2290,135,0,0,0,0,0,0,0,0,0,0
103968,20242,Jr Tiki Tenders w/ Fries,14.5 oz,1130,57,11,9,100,2350,116,0,0,0,0,0,0,0,0,0,0
103969,20242,Jr Tuna & Chz w/ Fries,19 oz,1660,87,22,8,30,1540,185,0,0,0,0,0,0,0,0,0,0
103970,20242,Lil Chili Chz Dogger w/ Fries,22 oz,2040,12,44,8,160,2630,187,0,0,0,0,0,0,0,0,0,0
103971,20242,Lil Dogger w/ Fries,17.5 oz,1600,85,26,8,50,1960,179,0,0,0,0,0,0,0,0,0,0
103972,20242,Sandcastle w/ Fries,16.5 oz,1490,70,26,8,55,1830,183,0,0,0,0,0,0,0,0,0,0
103973,20242,Jr Sundae Dessert,3 oz,220,15,9,0,85,50,17,0,0,0,0,0,0,0,0,0,0
103974,20242,Lil Dogger w/ Fries,17.5 oz,1600,85,26,1,50,1960,179,0,0,0,0,0,0,0,0,0,0
103975,20243,Iceberg Wedge Salad,9.8 oz,540,52,14,0,55,690,10,0,0,0,0,0,0,0,0,0,0
103976,20243,Low Carb Burger Platter,32.5 oz,2390,200,72,0,515,3070,18,0,0,0,0,0,0,0,0,0,0
103977,20243,Low Carb Chicken Breast Platter,32.5 oz,1650,119,34,0,415,1830,23,0,0,0,0,0,0,0,0,0,0
103978,20243,Low Carb Rotisserie Chicken Platter,40 oz,1350,100,23,0,360,1050,16,0,0,0,0,0,0,0,0,0,0
103979,20243,Lo Carb Combo Platter,32.5 oz,1940,148,53,0,465,2450,21,0,0,0,0,0,0,0,0,0,0
103980,20244,Moa-Eke Meal,35 oz,1650,80,30,6,400,3910,148,0,0,0,0,0,0,0,0,0,0
103981,20245,China Coast Salad,28 oz,1210,82,13,0,115,2360,67,0,0,0,0,0,0,0,0,0,0
103982,20245,Garden Salad,8 oz,300,27,4,0,530,13,3,0,0,0,0,0,0,0,0,0,0
103983,20245,Jungle Caesar Salad w/ Chicken,21 oz,900,49,13,0,190,1550,41,0,0,0,0,0,0,0,0,0,0
103984,20245,Kaanapali Salad,30 oz,1540,116,29,0,475,3680,23,0,0,0,0,0,0,0,0,0,0
103985,20245,Small Caesar Salad,5 oz,270,20,5,0,20,620,14,0,0,0,0,0,0,0,0,0,0
103986,20245,Wiqui Waqui BBQ Chicken Salad,34 oz,1810,70,29,0,265,1710,52,0,0,0,0,0,0,0,0,0,0
103987,20246,Wedge,9 oz,990,70,21,2,80,1610,65,0,0,0,0,0,0,0,0,0,0
103988,20246,Moa Kai,12 oz,1070,76,17,2,60,1450,65,0,0,0,0,0,0,0,0,0,0
103989,20247,Tortilla Soup,large - 23 oz,630,39,15,0,110,2150,40,0,0,0,0,0,0,0,0,0,0
103990,20247,Tortilla Soup,small - 11.5 oz,320,20,7,0,55,1070,20,0,0,0,0,0,0,0,0,0,0
103991,20248,Baja Soft Tacos,23 oz,1080,51,24,0,250,1050,70,0,0,0,0,0,0,0,0,0,0
103992,20248,Northshore Soft Tacos,19 oz,790,30,15,0,155,2040,67,0,0,0,0,0,0,0,0,0,0
103993,20248,Yaki Soft Tacos,20 oz,960,34,16,0,205,1800,85,0,0,0,0,0,0,0,0,0,0
103994,20248,Cabo Loco Soft Tacos,19 oz,1480,104,24,3,230,2150,65,0,0,0,0,0,0,0,0,0,0
103995,20248,Fish Soft Tacos,19 oz,1390,85,22,7,100,1590,114,0,0,0,0,0,0,0,0,0,0
