food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
103996,20249,Black Bean Roll-Ups,1 portion,577,10,2.4,0,14,1203,95.3,10.2,0,28.5,0,0,0,0,0,0,0
103997,20250,Baby Greens Salad (without breadstick),1 portion,119,11,1.1,0,0,259,6.1,2,0,1.2,0,0,0,0,0,0,0
103998,20250,Shrimp Stack Salad,1 portion,322,12.4,1.8,0,176,823,33.4,3.3,0,20.4,0,0,0,0,0,0,0
103999,20250,Hula Bowl (without breadstick),1 portion - 3 oz,576,6.8,1.3,0,131.2,1554,78.7,5.9,0,46.2,0,0,0,0,0,0,0
104000,20250,Half Hula Bowl (without breadstick),1 portion - 2 oz,366,3.7,0.7,0,70.6,1022,56.9,4.2,0,24.2,0,0,0,0,0,0,0
104001,20251,Caribbean Chicken: Lunch portion,1 portion,536,20,8.3,0,97,1151,59.4,2.9,0,28.2,0,0,0,0,0,0,0
104002,20252,Burger Stack with broccoli,1 portion,1104,81.6,38,0,328.3,1084.3,6.7,3,0,83.6,0,0,0,0,0,0,0
104003,20252,Chicken Stack with broccoli,1 portion,823,51.2,24.3,0,234.7,1633,6.7,3,0,90,0,0,0,0,0,0,0
104004,20253,Fruit Smoothie,1 portion,124,0.4,0.1,0,0,4,28.5,0.8,0,0.8,0,0,0,0,0,0,0
104005,20254,Buttered Broccoli,1 portion - 3.5 oz,104,9.3,5.6,0,24.1,132.7,4.7,2.6,0,2.7,0,0,0,0,0,0,0
104006,20254,Garlic Breadstick,1 breadstick,156,6.1,0,0,0,293,21,0,0,4,0,0,0,0,0,0,0
104007,20254,Fruit Salad,1 portion - 4.5 oz,54,0,0,0,0,6,16.6,1.3,0,0.7,0,0,0,0,0,0,0
104008,20255,Ranch,2 tbsp,120,12.6,2.1,0,10.9,90.3,0.7,0,0,0.5,0,0,0,0,0,0,0
104009,20255,Italian,2 tbsp,110,12,2,0,0,180,1,0,0,0,0,0,0,0,0,0,0
104010,20255,Bleu Cheese,2 tbsp,201,21.4,4,0,19.3,169.3,0.4,0,0,0.8,0,0,0,0,0,0,0
104011,20255,Fat Free French,2 tbsp,126,0.2,0,0,0,1034,30.9,2.4,0,0.3,0,0,0,0,0,0,0
104012,20255,Fat Free Honey Mustard,2 tbsp,60,0,0,0,0,360,14,0,0,0,0,0,0,0,0,0,0
104013,20255,Low-Fat Tex Mex Dressing,2 tbsp,23,0.1,0,0,2,129,2.3,0.1,0,2.9,0,0,0,0,0,0,0
