food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
104686,20302,Kickin' Queso,1/4 plate,341,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104687,20302,Meganachos,1/4 plate,450,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104688,20302,Original Super Sampler,1/4 plate,401,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104689,20302,Double Cheese Chicken Quesadilla,1/4 plate,347,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104690,20302,Southwestern Spring Rolls,1/4 plate,173,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104691,20302,Coconut Shrimp,1/4 plate,147,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104692,20302,4-Way Sampler,1/4 plate,276,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104693,20302,Spicy Buffalo Wings,1/4 plate,218,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104694,20302,Loaded Cheese Fries,1/4 plate,304,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104695,20302,Asian Dumplings,1/4 plate,121,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104696,20302,Say Cheese...Sticks,1/4 plate,172,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104697,20302,Asian Glazed Wings,1/4 plate,203,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104698,20302,Cheesy Spinach Dip,1/4 plate,305,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104699,20302,Tuesday Tenders-Classic,1/4 plate,155,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104700,20302,Tuesday Tenders-Spicy Buffalo,1/4 plate,187,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104701,20303,Carolina Chicken Salad,,847,59,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104702,20303,Broccoli & Cheese Soup,,334,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104703,20303,Baked French Onion Soup,,514,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104704,20303,White Bean Chicken Chili,,218,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104705,20303,Garden Vegetable Soup,,183,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104706,20303,Turkey Sandwich,,649,34,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104707,20304,Plain Jane Burger,,1037,74,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104708,20304,American Cheeseburger,,1127,81,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104709,20304,Bacon Cheeseburger,,1223,89,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104710,20304,Bacon Cheddar Burger,,1222,89,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104711,20304,Black & Bleu Burger,,1195,86,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104712,20304,Bacon Jack Burger,,1232,88,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104713,20304,Alpine Swiss Burger,,1364,100,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104714,20304,Smokehouse Burger,,1421,99,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104715,20304,Ultimate COLOSSAL BURGER¬Æ,2 half pound burgers,1992,148,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104716,20304,Macho Nacho Burger,,1188,84,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104717,20304,Ruby Minis,4 mini beef burgers,1122,69,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104718,20304,Smokehouse Bison Burger,,1301,85,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104719,20304,Bison Bacon Cheeseburger,,1088,72,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104720,20304,Bleu Bison Burger,,1079,72,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104721,20304,Cheddar Bison Burger,,1006,67,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104722,20304,Lulu's Turkey Burger,,832,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104723,20304,Mushroom Swiss Turkey Burger,,1135,73,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104724,20304,Bacon Jack Turkey Burger,,1003,61,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104725,20304,Veggie Burger,,948,52,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
104726,20304,BBQ Jack Veggie Burger,,996,52,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
104727,20304,Killer Fish Burger,,1018,67,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104728,20304,Buffalo & Bleu Chicken Burger,,1031,70,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104729,20304,Ruby's Chicken Burger,,882,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104730,20304,Hickory Chicken Burger,,978,53,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104731,20304,Crispy Chicken Club Burger,,982,61,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104732,20305,New Orleans Seafoodtm,,859,46,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104733,20305,Coconut Shrimp,,1135,65,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104734,20305,Creole Catch,,664,31,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104735,20305,Louisiana Fried Shrimp,,1223,73,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
104736,20306,Kid's Pasta,,740,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
104737,20306,Chicken Fingers & Fries,,462,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104738,20306,Grilled Cheese & Fries,,772,47,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104739,20306,Macaroni & Cheese,,567,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104740,20306,Mini Cheeseburgers & Fries,,666,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104741,20307,Baked Chicken & Broccoli Pasta,,1898,109,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
104742,20307,Original Sonora Pasta,,1165,40,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
104743,20307,Baked Chicken Parmesan Pasta,,1538,80,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
104744,20307,Shrimp Alfredo Pasta,,1113,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
104745,20308,Church Street Stacker‚Ñ¢,,1135,68,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104746,20308,Smoky Mountain Chicken¬Æ Stacker,,1063,54,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104747,20308,Chopped Steak Stacker,,1162,80,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104748,20308,Sirloin Tips Stacker,Half pound,828,40,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104749,20308,Sirloin Tips Stacker,Full pound,1133,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104750,20309,Petite Sirloin,,222,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104751,20309,Top Sirloin,,285,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104752,20309,Ruby's Ribeye,,635,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104753,20309,Peppercorn Mushroom Sirloin,,613,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104754,20309,Steak & Coconut Shrimp Combo,,515,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104755,20309,Ragin' Cajun Ribeye,,645,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104756,20310,Hang Off The Plate Ribs¬Æ-Classic BBQ,Half rack,1059,67,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104757,20310,Hang Off The Plate Ribs¬Æ-Classic BBQ,Full rack,1552,99,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104758,20310,Hang Off The Plate Ribs¬Æ-Memphis Dry Rub,Half rack,1105,74,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104759,20310,Hang Off The Plate Ribs¬Æ-Memphis Dry Rub,Full rack,1643,114,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104760,20310,Triple Play,,1647,100,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104761,20310,Tuesday Tenders-Classic,,970,57,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
104762,20310,Tuesday Tenders-Spicy Buffalo,,1196,81,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
104763,20311,Fresh Steamed Broccoli,,129,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104764,20311,Ruby's Mashed Potatoes,,393,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104765,20311,Saut?©ed Mushrooms,,276,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104766,20311,Onion Straws,,681,48,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
104767,20311,Fresh Hot Fries,,337,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
104768,20311,Side Caesar Salad,,120,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104769,20311,Brown Rice Pilaf,,223,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104770,20311,Baked Potato,,459,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
104771,20311,Loaded Baked Potato,,604,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
104772,20312,Blondie,,720,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
104773,20312,Chocolate Tallcake¬Æ,,871,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104774,20312,Brownie,,1030,43,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
104775,20313,Bleu Cheese,,177,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104776,20313,Caesar,,97,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
