food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
104792,20314,Chicken Tortilla Soup,8 oz,146,1,0,0,24,874,19,2,0,14,0,0,0,0,0,0,0
104793,20314,Chicken Tortilla Soup,12 oz,198,1,0,0,36,1226,25,3,0,20,0,0,0,0,0,0,0
104794,20314,Vegetable Barley Soup,8 oz,120,0,0,0,0,1280,27,3,0,3,0,0,0,0,0,0,0
104795,20314,Vegetable Barley Soup,12 oz,160,0,0,0,0,1840,37,4,0,4,0,0,0,0,0,0,0
104796,20314,Edamame with Green Tea Seasoning,,352,17,0,0,0,570,19,19,0,30,0,0,0,0,0,0,0
104797,20314,Edamame without Green Tea Seasoning,,352,17,0,0,0,28,19,19,0,30,0,0,0,0,0,0,0
104798,20314,Shrimp Cocktail,,144,1,0,0,189,912,10,1,0,21,0,0,0,0,0,0,0
104799,20314,Chicken Skewers,,283,5,0,0,94,1346,24,3,0,40,0,0,0,0,0,0,0
104800,20314,Goat Cheese Ravioli,,350,19,0,0,33,1168,27,2,0,18,0,0,0,0,0,0,0
104801,20314,Shrimp and Crab Stuffed Mushrooms,,447,20,0,0,194,1847,24,2,0,43,0,0,0,0,0,0,0
104802,20314,Beef Carpaccio,,252,10,0,0,55,1021,18,1,0,21,0,0,0,0,0,0,0
104803,20315,Rosemary Parmesan Crispbread,,439,18,0,0,28,1618,48,1,0,23,0,0,0,0,0,0,0
104804,20315,Tomato Flatbread,,457,19,0,0,32,1254,55,3,0,21,0,0,0,0,0,0,0
104805,20315,Garlic Chicken Flatbread,,471,19,0,0,27,2533,57,2,0,20,0,0,0,0,0,0,0
104806,20315,Spicy Shrimp Flatbread,,474,15,0,0,96,1285,59,2,0,27,0,0,0,0,0,0,0
104807,20315,Steak & Mushroom Flatbread,,463,19,0,0,48,1268,63,1,0,24,0,0,0,0,0,0,0
104808,20315,BBQ Pork Flatbread,,473,16,0,0,64,1667,54,2,0,27,0,0,0,0,0,0,0
104809,20315,Smoked Salmon Flatbread,,456,16,0,0,35,1962,51,1,0,29,0,0,0,0,0,0,0
104810,20316,Winter Greens Salad,,158,11,0,0,0,232,15,2,0,3,0,0,0,0,0,0,0
104811,20316,Spinach Salad with Pears,,327,21,0,0,11,310,34,5,0,7,0,0,0,0,0,0,0
104812,20316,Greek Salad,,368,32,0,0,40,1052,12,3,0,8,0,0,0,0,0,0,0
104813,20316,Cranberry Tabbouleh,,344,22,0,0,0,1048,34,6,0,7,0,0,0,0,0,0,0
104814,20317,Grilled Salmon Salad,,470,21,0,0,121,488,27,5,0,46,0,0,0,0,0,0,0
104815,20317,Chef's Rustic Vegetable Plate,,423,11,0,0,1,1525,66,12,0,20,0,0,0,0,0,0,0
104816,20317,Chicken Breast Salad,,464,23,0,0,120,1081,18,5,0,50,0,0,0,0,0,0,0
104817,20317,Asian Duck Salad,,441,16,0,0,83,1444,48,9,0,30,0,0,0,0,0,0,0
104818,20318,Spicy Red Snapper Curry,,438,5,0,0,81,1418,45,4,0,51,0,0,0,0,0,0,0
104819,20318,Mild Red Snapper Curry,,436,5,0,0,81,1359,44,4,0,51,0,0,0,0,0,0,0
104820,20318,Sesame Crusted Tuna,,470,16,0,0,65,1590,28,4,0,48,0,0,0,0,0,0,0
104821,20318,Shrimp Stuffed,,474,12,0,0,250,1459,47,3,0,42,0,0,0,0,0,0,0
104822,20318,Grilled Ruby Trout,,393,12,0,0,109,575,28,5,0,43,0,0,0,0,0,0,0
104823,20318,Cedar Plank Salmon,,448,16,0,0,115,849,29,6,0,46,0,0,0,0,0,0,0
104824,20318,Grilled Sea Scallops,,463,14,0,0,108,2512,23,4,0,60,0,0,0,0,0,0,0
104825,20319,Beef and Mushroom Pasta,,469,12,0,0,98,1573,44,4,0,45,0,0,0,0,0,0,0
104826,20319,Chicken Breast Cabernet,,466,6,0,0,126,2270,44,6,0,56,0,0,0,0,0,0,0
104827,20319,Filet Mignon,,420,17,0,0,106,1174,25,4,0,41,0,0,0,0,0,0,0
104828,20319,Turkey Skewer,,405,8,0,0,90,1898,29,5,0,60,0,0,0,0,0,0,0
104829,20319,Venison Chop,,449,15,0,0,155,1649,31,5,0,47,0,0,0,0,0,0,0
104830,20319,Pork Tenderloin,,433,13,0,0,137,1847,27,3,0,49,0,0,0,0,0,0,0
104831,20320,Blackened Amberjack Sandwich,,376,5,0,0,67,1669,41,4,0,42,0,0,0,0,0,0,0
104832,20320,Grilled Grouper Skewer Sandwich,,464,7,0,0,67,1036,54,7,0,47,0,0,0,0,0,0,0
104833,20320,Roast Beef Sandwich,,465,21,0,0,392,615,43,4,0,30,0,0,0,0,0,0,0
104834,20320,Grilled Chicken Sandwich,,473,12,0,0,113,798,40,4,0,51,0,0,0,0,0,0,0
104835,20320,Roast Vegetable Sandwich,,385,15,0,0,25,1128,49,6,0,20,0,0,0,0,0,0,0
104836,20321,Low Sodium Beet Salad,,263,13,0,0,18,245,31,6,0,10,0,0,0,0,0,0,0
104837,20321,Low Sodium Salmon,,452,18,0,0,121,370,26,6,0,50,0,0,0,0,0,0,0
104838,20321,Low Sodium Herb Grilled Chicken and Pasta,,471,12,0,0,77,440,47,8,0,41,0,0,0,0,0,0,0
104839,20322,Asparagus Parmesan,,163,10,0,0,20,505,7,3,0,14,0,0,0,0,0,0,0
104840,20322,Butternut Squash Spears,,139,0,0,0,0,16,34,6,0,2,0,0,0,0,0,0,0
104841,20322,Spinach and Potato Gratin,,237,7,0,0,6,1324,34,7,0,9,0,0,0,0,0,0,0
104842,20322,Baby Artichokes,,143,4,0,0,5,564,12,9,0,7,0,0,0,0,0,0,0
104843,20322,Mushrooms,,121,4,0,0,7,1047,14,4,0,9,0,0,0,0,0,0,0
