menu_id,menu_name,restaurant_id
20405,Hot Dogs,1063
20406,Burgers,1063
20407,Cheesesteaks,1063
20408,Seafood,1063
20409,French Fries,1063
20410,Chicken,1063
20411,Muffins,1063
20412,Miami Subs - Cheesesteaks,1063
20413,Miami Subs - Subs,1063
20414,Miami Subs - Burgers,1063
20415,Miami Subs - Pitas,1063
20416,Miami Subs - Platters,1063
20417,Miami Subs - Salads,1063
20418,Miami Subs - Sides,1063
20419,Miami Subs - Hot Dogs,1063
20420,Miami Subs - French Fries,1063
20421,Miami Subs - Arthur Treacher's,1063
20422,Miami Subs - Kenny Rogers Roasters,1063
