food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
105544,20423,Roasted Caesar Salad,301 g,220,9,4.5,0.5,75,850,6,3,4,29,35,45,25,10,0,0,0
105545,20423,Roasted Caesar Salad,344 g,270,12,4.5,0.5,75,1510,12,3,9,29,35,45,25,10,0,0,0
105546,20423,Roasted Caesar Salad,358 g,420,29,8,1,100,1320,9,4,5,30,35,45,25,10,0,0,0
105547,20423,Roasted Caesar Salad,358 g,480,35,10,1,90,1380,11,3,7,31,35,45,25,10,0,0,0
105548,20423,Roasted Caesar Salad,344 g,260,9,4.5,0.5,75,1260,14,3,6,30,35,45,25,10,0,0,0
105549,20423,Roasted Caesar Salad,315 g,290,12,4.5,1,75,1010,15,3,4,30,35,45,25,10,0,0,0
105550,20423,Roasted Caesar Salad,358 g,340,15,4.5,1,75,1670,21,3,9,30,35,45,25,10,0,0,0
105551,20423,Roasted Caesar Salad,372 g,490,32,8,1.5,100,1480,18,4,5,31,35,45,25,10,0,0,0
105552,20423,Roasted Caesar Salad,372 g,550,38,10,1.5,90,1540,20,3,7,32,35,45,25,10,0,0,0
105553,20423,Roasted Caesar Salad,358 g,330,12,4.5,1,75,1420,23,3,6,31,35,45,25,10,0,0,0
105554,20423,Crispy Caesar Salad,315 g,370,19,7,3.5,65,1110,20,3,3,29,30,45,30,10,0,0,0
105555,20423,Crispy Caesar Salad,358 g,420,22,7,3.5,65,1770,26,3,8,29,30,45,30,10,0,0,0
105556,20423,Crispy Caesar Salad,372 g,570,39,10,4,90,1580,23,4,4,30,30,45,30,10,0,0,0
105557,20423,Crispy Caesar Salad,372 g,630,45,12,4,80,1640,25,3,6,31,30,45,30,10,0,0,0
105558,20423,Crispy Caesar Salad,358 g,410,19,7,3.5,65,1520,28,3,5,30,30,45,30,10,0,0,0
105559,20423,Crispy Caesar Salad,329 g,440,22,7,4,65,1270,29,3,3,30,30,45,30,10,0,0,0
105560,20423,Crispy Caesar Salad,372 g,490,25,7,4,65,1930,35,3,8,30,30,45,30,10,0,0,0
105561,20423,Crispy Caesar Salad,386 g,640,42,10,4.5,90,1740,32,4,4,31,30,45,30,10,0,0,0
