food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
105689,20434,Keel,99 g,150,4,1,0,75,340,2,0,0,27,0,2,2,10,0,0,0
105690,20434,Rib,67 g,130,5,2,0,40,280,3,0,0,19,0,2,2,6,0,0,0
105691,20434,Classic,155 g,300,9,2,0,25,740,37,1,5,18,0,0,8,30,0,0,0
105692,20434,Chicken Nuggets,kids - 76 g,170,9,2,0,30,610,11,1,3,12,0,2,2,8,0,0,0
105693,20434,Coleslaw,individual - 125 g,150,8,1,0,15,210,20,3,15,1.2,0,6,6,10,0,0,0
105694,20434,Caesar Salad,small - 66 g,50,2.5,1,0,10,160,4,1,1,3.3,0,2,2,4,0,0,0
105695,20434,Caesar Salad,large - 125 g,100,4,2,0,20,300,7,1,3,6,0,6,6,8,0,0,0
105696,20435,Individual,1 serving - 113 g,430,22,3,0,0,790,54,5,3,4,0,0,0,8,0,0,0
105697,20435,Medium,1 serving - 312 g,1180,59,9,0,0,2170,147,15,7,11,0,0,0,30,0,0,0
105698,20435,Large,1 serving - 510 g,1930,97,15,0,0,3550,241,24,12,18,0,0,0,50,0,0,0
105699,20435,Individual Mega size,1 serving - 147 g,560,28,4,0,0,1020,69,7,4,5,0,0,0,15,0,0,0
105700,20435,Large Mega size,1 serving - 709 g,2680,135,21,0,0,4940,335,33,17,25,0,0,0,65,0,0,0
105701,20436,Individual,1 serving - 100 g,90,7,2,0,10,560,6,0,1,2,0,0,2,4,0,0,0
105702,20436,Medium,1 serving - 250 g,230,18,4.5,0,20,1400,15,1,1,5,0,2,2,10,0,0,0
105703,20436,Large,1 serving - 500 g,470,35,9,0,40,2790,29,2,3,9,0,2,6,20,0,0,0
105704,20437,Keel,1 piece - 99 g,150,4,1,0,75,340,2,0,0,27,0,2,2,10,0,0,0
105705,20437,Rib,1 piece - 67 g,130,5,2,0,40,280,3,0,0,19,0,2,2,6,0,0,0
105706,20437,Drumstick,1 piece - 59 g,160,10,3,0,55,360,7,0,0,11,0,2,2,8,0,0,0
105707,20437,Wing,1 piece - 46 g,160,11,3,0,40,310,6,0,0,10,0,2,6,8,0,0,0
105708,20437,Keel,1 piece - 121 g,290,16,4,0,90,680,11,0,1,26,0,2,2,10,0,0,0
105709,20437,Rib,1 piece - 97 g,260,16,4,0,70,660,9,0,1,21,0,4,2,10,0,0,0
105710,20437,Thigh,1 piece - 99 g,320,23,6,0,85,680,12,0,1,17,0,6,8,15,0,0,0
105711,20438,Colonel's Snacker,1 sandwich - 113 g,270,8,1.5,0,25,660,32,2,2,16,0,0,4,20,0,0,0
105712,20438,Classic,1 sandwich - 155 g,300,9,2,0,25,740,37,1,5,18,0,0,8,30,0,0,0
105713,20438,Big Crunch,1 sandwich - 211 g,480,18,4,0,45,1380,49,2,7,31,0,2,6,30,0,0,0
105714,20438,Classic,1 sandwich - 174 g,430,23,4,0,25,850,39,1,5,18,0,2,8,30,0,0,0
105715,20438,Big Crunch,1 sandwich - 230 g,610,32,6,0,50,1490,51,2,8,31,0,2,6,30,0,0,0
105716,20438,Spicy Big Crunch,1 sandwich - 230 g,610,32,6,0,60,1530,50,2,8,31,0,2,6,30,0,0,0
105717,20439,Chicken Nuggets,kids - 76 g,170,9,2,0,30,610,11,1,3,12,0,2,2,8,0,0,0
105718,20439,Popcorn Chicken,kids - 99 g,360,23,5,0,35,870,24,2,4,14,0,2,2,10,0,0,0
105719,20439,Popcorn Chicken,individual - 142 g,520,33,8,0,50,1240,35,3,6,20,0,2,2,15,0,0,0
105720,20439,Popcorn Chicken,large - 340 g,1240,80,19,0,125,2980,84,7,14,48,0,8,6,35,0,0,0
105721,20439,Crispy Strips - Individual,4 pieces - 152 g,470,27,6,0,45,1410,30,2,6,27,0,2,2,15,0,0,0
