food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
106110,20490,Mild,2 tbsp - 26 g,180,20,4,0,0,400,1,0,0,0,0,0,0,0,0,0,0
106111,20490,Medium,1 tbsp - 6 g,10,0,0,0,0,890,1,0,1,1,0,0,0,0,0,0,0
106112,20490,Hot,2 tbsp - 31 g,70,8,1.5,0,0,1010,2,0,1,0,0,0,0,0,0,0,0
106113,20490,Extra Hot,1 tbsp - 5 g,0,0,0,0,0,230,0.8,0,0,0,0,0,0,0,0,0,0
106114,20490,Suicide,2 tbsp - 28 g,5,0,0,0,0,680,1,0,0,0,0,0,0,0,0,0,0
106115,20490,Homicide,2 tbsp - 28 g,10,0.5,0,0,0,610,2,1,1,0,0,0,0,0,0,0,0
106116,20490,Honey Mustard,2 tbsp - 34 g,50,0.5,0,0,0,430,11,0,8,1,0,0,0,0,0,0,0
106117,20490,BBQ,2 tbsp - 30 g,36,0.3,0,0,0,400,9,0,0,0,0,0,0,0,0,0,0
106118,20490,Curry,1 tbsp - 15 g,68,7.5,1.3,0,0,235,0.3,0,0,0,0,0,0,0,0,0,0
106119,20490,Lemon Pepper,1 tbsp - 15 g,92,10.3,2,0,0,271,0.3,0,0,0.1,0,0,0,0,0,0,0
106120,20490,Teriyaki,1 tbsp - 16 g,25,0,0,0,0,340,5,0,5,1,0,0,0,0,0,0,0
106121,20490,Cajun,1 tbsp - 15 g,60,6.3,1,0,0,425,1,0,0,0,0,0,0,0,0,0,0
106122,20490,Golden Garlic,1 tbsp - 15 g,90,7.5,2,0,0,280,10,0,0,0,0,0,0,0,0,0,0
106123,20490,Sweet & Sour,2 tbsp - 100 g,45,0,0,0,0,230,10,0,9,0,0,0,0,0,0,0,0
106124,20490,Buffalo Garlic,1 tbsp - 15 g,17,1.7,0.3,0,0,100,0.4,0,0,0.2,0,0,0,0,0,0,0
106125,20490,General Chicken,10 wings,605,45,12.5,0,238,850,0,0,0,50,0,0,0,0,0,0,0
106126,20490,General Chicken,10 wings,506,20.1,5.7,0,203,173,3.6,0.2,0,73,0,0,36.5,0,0,0,0
