food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
106213,20507,BBQ Chicken Pizza,1/2 pizza,370,18,8,0,50,720,32,1,6,18,0,0,0,0,0,0,0
106214,20507,Bosco Breadsticks,1 stick,210,7,3.5,1,15,400,24,1,1,12,0,0,0,0,0,0,0
106215,20507,Breaded Mozzarella Sticks With Sauce,2 sticks,190,11,4,0,15,430,15,1,1,9,0,0,0,0,0,0,0
106216,20507,Buffalo Chicken Bites,3 pieces,180,7,1,0,30,610,17,2,0,14,0,0,0,0,0,0,0
106217,20507,Buffalo Chicken Pizza,1/3 pizza,340,15,7,0,45,1280,34,2,4,17,0,0,0,0,0,0,0
106218,20507,Cheese Pizza Eat-zzas™,1 pizza,380,14,6,2,20,610,47,4,8,18,0,0,0,0,0,0,0
106219,20507,Cheesy Garlic Bread,1/2 loaf,290,15,5,1.5,15,550,30,1,1,10,0,0,0,0,0,0,0
106220,20507,Chicken Bites with Asian Ginger Sauce (4 bites with 1 1/2 tbsp. sauce),,180,6,0.5,0,35,520,19,1,4,14,0,0,0,0,0,0,0
106221,20507,Chicken Chipotle Quesadilla Rolls,3 pieces,340,13,5,2.5,20,800,43,5,3,13,0,0,0,0,0,0,0
106222,20507,Chicken Classics,1 piece - 6 oz,320,12,4,0,65,800,30,1,1,24,0,0,0,0,0,0,0
106223,20507,Chicken Cordon Bleu,6 oz,350,15,6,0,85,880,26,1,3,29,0,0,0,0,0,0,0
106224,20507,Chicken Gems,1 gem,130,6,1,0,20,390,9,4,3,11,0,0,0,0,0,0,0
106225,20507,Egg Rolls with Sauce,3 egg rolls,290,16,5,0,20,590,28,2,3,8,0,0,0,0,0,0,0
106226,20507,Honey BBQ Chicken Tenders,1 piece - 69 g,160,6,1,0,15,520,15,1,3,10,0,0,0,0,0,0,0
106227,20507,Hot & Spicy Buffalo Wings,4 pieces,240,17,4,0,60,600,3,0,0,16,0,0,0,0,0,0,0
106228,20507,Italian Four Cheese Dipper,1/6 dipper,240,11,4.5,0,20,430,24,1,1,12,0,0,0,0,0,0,0
106229,20507,Li'L Bagel Dogs,79 g,210,10,3,0,25,480,22,1,2,8,0,0,0,0,0,0,0
106230,20507,Mediterranean Pizza,1/2 pizza,370,24,9,0,40,370,25,2,1,14,0,0,0,0,0,0,0
106231,20507,Mexican Chili Crispitos,1 crispito,220,10,2.5,0,25,350,22,1,1,10,0,0,0,0,0,0,0
106232,20507,Pepperoni Pizza Eat-zzas™,1 pizza,470,20,7,2,25,840,51,5,9,21,0,0,0,0,0,0,0
106233,20507,Pepperoni Pizzatas,1 stick - 2.2 oz - 62 g,180,10,4,0,20,460,14,0,2,9,0,0,0,0,0,0,0
106234,20507,Pesto Bruschetta,2 pieces,140,9,3,0,10,210,10,1,1,5,0,0,0,0,0,0,0
106235,20507,Popcorn Chicken,13 pieces,170,6,1,0,25,530,17,1,0,14,0,0,0,0,0,0,0
106236,20507,Potato Skins,3 pieces,180,9,4,1,25,320,17,4,1,7,0,0,0,0,0,0,0
106237,20507,Stuffed Appetizer Bread,1/4 loaf - 156 g,470,22,11,0.5,45,1010,47,2,4,20,0,0,0,0,0,0,0
106238,20507,Sundried Tomato & Three-Cheese Dip,2 tbsp,60,5,3,0,15,190,2,1,2,2,0,0,0,0,0,0,0
106239,20508,Gatorade Kid Size Variety Pack,1 bottle - 355 ml,90,0,0,0,0,160,22,0,22,0,0,0,0,0,0,0,0
106240,20508,Ocean Spray Berry Blue Lemonade,1 bottle - 8 fl oz,120,0,0,0,0,35,31,0,31,0,0,0,0,0,0,0,0
106241,20508,Ocean Spray Wildberry Singles,1 bottle - 8 fl oz,140,0,0,0,0,35,34,0,34,0,0,0,0,0,0,0,0
106242,20508,Pina Colada Smoothie Mix,5 oz,230,3.5,3,0,0,20,48,1,44,1,0,0,0,0,0,0,0
106243,20508,Tropicana Orange Juice Singles,1 carton - 8 fl oz,110,0,0,0,0,0,26,0,22,2,0,0,0,0,0,0,0
106244,20509,Apple Berry Breakfast Bowl,1 bowl,200,2.5,1,0,5,140,50,7,34,1,0,0,0,0,0,0,0
106245,20509,Bacon Quiche,1/8 quiche,320,22,12,0,130,650,20,1,3,10,0,0,0,0,0,0,0
106246,20509,Blueberry Muffins,1 muffin,170,6,1,0,15,150,27,1,15,3,0,0,0,0,0,0,0
106247,20509,Breakfast Bundles,one breakfast bundle - 2.6 oz,180,6,1.5,0,15,460,25,1,9,7,0,0,0,0,0,0,0
106248,20509,Breakfast Burritos,1 burrito,280,12,3.5,0,20,550,31,1,2,12,0,0,0,0,0,0,0
106249,20509,Breakfast Casserole,1/2 cup - 115 g,190,11,4.5,0,165,660,6,2,1,13,0,0,0,0,0,0,0
106250,20509,Breakfast Pizzas,1 pizza,510,27,9,0,75,1280,43,2,6,23,0,0,0,0,0,0,0
106251,20509,Breakfast Quesadillas,1 quesadilla - 106 g,290,14,7,0,115,730,26,1,2,15,0,0,0,0,0,0,0
106252,20509,Chocolate Chip Mini Pancakes,6 pancakes,130,3,1,0,5,240,22,1,8,3,0,0,0,0,0,0,0
106253,20509,Cinnamon Brown Sugar Bagel·ers™,1 bageler,190,4,2.5,0,10,220,35,3,8,6,0,0,0,0,0,0,0
106254,20509,French Toast Sticks,4 pieces,280,12,2.5,0,0,460,38,1,9,5,0,0,0,0,0,0,0
106255,20509,Fully Cooked Turkey Sausage Links,2 links,100,6,2,0,50,300,0,0,0,11,0,0,0,0,0,0,0
106256,20509,Gourmet Cinnamon Rolls,1 roll - 3 oz,300,15,5,0.4,15,790,37,2,13,5,0,0,0,0,0,0,0
106257,20509,Microwave Pancakes,3 pancakes,200,6,1,0,5,440,36,1,13,3,0,0,0,0,0,0,0
106258,20509,Mini Cheese Omelets,1 omelet,60,2.5,1.5,0,5,170,2,0,1,7,0,0,0,0,0,0,0
106259,20509,Original Plain Bagel·ers™,1 bagel bar,190,6,3,0,15,230,31,3,5,6,0,0,0,0,0,0,0
106260,20509,Sausage & Egg Pancake Sandwich,1 sandwich,430,25,7,0,140,890,39,1,15,13,0,0,0,0,0,0,0
106261,20509,Spectrum Blend Fruit Cup,1 cup - 6 oz,120,0,0,0,0,10,28,2,24,1,0,0,0,0,0,0,0
106262,20510,Andes Chocolate Mint Layer Pie,1/8 pie,420,27,14,3,5,300,44,2,28,3,0,0,0,0,0,0,0
106263,20510,Apple Blossoms,1 pastry,350,20,6,4.5,5,310,38,5,12,3,0,0,0,0,0,0,0
106264,20510,Apple Cranberry Deep Dish Pie,1 slice,350,20,4,5,0,290,40,2,14,2,0,0,0,0,0,0,0
106265,20510,Apple Cranberry Ring,1/8 ring,190,4,1,1,0,105,39,3,28,1,0,0,0,0,0,0,0
106266,20510,Apple Deep Dish Pie,1/12 pie,330,19,4,5,0,280,39,2,13,2,0,0,0,0,0,0,0
106267,20510,Apple Razz Deep Dish Pie,1 slice,380,23,5,0,0,570,42,3,19,3,0,0,0,0,0,0,0
106268,20510,Bumbleberry Blossoms,1 piece,350,20,6,4,5,280,42,5,15,3,0,0,0,0,0,0,0
106269,20510,Candy Cane Pie,1 slice,530,36,19,2.5,95,210,47,1,39,4,0,0,0,0,0,0,0
106270,20510,Caramel Apple Blossoms,1 piece,370,17,9,0,15,330,50,2,22,4,0,0,0,0,0,0,0
106271,20510,Chocolate Chip Cookie Dough,2 cookies,150,6,2,1.5,5,150,21,1,13,2,0,0,0,0,0,0,0
106272,20510,Chocolate Fudge Volcano Cakes,1 cake,480,20,6,0,70,580,70,3,48,7,0,0,0,0,0,0,0
106273,20510,Chocolate Toffee Pretzels,6 pieces - 38 g,190,9,5,0,5,100,24,0,15,3,0,0,0,0,0,0,0
106274,20510,Cinnamon Apple Slices,5 oz,90,0,0,0,0,55,23,2,19,0,0,0,0,0,0,0,0
106275,20510,Double Chocolate Cheesecake,1/6 cheesecake,440,27,13,2.5,95,390,44,2,23,6,0,0,0,0,0,0,0
106276,20510,Double Chocolate Mini Oreos,4 pieces,100,5,2.5,0,5,60,13,0,10,1,0,0,0,0,0,0,0
