food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
106996,20546,Avgolemeno Soup,1 cup,100,8,4.5,0,55,1070,7,0,0,1,0,0,0,0,0,0,0
106997,20547,Spicy Greek Chicken Salad,,509.6,23.8,8.4,0,162.4,1048.4,12.3,4.7,0,58,0,0,0,0,0,0,0
106998,20547,Greek Chicken Salad,,415,18,0,0,145,935,9,3,0,49,0,0,0,0,0,0,0
106999,20548,Salad Dressing,2 tbs,150,16,2.5,0,0,80,0,0,0,0,0,0,0,0,0,0,0
107000,20549,Kabob Plate,,351.3,10.5,3.9,0,157.2,414,5.3,1.7,0,56.2,0,0,0,0,0,0,0
107001,20549,Daphne's Combo Plate,,530.3,36.3,13.9,0,130.5,1048.6,8.8,1.8,0,39,0,0,0,0,0,0,0
107002,20549,Daphne's 1/4 Chicken White Meat,,370,16,0,0,140,625,6,2,0,49,0,0,0,0,0,0,0
107003,20550,Daphne's Kabob lunch,,210,9,0,0,75,545,2,2,0,26,0,0,0,0,0,0,0
107004,20551,Chicken Breast Pita Sandwich,,565,22,0,0,130,865,34,2,0,58,0,0,0,0,0,0,0
107005,20551,Gyros Pita Sandwich,,649.7,45.7,15.2,0,60.8,1483.5,37.4,2.2,0,17,0,0,0,0,0,0,0
107006,20551,Hummus & Pita,,230,12,0,0,0,350,45,4,0,8,0,0,0,0,0,0,0
107007,20552,Gyros,4 oz,380,33,0,0,68,770,0,0,0,15,0,0,0,0,0,0,0
107008,20552,Pita Bread,1 whole,190,4,0.5,0,0,330,33,2,0,7,0,0,0,0,0,0,0
107009,20552,Rice Pilaf,6 oz,275.2,7.3,4.3,0,18.2,878,46.3,1,0,0,0,0,0,0,0,0,0
107010,20552,Tzatziki Sauce,1.5 oz,60,6,3.8,0,0,127.5,3,0,0,0,0,0,0,0,0,0,0
107011,20552,Fire Feta,2 tbs,100,7,3,0,10,230,2,1,0,4,0,0,0,0,0,0,0
