food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
107255,20564,Breaded Zucchini,,415,23.1,0,0,146.9,393,39.3,3,0,13.1,0,0,0,0,0,0,0
107256,20564,Buffalo Chicken Tenders,,434,21.2,0,0,85.5,2606,24.3,2,0,34.6,0,0,0,0,0,0,0
107257,20564,Cheese Fries,,878,49.7,0,0,33.6,665,93.1,8.1,0,18.2,0,0,0,0,0,0,0
107258,20564,Cheese Sticks,,411,24.6,0,0,91.5,675,16.9,0.5,0,29.6,0,0,0,0,0,0,0
107259,20564,Onion Rings,,209,13,0,0,36.9,219,19.5,1.3,0,4.2,0,0,0,0,0,0,0
107260,20564,Southwest Quesadilla,,853,49.8,0,0,147.5,829,56,6.9,0,48.3,0,0,0,0,0,0,0
107261,20564,Wings (Hot or Barbecue),,400,28,0,0,107,854,0.5,0.3,0,34.4,0,0,0,0,0,0,0
107262,20565,Bear Claw,,515,24,0,0,32.8,2936,66.4,2.5,0,8.9,0,0,0,0,0,0,0
107263,20565,Biscuit,,214,12.6,0,0,0,497,22.4,0.8,0,3.2,0,0,0,0,0,0,0
107264,20565,Biscuit (Cheese),,127,6.3,0,0,2.1,407,15.2,0.5,0,2.8,0,0,0,0,0,0,0
107265,20565,Boston Brown Bread,2 slices,279,8.9,0,0,10.4,908,42.7,1.4,0,7.4,0,0,0,0,0,0,0
107266,20565,Cinnamon Biscuit (Mini),,130,5,0,0,0.1,300,19.4,0.7,0,2.2,0,0,0,0,0,0,0
107267,20565,Cinnamon Bun,1 bun,270,9.9,0,0,19.4,602,42.1,1.3,0,3.8,0,0,0,0,0,0,0
107268,20565,Cookie (Chocolate Chip),,207,9,0,0,15.2,170,28.4,0.7,0,3,0,0,0,0,0,0,0
107269,20565,Cookie (Christmas),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107270,20565,Cookie (Easter),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107271,20565,Cookie (Halloween),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107272,20565,Cookie (Macadamia Nut),,240,16.2,0,0,14.6,78,22,1,0,2.5,0,0,0,0,0,0,0
107273,20565,Cookie (Shamrock),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107274,20565,Cookie (Smiley),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107275,20565,Cookie (Steeler/Penguin/Pirate),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107276,20565,Cookie (Valentine),,250,8,0,0,15,85,42,0,0,2,0,0,0,0,0,0,0
107277,20565,Cornbread,,108,4,0,0,15.9,259,15.9,0.7,0,2.1,0,0,0,0,0,0,0
107278,20565,Crumby Buns,1 bun,193,9.4,0,0,9.2,530,24.2,0.8,0,3.2,0,0,0,0,0,0,0
107279,20565,Honey Bun,1 bun,172,8.2,0,0,9.2,404,22.2,0.7,0,2.5,0,0,0,0,0,0,0
107280,20565,Muffin (Apple Raisin),,249,7.3,0,0,36.2,292,43,1.5,0,4.1,0,0,0,0,0,0,0
107281,20565,Muffin (Banana Nut),,284,12.6,0,0,36.2,291,39.3,1.7,0,5.2,0,0,0,0,0,0,0
107282,20565,Muffin (Blueberry),,242,7.8,0,0,38.8,312,39.4,1.5,0,4.2,0,0,0,0,0,0,0
107283,20565,Muffin (Chocolate Nut),,313,13.5,0,0,38.8,322,44.8,1.7,0,5.6,0,0,0,0,0,0,0
107284,20565,Muffin (Corn),,212,7.7,0,0,31.2,509,31.1,1.4,0,4.2,0,0,0,0,0,0,0
107285,20565,Muffin (Cranberry),,266,9.6,0,0,36.2,295,41.2,1.3,0,4.4,0,0,0,0,0,0,0
107286,20565,Muffin (Mocha Java),,222,8.8,0,0,29.9,213,33.9,2.4,0,2.1,0,0,0,0,0,0,0
107287,20565,Muffin (Oat Bran Apple Raisin),,296,10.2,0,0,34.9,268,45.8,2.1,0,6.3,0,0,0,0,0,0,0
107288,20565,Muffin (Oat Bran),,333,12.7,0,0,43.7,334,47.5,2.1,0,7.6,0,0,0,0,0,0,0
107289,20565,Muffin (Pumpkin Raisin),,259,7.8,0,0,43.1,314,43.8,1.6,0,4.7,0,0,0,0,0,0,0
107290,20565,Muffin (Strawberry Créme),,273,9.4,0,0,43.8,327,43.2,1.2,0,4.6,0,0,0,0,0,0,0
107291,20565,Muffin (Strawberry Filled),,280,9.1,0,0,45.3,363,45.4,1.5,0,4.9,0,0,0,0,0,0,0
107292,20565,SnoTop,,111,4,0,0,9.2,377,16.3,0.7,0,2.5,0,0,0,0,0,0,0
107293,20565,Sticky Loaf,,293,12.8,0,0,18.4,827,39.9,1.2,0,4.7,0,0,0,0,0,0,0
107294,20565,Pastry Bite,,114,6.9,0,0,21.4,46,11.4,0.3,0,1.4,0,0,0,0,0,0,0
107295,20565,Bagel (Plain),,312,1.8,0,0,0,606,60.6,2.6,0,11.9,0,0,0,0,0,0,0
107296,20565,Bagel (Raisin),,320,1.7,0,0,0,541,65.4,3.9,0,11.1,0,0,0,0,0,0,0
107297,20565,Bun (Hoagie),,178,2,0,0,0,396,33.7,2,0,5.7,0,0,0,0,0,0,0
107298,20565,Bun for Hot Dog,,128,3.1,0,0,0.4,222,21.4,1.3,0,3.6,0,0,0,0,0,0,0
107299,20565,Roll (Kaiser),,179,2.6,0,0,0,332,32.2,1.4,0,6,0,0,0,0,0,0,0
107300,20565,Bun (Three Cheese Hoagie),,470,26.2,0,0,58.8,259,43.8,1.5,0,14.6,0,0,0,0,0,0,0
107301,20565,Bun (Superburger),,183,3.4,0,0,0,356,32,1.8,0,5.5,0,0,0,0,0,0,0
107302,20565,Croissant,,258,14.9,0,0,59.4,75,26.6,0.9,0,4.6,0,0,0,0,0,0,0
107303,20565,English Muffin,,133,1,0,0,0,263,26.1,1.5,0,4.4,0,0,0,0,0,0,0
107304,20565,Garlic Toast,,465,19.3,0,0,21.2,835,61.3,3.3,0,10.9,0,0,0,0,0,0,0
107305,20565,Italian Bread,1 slice,54,0.7,0,0,0,117,10,0.5,0,1.8,0,0,0,0,0,0,0
107306,20565,Pita,,312,1.4,0,0,0,608,63.2,2.5,0,10.3,0,0,0,0,0,0,0
107307,20565,Raisin Bread,1 slice,71,1.1,0,0,0,101,13.6,1.1,0,2.1,0,0,0,0,0,0,0
107308,20565,Rye Bread,1 slice,83,1.1,0,0,0,211,15.5,1.9,0,2.7,0,0,0,0,0,0,0
107309,20565,Sourdough Bread,1 slice,68,0.9,0,0,0,146,12.5,0.7,0,2.2,0,0,0,0,0,0,0
107310,20565,Toast (Buttered),1 slice,262,13.7,0,0,31.6,399,29.7,1.4,0,5,0,0,0,0,0,0,0
107311,20565,Toast (Dry),1 slice,134,1.8,0,0,0.5,269,24.8,1.2,0,4.1,0,0,0,0,0,0,0
107312,20565,"Toast (Raisin, Buttered) ",1 slice,244,13.8,0,0,31,279,27.2,2.2,0,4.2,0,0,0,0,0,0,0
107313,20565,"Toast (Rye, Buttered) ",1 slice,267,13.6,0,0,31,499,30.9,3.7,0,5.6,0,0,0,0,0,0,0
107314,20565,"Toast (Sourdough, Buttered) ",1 slice,237,13.3,0,0,31,368,25,1.4,0,4.5,0,0,0,0,0,0,0
107315,20565,"Toast (Whole Wheat, Buttered) ",1 slice,259,14.2,0,0,31,414,29.5,4.4,0,6.3,0,0,0,0,0,0,0
107316,20565,White Bread,1 slice,67,0.9,0,0,0.3,135,12.4,0.6,0,2.1,0,0,0,0,0,0,0
107317,20565,Whole Wheat,1 slice,79,1.3,0,0,0,169,14.8,2.2,0,3.1,0,0,0,0,0,0,0
107318,20565,Yellow Bread,1 slice,114,1.5,0,0,0.4,229,21.1,1,0,3.5,0,0,0,0,0,0,0
107319,20566,Buttermilk,,223,12.6,0,0,48.6,346,16.2,0,0,11.5,0,0,0,0,0,0,0
107320,20566,Cappuccino,,114,3,0,0,11.9,81,16.6,0.1,0,5.4,0,0,0,0,0,0,0
107321,20566,"Cappuccino, grande",,228,6.1,0,0,23.8,162,33.3,0.3,0,10.8,0,0,0,0,0,0,0
107322,20566,"Cappuccino, med.",,171,4.6,0,0,17.8,122,24.9,0.2,0,8.1,0,0,0,0,0,0,0
107323,20566,"Chai, grande",,186,5.5,0,0,21.3,146,24.9,0.3,0,9.7,0,0,0,0,0,0,0
