food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
107838,20597,Big Bacon,,700,42,13,0,70,0,45,18,0,36,0,0,0,0,0,0,0
107839,20597,Big Jack,,500,27,9,0,35,0,40,4,0,25,0,0,0,0,0,0,0
107840,20597,Hamburger,,270,8,3,0,20,0,35,4,0,15,0,0,0,0,0,0,0
107841,20597,Double Big Jack Cheese,,930,60,24,0,115,0,43,4,0,56,0,0,0,0,0,0,0
107842,20597,Double Cheeseburger,,590,33,11,0,60,1150,37,0,0,38,0,0,0,0,0,0,0
107843,20598,Chicken Fillet Sandwich,,640,31,7,0,30,0,69,7,0,20,0,0,0,0,0,0,0
107844,20598,Chicken Fingers,3 pieces,470,24,4,0,25,0,33,0,0,30,0,0,0,0,0,0,0
107845,20598,Grilled Chicken Sandwich,,410,15,3,0,15,0,44,6,0,25,0,0,0,0,0,0,0
107846,20598,Chicken (Leg/Thigh),2 pieces,410,29,9,0,50,0,14,0,0,24,0,0,0,0,0,0,0
107847,20599,Bacon Egg and Cheese Biscuit,,550,34,14,0,340,0,35,26,0,26,0,0,0,0,0,0,0
107848,20599,Bologna Biscuit,1 biscuit,380,24,8,0,25,0,32,10,0,10,0,0,0,0,0,0,0
107849,20599,Chicken Biscuit,,610,38,14,0,45,0,46,0,0,21,0,0,0,0,0,0,0
107850,20599,Pancakes,,360,11,2,0,0,0,57,2,0,9,0,0,0,0,0,0,0
107851,20599,Sausage Biscuit,,400,25,9,0,25,0,31,10,0,13,0,0,0,0,0,0,0
107852,20599,Steak Biscuit,,430,22,6,0,15,0,44,10,0,14,0,0,0,0,0,0,0
107853,20600,Apple Pie,,250,10,2,0,0,0,37,0,0,3,0,0,0,0,0,0,0
107854,20600,Fries,regular,250,9,2,0,0,0,38,5,0,4,0,0,0,0,0,0,0
107855,20601,Coke,8 oz,99,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
107856,20602,Crispy Chicken,,430,26,9,0,40,0,22,0,0,27,0,0,0,0,0,0,0
107857,20602,Grilled Chicken,9 g,260,12,6,0,30,0,7,0,0,30,0,0,0,0,0,0,0
107858,20602,Spring Salad,,170,11,5,0,25,0,7,0,0,11,0,0,0,0,0,0,0
107859,20603,Biscuit,,250,11,3.5,0,0,520,31,10,0,5,0,0,0,0,0,0,0
107860,20603,Biscuit,,350,23,11,0,35,660,31,10,0,5,0,0,0,0,0,0,0
107861,20603,Egg & Cheese Biscuit,,550,34,14,0,340,880,35,10,0,26,0,0,0,0,0,0,0
107862,20603,Eggs,,190,13,4.5,0,310,160,3,0,0,14,0,0,0,0,0,0,0
107863,20603,Bacon Biscuit,,290,15,5,0,5,660,31,10,0,8,0,0,0,0,0,0,0
107864,20603,Sausage Biscuit,,400,25,9,0,25,810,31,10,0,13,0,0,0,0,0,0,0
107865,20603,"Sausage, Egg & Cheese Biscuit",,700,48,19,0,360,1170,35,10,0,34,0,0,0,0,0,0,0
107866,20603,Bologna Biscuit,,380,24,8,0,25,850,32,10,0,10,0,0,0,0,0,0,0
107867,20603,Steak Biscuit,,430,22,6,0,15,1150,44,10,0,14,0,0,0,0,0,0,0
107868,20603,Ham Biscuit,,290,13,4,0,10,1040,31,10,0,12,0,0,0,0,0,0,0
107869,20603,Grits,,100,8,1.5,0,0,120,8,2,0,1,0,0,0,0,0,0,0
107870,20603,Flapjacks,,360,11,2,0,0,600,57,2,0,9,0,0,0,0,0,0,0
107871,20603,Sausage Gravy,,150,11,5,0,0,690,11,4,0,2,0,0,0,0,0,0,0
107872,20604,Hamburger,,270,8,3,0,20,570,35,4,0,15,0,0,0,0,0,0,0
