menu_id,menu_name,restaurant_id
20627,BreakFast - Two Egg Breakfasts,1093
20628,BreakFast - Hot Off the Griddle,1093
20629,BreakFast - Famous Benedicts,1093
20630,BreakFast - House Specialties,1093
20631,BreakFast - Three Egg Omelettes,1093
20632,BreakFast - Seasonal Features,1093
20633,BreakFast - Bakery and Cereals,1093
20634,Lunch & Dinner - Great Appetizers,1093
20635,Lunch & Dinner - Small Bites,1093
20636,Lunch & Dinner - Homemade Daily Soups,1093
20637,Lunch & Dinner - Pasta,1093
20638,Lunch & Dinner - Comfort Classics,1093
20639,Lunch & Dinner - Seasonal Features,1093
20640,Lunch & Dinner - Fish Market,1093
20641,Lunch & Dinner - Steaks & Chops,1093
20642,Lunch & Dinner - Signature Sandwiches,1093
20643,Lunch & Dinner - Hamburgers,1093
20644,Lunch & Dinner - Great Salad,1093
20645,Lunch & Dinner - Salad Dressings,1093
20646,Lunch & Dinner - World Flavors,1093
20647,Lunch & Dinner - Fabulous Desserts,1093
20648,Lunch & Dinner - From The Espresso Bar,1093
20649,Lifestyle - Carb Conscious,1093
20650,Lifestyle - Lower Fat,1093
20651,Kids - Entree Choices,1093
