food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
108481,20664,Filet Mignon?,8 oz,480,22,8,0,192,144,0,0,0,0,0,0,2,40,0,0,0
108482,20664,N.Y. Strip/Kansas City Strip,10 oz,590,26,10,0,220,81,0,0,0,0,0,0,2,40,0,0,0
108483,20664,Sirloin Steak,8 oz,440,20,7,0,250,152,0,0,0,0,0,0,3,40,0,0,0
108484,20664,T-Bone SteakEs,12 oz,854,41,16,0,322,266,0,0,0,0,0,0,3,60,0,0,0
108485,20664,Ribeye Steak,9 oz,585,29,12,0,207,180,0,0,0,0,0,0,3,30,0,0,0
108486,20664,Tender Tips of Sirloin,5 oz,275,10,4,0,125,95,0,0,0,0,0,0,2,25,0,0,0
108487,20664,Tender Tips of Sirloin,10 oz,550,20,7,0,250,190,0,0,0,0,0,0,3,50,0,0,0
108488,20664,Chop Steak?,8 oz,608,40,15,0,200,176,0,0,0,0,0,0,2,28,0,0,0
108489,20664,Chop Steak,10 oz,760,50,19,0,250,220,0,0,0,0,0,0,3,29,0,0,0
108490,20664,Chicken OTG (boneless/skinless),5 oz,249,6,1,0,121,110,0,0,0,0,0,1,2,10,0,0,0
108491,20664,Chicken OTG ?(boneless/skinless),7 oz,348,9,2,0,169,154,0,0,0,0,0,2,3,11,0,0,0
108492,20664,Chophouse Pork Chop (boneless),8 oz,549,30,11,0,0,133,0,0,0,0,0,1,7,2,0,0,0
108493,20664,Chophouse Pork Chop ?,16 oz,1097,59,22,0,0,265,0,0,0,0,0,2,14,3,0,0,0
108494,20664,Norwegian Salmon Filet,6 oz,320,14,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0
108495,20665,OTG Original Cheeseburger,0.5 lb,854,52,22,0,227,772,23,2,0,0,8,18,24,29,0,0,0
108496,20665,OTG MegaBurger,10 oz,1006,63,26,0,277,816,23,2,0,0,8,18,25,30,0,0,0
108497,20665,Bacon Cheddar Cheeseburger,0.5 lb,971,63,25,0,246,845,24,2,0,0,8,18,24,31,0,0,0
108498,20665,Grilled Chicken Filet,,486,16,6,0,121,706,23,0,0,0,0,1,17,4,0,0,0
108499,20665,Ribeye Steak Hero,,601,27,12,0,142,853,34,2,0,0,0,2,19,46,0,0,0
108500,20666,Garden Fresh Salad,,422,22,12,0,132,437,10,3,0,0,24,17,4,14,0,0,0
108501,20666,Garden Fresh Salad,,437,25,14,0,135,428,10,3,0,0,22,16,45,33,0,0,0
108502,20666,Garden Fresh Salad,,432,26,13,0,160,421,10,3,0,0,21,16,45,9,0,0,0
108503,20666,Club Salad,,592,29,14,0,264,1379,11,3,0,0,21,59,47,13,0,0,0
108504,20666,Caesar Salad (includes croutons),,391,25,14,0,57,1426,8,1,0,0,24,3,36,4,0,0,0
108505,20666,Caesar Salad,,541,28,14,0,129,1492,8,1,0,0,24,3,38,9,0,0,0
108506,20666,Caesar Salad,,551,32,15,0,157,1476,8,1,0,0,24,3,36,4,0,0,0
108507,20666,House Salad,,24,5,3,0,15,18,3,1,0,0,10,5,12,2,0,0,0
108508,20667,Steamed Grilled Veggies,,127,10,1.4,0,0,20,11,3,0,0,106,26,3,1,0,0,0
108509,20667,Baked Potato 70ct.(plain),,220,0.2,0.1,0,0,16,59,4.8,0,0,43,0,1,15,0,0,0
108510,20667,Cheddar Cheese Cup,2 oz,228,18,12,0,54,812,1,0,0,0,0,4,38,2,0,0,0
108511,20667,Real Bacon Bits,2 oz,100,6,2,0,20,880,0,0,0,0,0,0,0,1,0,0,0
108512,20667,Country Crock Butter,21 g,105,10.5,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
108513,20667,Sour CreamEs,1 oz,52,5,3,0,10,12,0.1,0,0,0,0,0,3,0,0,0,0
108514,20667,Sauteed Onions,2.5 oz,33,0,0,0,0,471,5,2,0,0,0,0,2,0,0,0,0
108515,20667,Sauteed Mushrooms,2.5 oz,21,0,0,0,0,471,2,0,0,0,0,0,0,0,0,0,0
108516,20667,Lay's Potato Chips,1 oz,150,10,3,0,0,180,15,1,0,0,10,0,0,0,0,0,0
108517,20667,Heinz Mayo,1 tbsp,80,9,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
108518,20667,Heinz Ketchup,1 tsp,10,0,0,0,0,80,2,0,0,0,0,2,0,0,0,0,0
108519,20667,Heinz Mustard?,1 tsp,10,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
108520,20667,Heinz Steak Sauce,1 tsp,10,0,0,0,0,150,2,0,0,0,0,0,0,0,0,0,0
108521,20667,Dinner Roll,1 roll,214,5,1,0,0,316,36,2.5,0,0,0,0,1,6,0,0,0
108522,20667,Cold Pack,,15,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0
108523,20667,Cold Pack,,8,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0
108524,20667,Cheese - Swiss,1 oz,95,7,4.5,0,24,388,0.6,0,0,0,0,1,22,1,0,0,0
108525,20667,Cheese - Provolone?,1 oz,100,7.5,4.8,0,20,248,0.6,0,0,0,0,2,20,1,0,0,0
108526,20667,Cheese - Cheddar?,1 oz,114,9,6,0,30,176,0.4,0,0,0,0,2,20,1,0,0,0
108527,20667,Cheese - American?,1 oz,106,9,5.6,0,27,406,0.5,0,0,0,0,2,19,1,0,0,0
108528,20668,Lite Ranch,1.5 oz,110,11,1.5,0,10,360,3,0,0,0,2,0,2,0,0,0,0
108529,20668,Honey French,1.5 oz,180,17,3,0,0,480,8,0,0,0,0,0,0,0,0,0,0
108530,20668,Bleu Cheese,1.5 oz,220,23,4,0,20,150,1,0,0,0,0,0,4,0,0,0,0
108531,20668,Thousand Island,1.5 oz,170,17,2.5,0,15,180,5,0,0,0,2,2,0,0,0,0,0
108532,20668,Creamy Italian,1.5 oz,240,25,4,0,20,190,2,0,0,0,0,0,0,0,0,0,0
108533,20668,Honey Mustard,1.5 oz,180,15,2.5,0,10,130,13,0,0,0,0,0,0,0,0,0,0
108534,20668,Oil & Vinegar,1.5 oz,120,13,2,0,0,250,3,0,0,0,2,0,0,0,0,0,0
108535,20668,Fat Free Italian,1.5 oz,10,0,0,0,0,660,3,0,0,0,0,0,0,0,0,0,0
108536,20668,Raspberry Vinaigrette,1.5 oz,35,0,0,0,0,250,10,0,0,0,0,0,0,0,0,0,0
108537,20668,Caesar?,1 oz,170,18,3,0,20,290,1,0,0,0,0,0,0,0,0,0,0
108538,20669,Giant Chocolate Chip Cookie,,310,14,5,0,10,470,44,2,0,0,0,8,4,8,0,0,0
108539,20669,Chocolate Suicide Cake,6.8 oz,640,24,9,0,50,460,102,4,0,0,0,8,6,70,0,0,0
108540,20669,New York Style Cheesecake,6.3 oz,610,41,27,0,205,400,48,0,0,0,0,20,2,6,0,0,0
108541,20669,Strawberry Cheesecake Topping,1 oz,214,0,0,0,0,0,18,0,0,0,0,34,0,4,0,0,0
108542,20670,Pepsi??????,32 oz,400,0,0,0,0,100,108,0,0,0,0,0,0,0,0,0,0
108543,20670,Diet Pepsi,32 oz,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
108544,20670,Mountain Dew,32 oz,440,0,0,0,0,200,124,0,0,0,0,0,0,0,0,0,0
108545,20670,Pink Lemonade,32 oz,412,0,0,0,0,52,104,0,0,0,0,0,0,0,0,0,0
108546,20670,Dr. Pepper,32 oz,400,0,0,0,0,148,108,0,0,0,0,0,0,0,0,0,0
108547,20670,Sierra Mist,32 oz,400,0,0,0,0,100,104,0,0,0,0,0,0,0,0,0,0
108548,20670,Orange Slice,32 oz,520,0,0,0,0,140,136,0,0,0,0,0,0,0,0,0,0
108549,20670,Slice,32 oz,400,0,0,0,0,140,104,0,0,0,0,0,0,0,0,0,0
108550,20670,7-UP,32 oz,576,0,0,0,0,128,144,0,0,0,0,0,0,0,0,0,0
108551,20670,Hawaiian Punch,32 oz,480,0,0,0,0,640,120,0,0,0,0,0,0,0,0,0,0
108552,20670,Luzianne Iced Tea (unsweet),32 oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108553,20670,Luzianne Iced Tea (sweet),32 oz,120,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
