food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
109205,20725,The Original Double,1 sandwich,510,32,12,0,90,380,29,0,0,28,0,0,4,20,0,0,0
109206,20725,The Original Double,1 sandwich,580,38,16,0,105,730,29,0,0,32,0,6,14,20,0,0,0
109207,20725,The Original Single,1 sandwich,330,17,6,0,45,345,29,0,0,16,0,0,4,14,0,0,0
109208,20725,The Original Single,1 sandwich,400,23,10,0,60,695,29,0,0,20,0,6,14,14,0,0,0
109209,20725,Triple Steakburger™ Sandwich,1 sandwich,690,47,18,0,135,415,29,0,0,40,0,0,4,26,0,0,0
109210,20725,Triple Steakburger™ Sandwich,1 sandwich,830,59,26,0,165,1115,29,0,0,48,0,12,24,26,0,0,0
109211,20725,The Philadelphia,1 sandwich,848,52,16.5,0,100,1057,63,4,0,37,84,9,13,24,0,0,0
109212,20725,Bacon'n Cheese Double,1 sandwich,697,48,19.5,0,120,983,32,0,0,37,11,10,14,21,0,0,0
109213,20725,The Mushroom 'n Swiss,1 sandwich,812,46.5,19.5,0,135,893,56,3,0,46,2,11,40,26,0,0,0
109214,20725,Deluxe Cheddar 'n Bacon,1 sandwich,809,49,18,0,115,1304,57,2,0,41,0,2,12,22,0,0,0
109215,20725,Grilled Mushroom 'n Onion,1 sandwich,561,27,11.5,0,99,1285,42,2,0,36,12,12,11,22,0,0,0
109216,20725,Hickory Smoked Thick Bacon,1 sandwich,664,34.5,15.5,0,131,1647,40,1,0,46,13,10,10,23,0,0,0
109217,20725,Three Cheese,1 sandwich,677,36.5,18.5,0,143,1296,39,1,0,45,12,17,43,22,0,0,0
109218,20725,BBQ Bacon Ranch,1 sandwich,651,31,11.5,0,119,1690,47,2,0,42,13,5,1,24,0,0,0
109219,20725,Portobello & Swiss,1 sandwich,560,24.5,11.5,0,108,951,42,2,0,39,10,9,19,23,0,0,0
109220,20725,Frisco Melt,1 sandwich,1173,93,28,0,143,1345,43,1,0,40,0,11,33,22,0,0,0
109221,20725,Patty Melt,1 sandwich,1013,83,27,0,120,1111,31,3,0,38,5,12,25,17,0,0,0
109222,20725,Chicken Melt,1 sandwich,988,69,16,0,111,1606,46,1.5,0,45,11,9,23,15,0,0,0
109223,20725,Pepperjack Melt,1 sandwich,1122,91,26.5,0,130,1957,39,2,0,37,20,12,28,23,0,0,0
109224,20725,All-American Melt,1 sandwich,1298,103,31,0,150,1889,53,0.5,0,43,11,17,28,25,0,0,0
109225,20725,Turkey Melt,1 sandwich,950,70,16,0,98,1928,46,1.5,0,31,11,9,23,14,0,0,0
109226,20725,Spicy Chicken Sandwich,1 sandwich,542,31.5,5,0,40,1551,46,0,0,20,0,0,4,12,0,0,0
109227,20725,Grilled Chicken Breast,1 sandwich,471,26,4,0,52,726,33,0.5,0,27,11,5,4,12,0,0,0
109228,20725,Chicken Fingers 'n Fries,1 portion,873,59,11,0,59,1073,56,2.5,0,29,5,0,0,13,0,0,0
109229,20725,Chicken Fingers only,1 portion,613,46,8,0,59,785,22,0,0,27,0,0,0,9,0,0,0
109230,20725,"Bacon, Lettuce 'n Tomato",1 sandwich,528,34,9,0,40,974,44,0.5,0,16,11,5,8,13,0,0,0
109231,20725,Grilled Cheese 'n Bacon,1 sandwich,790,61,20,0,60,1700,41,0,0,23,0,18,38,12,0,0,0
109232,20725,Grilled Cheese,1 sandwich,680,51,17,0,45,1450,40,0,0,18,0,18,38,12,0,0,0
109233,20725,Fish Fillet,1 sandwich,753,52,7.5,0,70,1266,54,0,0,16,0,0,6,16,0,0,0
109234,20725,Fish Fillet with cheese,1 sandwich,823,58,11.5,0,85,1616,54,0,0,20,0,6,16,16,0,0,0
109235,20725,Turkey Club,1 sandwich,576,34.5,7.5,0,77,1521,43,1,0,25,12,5,8,16,0,0,0
109236,20726,French Fries,large - 7.3 oz,684,33.5,8,0,0,758,90,7,0,7,14,0,0,10,0,0,0
109237,20726,French Fries,regular - 5 oz,472,23,5.5,0,0,523,62,5,0,4,10,0,0,7,0,0,0
109238,20726,French Fries,small - 2.8 oz,260,12,3,0,0,288,34,2,0,2,5,0,0,4,0,0,0
109239,20726,Cheddar Cheese Fries,large - 7.3 oz,838,45,13,0,19,1681,98,7,0,12,14,4,19,10,0,0,0
109240,20726,Cheddar Cheese Fries,regular - 5 oz,626,34.5,10,0,19,1446,70,5,0,10,10,4,19,7,0,0,0
109241,20726,Cheddar Cheese Fries,small - 2.8 oz,336,18.5,5.5,0,10,749,38,3,0,5,5,2,10,4,0,0,0
109242,20726,Chili Cheese Fries,1 portion,1279,72.5,24.5,0,46,2352,132,12,0,24,21,22,25,26,0,0,0
109243,20726,Onion Rings,regular - 9 oz,668,39.5,6,0,0,1428,64,6,0,9,0,6,12,12,0,0,0
109244,20726,Onion Rings,small - 4.5 oz,334,19.5,3,0,0,714,32,3,0,5,0,3,6,6,0,0,0
109245,20726,Genuine Chili,1 cup - 6 oz,294,21,10,0,27,509,16,4,0,10,3,19,6,14,0,0,0
109246,20726,Creamy Coleslaw,3.5 oz,306,24,4,0,45,411,21,2,0,1,50,25,3,0,0,0,0
109247,20726,Old-Fashioned Baked Beans,1 crock,372,1,0,0,0,1466,76,12,0,14,4,0,16,20,0,0,0
109248,20726,Cottage Cheese,3.5 oz,103,2,1,0,9,395,9,0,0,12,4,0,6,0,0,0,0
109249,20726,"Cottage Cheese, no pineapple",3 oz,83,2,1,0,9,395,3.5,0,0,12,0,0,5,0,0,0,0
109250,20726,Vegetable Beef Soup,1 bowl - 12 oz,234,12.5,4,0,31,1563,20,5,0,13,31,78,3,3,0,0,0
109251,20726,Vegetable Beef Soup,1 cup - 6 oz,117,6.5,2,0,16,781,10,2,0,6,16,39,2,6,0,0,0
109252,20726,Chicken Noodle Soup,1 bowl - 12 oz,141,2.5,0,0,16,1563,17,2,0,9,6,141,3,6,0,0,0
109253,20726,Chicken Noodle Soup,1 cup - 6 oz,70,1,0,0,8,781,9.5,1,0,5,3,70,2,3,0,0,0
109254,20726,Cream of Broccoli Soup,1 bowl - 12 oz,266,15.5,9.5,0,55,2016,22,2,0,6,55,297,23,3,0,0,0
109255,20726,Cream of Broccoli Soup,1 cup - 6 oz,133,8,4.5,0,27,1008,11,1,0,3,27,148,12,2,0,0,0
109256,20726,Chicken Gumbo Soup,1 bowl - 12 oz,172,4.5,1.5,0,39,1563,20,3,0,16,47,63,13,13,0,0,0
109257,20726,Chicken Gumbo Soup,1 cup - 6 oz,86,2.5,1,0,20,781,10,2,0,8,23,31,6,6,0,0,0
109258,20726,Small Garden Salad,1 portion,23,0,0,0,0,12,5,1,0,1,37,39,2,3,0,0,0
109259,20727,Fried Chicken Salad,1 portion,1048,81,20,0,108,1544,47,3,0,35,37,97,36,14,0,0,0
109260,20727,Chicken Chef Salad,1 portion,463,32,12,0,92,654,10,3,0,36,50,103,35,9,0,0,0
109261,20727,Deluxe Garden Salad,1 portion,226,15,9,0,45,312,10,3,0,13,50,103,35,6,0,0,0
109262,20727,Beef Taco Salad,1 portion,940,59,17,0,71,1876,75,7,0,28,51,103,45,23,0,0,0
109263,20727,"Beef Taco Salad, Double Beef",1 portion,1047,65.5,20,0,89,2256,81,7,0,35,51,103,45,29,0,0,0
109264,20727,Chicken Taco Salad,1 portion,1072,70,17,0,100,1839,69,7,0,43,51,103,45,21,0,0,0
109265,20727,Chili 5-Way,1 portion,1033,66.5,35.5,0,135,1682,66,7,0,42,13,55,68,30,0,0,0
109266,20727,Chili 3-Way,1 portion,662,35.5,17.5,0,45,1111,63,7,0,20,10,37,7,30,0,0,0
109267,20727,Genuine Chili,1 bowl - 10 oz,490,34,17,0,45,848,26,6,0,16,5,31,10,23,0,0,0
109268,20727,Genuine Chili,1 cup - 6 oz,294,21,10,0,27,509,16,4,0,10,3,19,6,14,0,0,0
109269,20727,Chili Deluxe,1 bowl - 10 oz,861,64,35,0,135,1419,29,7,0,38,8,49,71,23,0,0,0
109270,20727,Chili Deluxe,1 cup - 6 oz,480,35.5,19,0,72,794,17,4,0,21,5,28,36,14,0,0,0
109271,20727,Chili Mac Supreme,1 portion,1067,59.5,32,0,127,1747,89,6,0,41,16,54,62,31,0,0,0
109272,20727,Chili Mac,1 portion,696,29.5,14,0,37,1176,87,5,0,20,13,36,2,30,0,0,0
109273,20727,Extra Chili Beef,1 oz,145,14,7,0,18,218,1,0,0,3,1,13,0,4,0,0,0
109274,20727,Extra Shredded Cheese,3 oz,360,30,18,0,90,570,0,0,0,21,0,18,60,0,0,0,0
109275,20727,Corn Chips,1 oz,140,8,1,0,0,140,16,2,0,2,0,0,4,2,0,0,0
109276,20727,Steak 'n Shake Dinner,1 portion,510,32,12,0,90,380,29,0,0,28,0,0,4,20,0,0,0
109277,20727,Chicken Fingers Dinner,1 portion,818,62,11,0,79,1046,29,0,0,36,0,0,0,12,0,0,0
109278,20727,Chili Mac Supreme Dinner,1 portion,1496,93,38,0,127,2058,114,7,0,49,52,96,74,40,0,0,0
109279,20727,Frisco Melt Dinner,1 sandwich,1173,93,28,0,143,1345,43,1,0,40,0,11,33,22,0,0,0
109280,20727,Fish Dinner,1 portion,704,52,8,0,80,1220,38,0,0,24,0,0,4,16,0,0,0
109281,20727,Chicken Melt Dinner,1 sandwich,950,70,16,0,98,1928,46,1.5,0,31,11,9,23,14,0,0,0
109282,20728,S'mores,regular,886,28,16,0,71,497,143,2,0,19,2,17,57,8,0,0,0
109283,20728,S'mores,large,1060,34,20,0,91,610,170,2,0,25,2,22,79,8,0,0,0
109284,20728,Popping Candy,regular,952,37.5,29,0,65,327,144,0,0,15,1,11,49,0,0,0,0
109285,20728,Popping Candy,large,1111,42.5,33,0,83,424,169,0,0,20,1,14,66,0,0,0,0
109286,20729,Bits n Pieces Milkshake made with M&M'S,regular,964,34,22,0,74,316,149,2,0,17,2,14,55,5,0,0,0
