menu_id,menu_name,restaurant_id
20725,"STEAKBURGER™ Sandwiches, Melts & Specialty Sandwiches",1101
20726,Soups 'N Sides,1101
20727,"Salads, Chili & Dinners",1101
20728,The Fountain & Desserts - Halloween Milkshakes,1101
20729,The Fountain & Desserts - Bits n Pieces Milkshakes,1101
20730,The Fountain & Desserts - Sippable™ Sundae Milk Shakes,1101
20731,"The Fountain & Desserts - Frozen Yogurt Milk Shakes, Medium Size",1101
20732,The Fountain & Desserts - Milk Shakes 'N Malts,1101
20733,The Fountain & Desserts - Freezes,1101
20734,The Fountain & Desserts - Desserts,1101
20735,Kids Menu,1101
20736,Breakfast,1101
20737,Breakfast Specials,1101
20738,Breakfast - Beverages 'N A La Carte,1101
20739,Breakfast Sandwiches,1101
20740,Beverages,1101
20741,Fountain Syrup Added To Drink,1101
20742,Condiments,1101
