food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
109537,20743,Original Chili,regular - 8 oz,270,12,5,0,40,650,25,5,7,17,8,15,2,4,0,0,0
109538,20743,Original Chili,large - 10 oz - 284 g,340,15,6,0,50,810,31,6,8,22,10,20,2,6,0,0,0
109539,20743,Original Chili,small - 326 g,400,13,5,0,40,650,53,5,7,20,8,15,2,15,0,0,0
109540,20743,Original Chili,semi-large - 14 oz - 397 g,470,22,8,0,70,1140,43,9,12,30,15,25,2,8,0,0,0
109541,20743,Original Chili,large - 14.5 oz - 411 g,500,16,6,0,50,810,67,7,9,25,10,20,2,15,0,0,0
109542,20743,Vegetarian Chili,large - 421 g,390,9,1,0,0,1680,63,15,8,19,35,20,8,20,0,0,0
109543,20743,Chili Burrito,361 g,380,13,4.5,0,30,900,49,10,8,22,25,70,4,6,0,0,0
109544,20743,Chili Dog Plate,369 g,710,43,17,0,105,1890,48,6,9,34,8,15,10,20,0,0,0
109545,20744,Fried Chicken Plate,598 g,1340,68,15,0,250,1250,110,2,2,64,0,10,6,45,0,0,0
109546,20744,Fried Chicken,3 pieces - 258 g,710,43,11,0,240,740,23,1,0,56,0,4,4,20,0,0,0
109547,20744,Korean Style Chicken,244 g,610,29,8,0,180,1860,33,1,25,52,2,4,4,20,0,0,0
109548,20744,Chicken Katsu - Katsu Sauce,112 g,290,16,4.5,0,105,100,3,0,0,30,0,2,2,8,0,0,0
109549,20745,Spaghetti Plate,794 g,1220,42,10,0,65,1700,167,8,9,38,10,20,4,45,0,0,0
109550,20745,Spaghetti Plate,2 pieces - 602 g,1090,36,17,0,95,2080,148,10,8,41,10,25,15,40,0,0,0
109551,20745,Mini Spaghetti Meat Sauce,1 piece - 301 g,540,18,8,0,45,1040,74,5,4,20,6,10,6,20,0,0,0
109552,20746,Oxtail Stew,14 oz - 397 g,560,24,10,0,195,1870,27,3,6,58,25,170,6,45,0,0,0
109553,20746,Hawaiian Style Stew,20 oz - 567 g,480,27,11,0,125,1450,17,3,4,40,35,180,8,25,0,0,0
109554,20746,Tripe Stew,14 oz - 397 g,290,9,2.5,0,225,1630,22,2,5,28,15,150,15,10,0,0,0
109555,20746,Beef Stew,14 oz - 397 g,520,25,9,0,105,1100,39,4,10,35,40,170,8,25,0,0,0
109556,20746,Lamb Curry,14 oz - 397 g,380,15,4,0,95,1820,26,3,4,34,25,190,6,20,0,0,0
109557,20747,Pot O' Gold Soup,284 g,230,14,8,0,50,500,21,2,2,5,25,10,4,4,0,0,0
109558,20747,Large Pot O' Gold Soup,397 g,320,20,11,0,70,700,29,3,3,7,35,15,6,6,0,0,0
109559,20747,Chicken Noodle Soup,284 g,180,7,2,0,45,1290,15,1,1,13,8,100,2,6,0,0,0
109560,20747,Large Chicken Noodle Soup,397 g,250,10,2.5,0,60,1810,21,1,2,19,10,140,4,8,0,0,0
109561,20747,Portuguese Bean Soup,284 g,460,27,10,0,105,870,23,3,4,30,15,35,4,10,0,0,0
109562,20747,Large Portuguese Bean Soup,397 g,650,38,14,0,150,1220,32,5,5,42,20,50,6,15,0,0,0
109563,20747,Vegetable Beef Soup,284 g,200,10,4,0,40,880,14,1,2,13,10,80,2,8,0,0,0
109564,20747,Large Vegetable Beef Soup,397 g,280,14,6,0,55,1230,20,2,2,18,15,110,4,10,0,0,0
109565,20748,Potato Corn Chowder,284 g,190,2.5,0,0,0,620,38,3,3,6,25,4,4,6,0,0,0
109566,20748,Large Potato Corn Chowder,397 g,270,3.5,0.5,0,0,870,53,4,5,8,35,6,6,10,0,0,0
109567,20748,Clam Chowder,284 g,280,17,3.5,0,15,1300,23,1,1,10,15,8,4,4,0,0,0
109568,20748,Large Clam Chowder,397 g,400,23,5,0,20,1810,32,2,2,14,20,10,6,6,0,0,0
109569,20748,Seafood Chowder,284 g,330,19,4,0,45,1290,21,1,1,19,15,10,6,4,0,0,0
109570,20748,Large Seafood Chowder,397 g,470,26,6,0,60,1810,29,2,2,27,20,15,8,6,0,0,0
109571,20749,Rice,2 scoops - 255 g,330,0.5,0,0,0,0,73,1,1,6,0,0,0,20,0,0,0
109572,20749,Brown Rice,2 scoops - 255 g,290,2,0,0,0,0,60,5,0,6,0,0,2,8,0,0,0
109573,20749,Mashed Potato,5 oz - 140 g,210,13,7,0,30,460,26,3,3,4,45,6,2,6,0,0,0
109574,20749,Garlic Bread,2 pieces - 148 g,490,19,11,0,40,890,67,4,0,12,0,10,10,20,0,0,0
109575,20749,Macaroni Salad,3 oz - 85 g,290,25,3.5,0,10,510,14,1,0,2,0,6,0,2,0,0,0
109576,20750,Kalua Pork and Cabbage,12 oz - 340 g,390,24,7,0,95,1020,14,5,8,32,110,6,15,15,0,0,0
