food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
109815,20770,Egg Taco,,176.5,11,6.1,0,60.5,175.8,11.1,1.6,0.7,8.7,0,0,0,0,0,0,0
109816,20770,Egg Sandwich,,466.7,30.5,17.8,0,109.8,692.2,33.1,1,4.2,15.3,0,0,0,0,0,0,0
109817,20770,Sausage & Egg Sandwich,,578.8,39.6,21.5,0,135.3,1150,34.2,1,4.7,21.5,0,0,0,0,0,0,0
109818,20770,Egg Burrito,,534.8,23.6,10.2,0,109.8,869.2,56,5,2,25.6,0,0,0,0,0,0,0
109819,20770,Sausage & Egg Burrito,,639.4,31.7,13.9,0,135.1,1205.4,55.7,4.9,1.9,31.6,0,0,0,0,0,0,0
109820,20770,Machaca Burrito,,623.1,25.7,11.5,0,146.1,1108.2,57.5,4.8,2.3,39.8,0,0,0,0,0,0,0
109821,20770,Chorizo & Egg Burrito,,656.9,33.6,14.3,0,134.7,1097.7,55.1,4.8,1.4,32.2,0,0,0,0,0,0,0
109822,20770,Chili & Egg Burrito,,533.6,23.1,10.3,0,110.5,784.6,55.1,4.9,1.6,25.8,0,0,0,0,0,0,0
109823,20770,Egg Burrito,,743.5,31.1,12.6,0,133.5,1497.8,75,11.9,3.1,42,0,0,0,0,0,0,0
109824,20770,Hash Browns,,432.6,22.8,8.9,0,0,67.5,55.8,4,0.4,6.3,0,0,0,0,0,0,0
109825,20770,Add Potato to any Breakfast Burrito,,247.2,13,5.1,0,0,38.6,31.9,2.3,0.2,3.6,0,0,0,0,0,0,0
109826,20770,Egg Burrito,,782,36.6,15.3,0,109.8,907.8,87.8,7.3,2.2,29.2,0,0,0,0,0,0,0
109827,20770,Sausage & Egg Burrito,,886.6,44.8,19,0,135.1,1243.9,87.5,7.1,2.2,35.2,0,0,0,0,0,0,0
109828,20770,Machaca Burrito,,870.3,38.7,16.6,0,146.1,1146.7,89.3,7.1,2.6,43.4,0,0,0,0,0,0,0
109829,20770,Chorizo & Egg Burrito,,904.1,46.6,19.4,0,134.7,1136.2,87,7.1,1.7,35.8,0,0,0,0,0,0,0
109830,20770,Chili & Egg Burrito,,780.8,36.1,15.4,0,110.5,823.1,87,7.2,1.8,29.4,0,0,0,0,0,0,0
109831,20771,Double Baker,,696.1,43.4,17.9,0,144.3,1118.3,33.5,0.9,4.6,42,0,0,0,0,0,0,0
109832,20771,Old Fashioned Hamburger,,382.2,19.7,5.4,0,54.9,466.3,32.8,0.9,3.9,18.6,0,0,0,0,0,0,0
109833,20771,Old Fashioned Cheeseburger,,462.1,26.3,9.6,0,74.9,770.5,33.2,0.9,4.2,23.3,0,0,0,0,0,0,0
109834,20771,Budget Meal Hamburger,,294.2,12,4.1,0,49.3,313.6,28,0,3,18,0,0,0,0,0,0,0
109835,20771,Grilled Boca Burger,,391.4,18.9,6.4,0,27.4,968.1,38.9,5.9,5.2,18,0,0,0,0,0,0,0
109836,20771,Grilled Boca Burger,,211.3,2.1,0.5,0,0,488.2,35,5.7,4.9,14.7,0,0,0,0,0,0,0
109837,20771,Grilled Cheese Sandwich,,363.2,22.3,13.3,0,58.3,878.4,27.7,2,4.7,13.4,0,0,0,0,0,0,0
109838,20771,Chicken Sandwich,,273.1,8.3,2.3,0,40.3,825.3,30.9,2.6,6.2,19,0,0,0,0,0,0,0
109839,20771,Grilled Cheese,,363.2,22.3,13.3,0,58.3,878.4,27.7,2,4.7,13.4,0,0,0,0,0,0,0
109840,20771,Boca Burger,,391.4,18.9,6.4,0,27.4,968.1,38.9,5.9,5.2,18.6,0,0,0,0,0,0,0
109841,20771,Boca Burger,,211.3,2.1,0.5,0,0,488.2,35,5.7,4.9,14.7,0,0,0,0,0,0,0
109842,20772,Budget Meal French Fries,,223.3,11.7,3.5,0,0,153.1,28,2.3,0.4,2.9,0,0,0,0,0,0,0
109843,20772,Regular French Fries,,357.2,18.8,5.7,0,0,244.9,44.9,3.6,0.6,4.6,0,0,0,0,0,0,0
109844,20772,1/2 Pound Fries,,759.1,39.9,12.1,0,0,520.5,96.3,7.7,1.2,9.7,0,0,0,0,0,0,0
109845,20772,Chili Cheese Fries,,988.1,58.6,21,0,50.9,1236.3,102.3,9.3,2.4,25.2,0,0,0,0,0,0,0
109846,20773,Grilled Chicken Sandwich,,380.1,18.5,4,0,47.6,1023.7,35.2,3.2,6.2,19,0,0,0,0,0,0,0
109847,20773,Grilled Chicken Sandwich,,273.1,8.3,2.3,0,40.3,525.3,30.9,2.5,6.2,18.8,0,0,0,0,0,0,0
109848,20773,Teriyaki Chicken Sandwich,,386,18.5,4,0,47.6,1295.4,36.3,3.2,6.2,19.4,0,0,0,0,0,0,0
109849,20773,Carribbean Chicken Sandwich,,398.4,18,3.5,0,47.6,1023.9,40.7,1.2,9,19,0,0,0,0,0,0,0
109850,20774,Chocolate Milkshake,,624.5,29,18,0,117.6,294.2,84.4,0.8,78.1,12.7,0,0,0,0,0,0,0
