food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
109972,20789,"Beef Burger, Organic ",190 g,365,14,5.5,0,60,0,35,2,0,23,0,0,0,0,0,0,0
109973,20789,"Beef Burger – The Big One, Organic ",260 g,545,26,11,0,120,0,35,2,0,41,0,0,0,0,0,0,0
109974,20789,"Turkey Burger, Natural",215 g,355,8,2,0,80,0,35,2,0,32,0,0,0,0,0,0,0
109975,20789,"Chicken Burger, Natural",205 g,365,8.5,2,0,55,0,35,2,0,35,0,0,0,0,0,0,0
109976,20789,Soy Burger,215 g,325,3,0,0,0,880,48,8,0,25,0,0,0,0,0,0,0
109977,20790,Beef Burger (4oz.pre-cooked weight),72 g,180,12,5.5,0,60,0,0,0,0,18,0,0,0,0,0,0,0
109978,20790,The Big One (8oz. pre-cooked weight),144 g,370,24,11,0,120,0,0,0,0,36,0,0,0,0,0,0,0
109979,20790,Turkey Burger (5oz. pre-cooked weight),98 g,170,6,2,0,80,0,0,0,0,27,0,0,0,0,0,0,0
109980,20790,Chicken Burger (5oz. pre-cooked weight),92 g,180,6.5,2,0,55,0,2,0,0,30,0,0,0,0,0,0,0
109981,20790,Soy Burger,99 g,140,1,0,0,0,580,13,6,0,20,0,0,0,0,0,0,0
109982,20790,Hamburger Bun,1 bun - 64 g,170,2,0,0,0,300,32,2,0,5,0,0,0,0,0,0,0
109983,20790,Low Carb Bun,1 bun - 48 g,90,1,0,0,0,220,16,7,0,9,0,0,0,0,0,0,0
109984,20790,Tomato,0.3 oz - 7 g,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109985,20790,Lettuce,1 oz - 28.4 g,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109986,20790,Onion,0.3 oz - 7 g,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109987,20790,Pickles,0.3 oz - 7 g,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
109988,20791,"Cheddar Cheese, Organic",1 oz - 28.4 g,110,9,6,0,30,170,0,0,0,7,0,0,0,0,0,0,0
109989,20791,Soy American Cheese,1 slice - 19 g,40,3,0.5,0,0,185,0,0,0,4,0,0,0,0,0,0,0
109990,20791,Veggie Canadian Bacon  ,2 slices - 38 g,55,0.5,0,0,0,320,1,1,0,11,0,0,0,0,0,0,0
109991,20791,"Pork Bacon, Natural & Nitrate-Free  ",2 slices - 14 g,60,5,2,0,0,290,0,0,0,4,0,0,0,0,0,0,0
109992,20792,Beef Hot Dog,113 g,310,16.5,4.5,0,35,740,28,2,0,12,0,0,0,0,0,0,0
109993,20792,Turkey Dog,100 g,230,7.5,2,0,35,610,28,2,0,16,0,0,0,0,0,0,0
109994,20792,Soy Dog,133 g,250,3,0,0,0,740,35,4,0,21,0,0,0,0,0,0,0
109995,20793,Beef Hot Dog,1 dog - 56 g,160,15,4.5,0,35,480,0,0,0,7,0,0,0,0,0,0,0
109996,20793,"Turkey Dog, Organic",1 dog - 43 g,80,6,2,0,30,350,0,0,0,6,0,0,0,0,0,0,0
109997,20793,Soy Dog,1 dog - 76 g,100,1.5,0,0,0,480,7,2,0,16,0,0,0,0,0,0,0
109998,20793,Hot Dog Bun - Organic,1 bun - 57 g,150,1.5,0,0,0,260,28,2,0,5,0,0,0,0,0,0,0
109999,20793,Relish,1 tbsp - 15 g,20,0,0,0,0,75,5,0,0,0,0,0,0,0,0,0,0
110000,20793,Sauerkraut,0.9 oz - 22 g,5,0,0,0,0,100,1,0.5,0,0,0,0,0,0,0,0,0
110001,20794,Better Fries,4.8 oz - 135 g,270,7,1,0,0,0,48,4,0,4,0,0,0,0,0,0,0
110002,20794,Vegetarian Chili,8 oz - 226 g,180,3,0,0,0,0,27,0,0,10.5,0,0,0,0,0,0,0
110003,20795,Vanilla Milk Smoothie,12 oz - 250 g,205,1.5,0,0,0,0,42,0,0,6,0,0,0,0,0,0,0
110004,20795,Vanilla Milk Smoothie,16 oz - 330 g,280,2,0,0,0,0,56,0,0,8,0,0,0,0,0,0,0
110005,20795,Strawberry Smoothie,12 oz - 278 g,230,1.5,0,0,0,0,48,0,0,6,0,0,0,0,0,0,0
110006,20795,Strawberry Milk Smoothie,16 oz - 378 g,325,2,0,0,0,0,66,0,0,8,0,0,0,0,0,0,0
110007,20795,Banana Milk Smoothie,12 oz - 278 g,240,1.5,0,0,0,0,50,0,0,6,0,0,0,0,0,0,0
110008,20795,Banana Milk Smoothie,16 oz - 378 g,340,2,0,0,0,0,70,0,0,8,0,0,0,0,0,0,0
110009,20795,Caramel Milk Smoothie,12 oz - 278 g,290,3,0,0,0,0,59,0,0,6,0,0,0,0,0,0,0
110010,20795,Caramel Milk Smoothie,16 oz - 378 g,405,4,0,0,0,0,84,0,0,8,0,0,0,0,0,0,0
110011,20795,Chocolate Milk Smoothie,12 oz - 278 g,260,1.5,0,0,0,0,55,0,0,6,0,0,0,0,0,0,0
110012,20795,Chocolate Milk Smoothie,16 oz - 378 g,360,2,0,0,0,0,77,0,0,8,0,0,0,0,0,0,0
