food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
110252,20823,"Bagel, bacon, egg",,450,11,4,0,250,1070,64,2,0,23,0,0,0,0,0,0,0
110253,20823,"Biscuit, bacon, egg",,400,23,6,0,250,580,32,1,0,16,0,0,0,0,0,0,0
110254,20823,"Bagel, ham, egg",,450,8,3,0,260,1380,65,2,0,28,0,0,0,0,0,0,0
110255,20823,"Biscuit, ham, egg",,400,20,4.5,0,260,890,33,1,0,21,0,0,0,0,0,0,0
110256,20823,"Bagel, sausage, egg",,600,26,9,0,280,1100,64,2,0,27,0,0,0,0,0,0,0
110257,20823,"Biscuit, sausage, egg",,470,29,9,0,280,610,32,1,0,20,0,0,0,0,0,0,0
110258,20823,Plain Bagel,,310,1,0.5,0,0,700,63,2,0,12,0,0,0,0,0,0,0
110259,20823,Cheese Bagel,,290,6,2,0,10,580,53,2,0,12,0,0,0,0,0,0,0
110260,20823,American cheese,2 sl,90,7,5,0,20,450,0,0,0,5,0,0,0,0,0,0,0
110261,20823,Tillamook Cheese,1 sl,120,10,6,0,40,170,1,0,0,7,0,0,0,0,0,0,0
110262,20823,Hash Browns,,220,13,0,0,23,320,23,0,0,2,0,0,0,0,0,0,0
110263,20823,"2 eggs, any style",,200,14,6,0,490,140,2,0,0,14,0,0,0,0,0,0,0
110264,20823,Ham,1.5 oz,55,2,0.8,0,20,610,0.5,0,0,8.5,0,0,0,0,0,0,0
110265,20823,Sausage patty,2 oz,210,20,7,0,40,330,0,0,0,8,0,0,0,0,0,0,0
110266,20824,Hamburger,,300,15,1,0,25,510,29,2,0,12,0,0,0,0,0,0,0
110267,20824,Cheeseburger,,350,19,4,0,35,730,29,2,0,14,0,0,0,0,0,0,0
110268,20824,Double Beef Chzburger,,430,25,3.5,0,55,790,29,2,0,22,0,0,0,0,0,0,0
110269,20824,Half Pound Colossal,,730,45,15,0,135,1330,31,5,0,48,0,0,0,0,0,0,0
110270,20824,Colossal,,520,30,9,0,75,1160,30,5,0,30,0,0,0,0,0,0,0
110271,20824,Tillamook Cheeseburger,,630,40,14,0,105,1080,32,5,0,34,0,0,0,0,0,0,0
110272,20824,Pepper Bacon Cheeseburger,,680,45,16,0,115,1230,28,5,0,38,0,0,0,0,0,0,0
110273,20824,Gardenburger,,460,19,2,0,30,1500,53,8,0,18,0,0,0,0,0,0,0
110274,20824,Spicy Black Bean Gardenburger,,550,32,0,0,40,1140,45,10,0,24,0,0,0,0,0,0,0
110275,20824,Turkey Burger,,540,29,7,0,60,900,33,5,0,36,0,0,0,0,0,0,0
110276,20824,Turkey Club Sandwich,,540,32,8,0,55,1000,38,3,0,27,0,0,0,0,0,0,0
110277,20824,Deluxe Crispy Chicken,,610,30,0,0,85,1380,56,3,0,30,0,0,0,0,0,0,0
110278,20824,Crispy Chicken,,450,18,0,0,40,1050,55,3,0,20,0,0,0,0,0,0,0
110279,20824,Grilled Chicken,,350,3,0,0,5,1140,45,3,0,37,0,0,0,0,0,0,0
110280,20824,Halibut Fillet Sandwich,,480,27,2,0,35,750,42,2,0,20,0,0,0,0,0,0,0
110281,20824,Halibut Fish,3 pieces,330,16,0,0,10,520,25,0,0,20,0,0,0,0,0,0,0
110282,20824,Halibut Fish,4 pieces,410,20,0,0,10,660,32,0,0,25,0,0,0,0,0,0,0
110283,20824,Chicken Strips,5 pieces,550,30,0,0,20,1330,36,0,0,33,0,0,0,0,0,0,0
110284,20824,Protein Platter,,530,40,14,0,100,760,6,3,0,38,0,0,0,0,0,0,0
110285,20825,Kid's,2.8 oz,220,12,0,0,0,240,24,2,0,3,0,0,0,0,0,0,0
110286,20825,Regular,5 oz,390,22,0,0,0,440,44,5,0,5,0,0,0,0,0,0,0
110287,20825,Large,6.5 oz,510,29,0,0,0,570,57,6,0,7,0,0,0,0,0,0,0
110288,20826,Side Salad,,70,4,2.5,0,10,100,5,3,0,5,0,0,0,0,0,0,0
110289,20826,NW Smoked Turkey Salad,,500,36,10,0,65,860,25,7,0,34,0,0,0,0,0,0,0
110290,20826,NW Smoked Salmon Salad,,540,34,10,0,45,1070,20,7,0,34,0,0,0,0,0,0,0
110291,20826,Chicken Strip Salad,,750,51,10,0,45,1180,39,7,0,38,0,0,0,0,0,0,0
110292,20826,Grilled Chicken Salad,,520,35,10,0,85,720,18,7,0,36,0,0,0,0,0,0,0
110293,20827,Blue Cheese Dressing,,240,24,2,0,15,340,3,0,0,1,0,0,0,0,0,0,0
110294,20827,Ranch Dressing,,250,27,2,0,20,390,1,0,0,0,0,0,0,0,0,0,0
110295,20827,Honey Mustard Dressing,,210,20,1.5,0,15,200,6,0,0,0,0,0,0,0,0,0,0
110296,20827,Italian Dressing,,140,15,2,0,0,380,1,0,0,0,0,0,0,0,0,0,0
110297,20827,Raspberry Vinaigrette,,45,2,0,0,0,260,6,0,0,0,0,0,0,0,0,0,0
110298,20827,BBQ Sauce Dip,,60,1,0,0,0,560,13,0,0,1,0,0,0,0,0,0,0
110299,20827,Spread Cups,2 oz,280,30,4,0,20,360,4,0,0,0,0,0,0,0,0,0,0
110300,20827,Tartar Cups,2 oz,260,28,4,0,30,360,2,0,0,0,0,0,0,0,0,0,0
110301,20828,Onion Rings,5 pieces,810,48,0,0,0,1260,83,3,0,12,0,0,0,0,0,0,0
110302,20828,Strawberry Shortcake,,290,4.5,1.5,0,0,340,62,0,0,3,0,0,0,0,0,0,0
110303,20828,Raspberry Shortcake,,330,7,3,0,20,390,63,4,0,4,0,0,0,0,0,0,0
110304,20828,Blackberry Shortcake,,340,7,3,0,20,390,70,5,0,4,0,0,0,0,0,0,0
110305,20828,Sweet Potato Fries,,530,29,0,0,0,510,60,3,0,4,0,0,0,0,0,0,0
110306,20828,Walla Walla Onion Chzburger,,679,44,12,0,80,1660,39,4,0,31,0,0,0,0,0,0,0
110307,20829,Strawberry Splash,,310,0.5,0,0,0,120,68,2,0,6,0,0,0,0,0,0,0
110308,20829,Triple Berry Blast,,350,0,0,0,0,160,75,0,0,7,0,0,0,0,0,0,0
110309,20829,Chocolate Monkey,,450,3,1.5,0,0,180,100,4,0,10,0,0,0,0,0,0,0
110310,20829,NW Raspberry,,420,0,0,0,0,200,91,2,0,9,0,0,0,0,0,0,0
110311,20829,Fresh Strawberry,,410,0,0,0,0,180,90,1,0,8,0,0,0,0,0,0,0
110312,20829,NW Blackberry,,420,0,0,0,0,200,92,2,0,9,0,0,0,0,0,0,0
110313,20829,Pumpkin Spice,,390,1.5,0.5,0,5,270,79,1,0,10,0,0,0,0,0,0,0
110314,20829,Chocolate Hazelnut,,460,3.5,0.5,0,0,230,93,1,0,11,0,0,0,0,0,0,0
110315,20829,NW Huckleberry,,390,0,0,0,0,210,82,0,0,9,0,0,0,0,0,0,0
110316,20830,Mocha Perk,,830,39,24,0,150,290,112,3,0,17,0,0,0,0,0,0,0
110317,20830,Black Forest,,820,32,20,0,120,260,130,3,0,13,0,0,0,0,0,0,0
110318,20830,Fresh Strawberry,,770,31,19,0,125,230,116,2,0,12,0,0,0,0,0,0,0
110319,20830,NW Raspberry,,870,36,23,0,150,280,126,3,0,14,0,0,0,0,0,0,0
110320,20830,NW Blackberry,,870,36,23,0,150,280,129,3,0,14,0,0,0,0,0,0,0
110321,20830,Regular Vanilla,,500,20,13,0,85,180,74,0,0,8,0,0,0,0,0,0,0
110322,20830,Regular Strawberry,,500,20,13,0,85,180,74,0,0,8,0,0,0,0,0,0,0
110323,20830,Regular Chocolate,,520,23,14,0,95,220,73,0,0,9,0,0,0,0,0,0,0
110324,20830,Pumpkin Spice,,770,35,21,0,140,350,105,1,0,14,0,0,0,0,0,0,0
110325,20830,Chocolate Hazelnut,,900,44,26,0,170,330,117,0,0,15,0,0,0,0,0,0,0
110326,20830,NW Huckleberry,,790,36,23,0,150,290,105,0,0,14,0,0,0,0,0,0,0
110327,20831,Chocolate Chunk,,320,14,5,0,20,340,48,0,0,4,0,0,0,0,0,0,0
110328,20831,Heath Toffee,,340,14,6,0,20,340,46,0,0,4,0,0,0,0,0,0,0
110329,20831,Oatmeal Raisin,,290,8,3,0,30,270,50,1,0,4,0,0,0,0,0,0,0
110330,20831,White Chocolate Macadamia,,340,16,6,0,20,360,46,0,0,4,0,0,0,0,0,0,0
110331,20832,Caramel,,380,15,10,0,65,160,56,0,0,6,0,0,0,0,0,0,0
110332,20832,Chocolate,,360,15,9,0,60,150,52,0,0,6,0,0,0,0,0,0,0
110333,20832,Hot Fudge,,380,18,12,0,60,160,51,0,0,7,0,0,0,0,0,0,0
110334,20832,Raspberry,,360,14,9,0,60,110,53,1,0,6,0,0,0,0,0,0,0
110335,20833,Ice Cream Cone,,250,11,7,0,50,100,32,0,0,5,0,0,0,0,0,0,0
110336,20833,Yogurt Cone,,190,0,0,0,0,110,39,0,0,4,0,0,0,0,0,0,0
110337,20834,Coca Cola,20 oz,161,0,0,0,0,10,44,0,0,0,0,0,0,0,0,0,0
