food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
110451,20845,Bacon ButterBurger Deluxe,jumbo - 14.7 oz - 416 g,1100,69,23,0,238,1912,59,3,11,61,3,12,30,45,0,0,0
110452,20845,Bacon Butterburger Deluxe,single - 8.2 oz - 232 g,586,39,12,0,103,1048,34,1,5,26,3,7,12,20,0,0,0
110453,20845,Bacon ButterBurger Deluxe,10.4 oz - 296 g,764,51,18,0,170,1332,34,1,5,43,2,11,19,30,0,0,0
110454,20845,ButterBurger Deluxe,jumbo - 15.9 oz - 450 g,992,58,19,0,215,1487,61,3,11,56,4,12,30,45,0,0,0
110455,20845,ButterBurger Deluxe,double - 9.9 oz - 282 g,684,44,15,0,155,1042,34,1,5,39,2,11,19,30,0,0,0
110456,20845,ButterBurger Deluxe,single - 7.9 oz - 225 g,507,32,10,0,88,838,34,1,5,22,3,7,12,20,0,0,0
110457,20845,"ButterBurger, Cheese",double - 8.9 oz - 252 g,580,32,14,0,145,1230,37,1,9,38,1,10,19,30,0,0,0
110458,20845,"ButterBurger, Cheese",jumbo - 13 oz - 368 g,823,40,17,0,200,1561,62,2,15,55,2,11,30,45,0,0,0
110459,20845,"ButterBurger, Cheese",single - 6.2 oz - 175 g,398,20,8,0,78,945,36,1,8,22,1,6,12,20,0,0,0
110460,20845,ButterBurger,double - 7.9 oz - 224 g,480,23,9,0,120,720,36,1,9,33,1,4,4,30,0,0,0
110461,20845,ButterBurger,jumbo - 12 oz - 340 g,723,31,12,0,175,1051,62,2,15,50,2,5,15,45,0,0,0
110462,20845,"Butterburger, Low Carb",6.4 oz - 182 g,443,32,14,0,150,862,1,0,0,37,1,9,15,20,0,0,0
110463,20845,ButterBurger,single - 5.4 oz - 154 g,346,15,6,0,65,690,35,1,8,19,0,3,4,20,0,0,0
110464,20846,Cheddar Burger,9.8 oz - 277 g,751,37,18,0,160,970,56,2,10,46,0,12,45,35,0,0,0
110465,20846,Cheddar Burger with Bacon,10.5 oz - 298 g,871,48,22,0,183,1405,56,2,10,52,0,12,45,35,0,0,0
110466,20846,Grilled Rueben Melt,10.8 oz - 306 g,578,28,13,0,107,1920,43,2,6,39,2,16,50,22,0,0,0
110467,20846,Mushroom & Swiss Burger,10.8 oz - 305 g,743,35,17,0,160,804,60,2,10,48,0,16,55,35,0,0,0
110468,20846,Mushroom & Swiss Burger,jumbo - 12 oz - 341 g,783,42,19,0,215,674,39,1,2,60,0,17,48,40,0,0,0
110469,20846,Sourdough Melt,9.6 oz - 273 g,668,36,17,0,160,811,37,1,3,44,2,12,38,30,0,0,0
110470,20846,Sourdough Melt,jumbo - 12 oz - 339 g,801,44,20,0,215,841,38,2,4,58,3,13,38,40,0,0,0
110471,20846,Wisconsin Swiss Melt,9.6 oz - 273 g,638,34,16,0,160,641,36,2,3,46,2,16,50,30,0,0,0
110472,20846,Wisconsin Swiss Melt,jumbo - 12 oz - 339 g,771,42,19,0,215,671,37,3,4,60,3,17,50,40,0,0,0
110473,20847,Beef Frank w/Bun,6.6 oz - 188 g,412,25,10,0,40,1471,38,1,14,12,2,0,10,14,0,0,0
110474,20847,Beef Pot Roast Sandwich,6.3 oz - 179 g,307,10,3,0,32,820,33,1,6,26,0,0,4,25,0,0,0
110475,20847,Blackened Chicken Sandwich,8.6 oz - 243 g,370,8,4,0,65,1387,48,2,6,31,2,9,15,21,0,0,0
110476,20847,Cheese Dog w/Bun,5.6 oz - 159 g,481,34,15,0,70,1270,27,1,5,19,0,6,30,14,0,0,0
110477,20847,"Chicken Tenders, Breaded",4 pieces - 6.5 oz - 184 g,420,18,6,0,80,1152,32,4,4,36,4,0,0,8,0,0,0
110478,20847,Chili Dog w/Bun,5.6 oz - 159 g,399,27,11,0,48,1250,28,1,5,14,0,0,10,14,0,0,0
110479,20847,Crispy Chicken Filet Sandwich,9.2 oz - 262 g,620,28,6,0,65,1763,68,3,7,26,2,5,19,19,0,0,0
110480,20847,Grilled Chicken Breast,8.2 oz - 233 g,375,8,3,0,85,1407,47,2,6,32,6,3,15,21,0,0,0
110481,20847,Grilled Ham 'n Swiss on Rye,8.7 oz - 247 g,517,26,13,0,126,1872,35,2,2,37,0,14,50,14,0,0,0
110482,20847,North Atlantic Cod Filet Sandwich,10 oz - 282 g,740,42,11,0,74,1239,58,3,8,33,9,9,28,21,0,0,0
110483,20847,Philly Ribeye Steak Sandwich,8.8 oz - 249 g,516,21,12,0,85,955,46,2,7,37,4,8,35,25,0,0,0
110484,20847,Pork Tenderloin Sandwich,10.5 oz - 298 g,703,29,11,0,65,1641,87,3,15,29,3,2,15,34,0,0,0
110485,20847,Turkey Sourdough BLT,9.7 oz - 275 g,565,31,9,0,94,2059,39,1,4,32,2,6,16,11,0,0,0
110486,20847,"Turkey, Stacked, Sandwich",8.5 oz - 241 g,463,20,4,0,66,1623,47,2,8,26,2,3,15,15,0,0,0
110487,20847,Buffalo Chicken Tenders,4 pieces - 164 g,392,19,4,0,60,2200,24,0,0,32,0,0,8,8,0,0,0
110488,20848,Breaded Shrimp,8 pieces - 17.2 oz - 488 g,1215,61,13,0,127,1886,140,8,37,25,156,8,11,27,0,0,0
110489,20848,Chicken,2 pieces - 24.8 oz - 703 g,1740,94,21,0,325,3196,137,7,34,86,66,8,6,40,0,0,0
110490,20848,Chicken,4 pieces - 31.3 oz - 887 g,2170,116,28,0,450,3776,155,7,34,123,66,10,6,52,0,0,0
110491,20848,North Atlantic Cod Filet,2 pieces - 21.1 oz - 599 g,1517,88,18,0,118,1885,130,9,36,53,82,10,10,25,0,0,0
110492,20848,North Atlantic Cod Filet,3 pieces - 25.8 oz - 731 g,1807,106,22,0,158,2335,142,10,37,75,90,13,12,30,0,0,0
110493,20848,Fish n' Chips,6 pieces - 410 g,1208,68,15,0,64,934,100,5,3,44,35,3,3,22,0,0,0
110494,20849,Chili Cheddar Fries,9.3 oz - 264 g,706,41,12,0,46,572,73,5,1,18,34,6,20,9,0,0,0
110495,20849,Coleslaw,5.3 oz - 150 g,350,21,4,0,25,690,37,2,32,1,40,2,4,2,0,0,0
110496,20849,Dinner Roll,1.3 oz - 38 g,120,5,2,0,10,200,16,1,2,3,0,2,2,6,0,0,0
110497,20849,French Fries,junior - 3.5 oz - 100 g,300,16,3,0,0,40,38,3,0,4,19,0,0,5,0,0,0
110498,20849,French Fries,large - 6.4 oz - 180 g,540,28,5,0,0,72,68,5,0,7,34,0,0,9,0,0,0
110499,20849,French Fries,regular - 4.9 oz - 140 g,420,22,4,0,0,56,53,4,0,5,26,0,0,7,0,0,0
110500,20849,Mashed Potatoes,5.9 oz - 168 g,132,2,0,0,0,204,25,2,2,4,12,0,5,2,0,0,0
110501,20849,Mashed Potatoes & Gravy,7 oz - 198 g,152,3,0,0,2,394,27,2,2,4,12,0,5,2,0,0,0
110502,20849,"Onion Rings, Breaded",6.7 oz - 190 g,580,29,9,0,0,1070,73,3,10,7,15,6,8,10,0,0,0
110503,20849,Seasoned Green Beans,5 oz - 142 g,214,18,7,0,28,20,10,3,4,2,22,5,5,5,0,0,0
110504,20849,Wisconsin Dairyland Cheese Curds,6.7 oz - 191 g,710,43,25,0,75,1740,54,3,15,28,0,15,60,6,0,0,0
110505,20850,BBQ Sauce,1 oz - 28 g,70,0,0,0,0,290,18,0,12,0,4,2,0,2,0,0,0
110506,20850,Dill Pickles,1 sliced - 0.3 oz - 7 g,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
110507,20850,Horseradish Sauce,1.1 oz - 30 g,130,12,2,0,15,220,5,0,4,0,2,0,0,0,0,0,0
110508,20850,Ketchup,0.6 oz - 17 g,15,0,0,0,0,190,4,0,4,0,0,0,0,0,0,0,0
