menu_id,menu_name,restaurant_id
20845,ButterBurger Classics,1114
20846,Specialty Burgers & Sandwiches,1114
20847,Favorites,1114
20848,Dinners,1114
20849,Sides,1114
20850,Condiments,1114
20851,Garden Fresh Salads,1114
20852,Salad Dressing (Choices vary at restaurants),1114
20853,Soups (Choices vary at participating restaurants),1114
20854,Classic Sundaes,1114
20855,Kids' Meals,1114
20856,Cones and Custard,1114
20857,"Malts, Shakes, Concrete",1114
20858,Special Treats,1114
20859,Toppings,1114
20860,Drinks,1114
20861,Daily Features (Choices vary daily),1114
