food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
110891,20870,Kid's Burger,1 burger,360,14,4.5,0.5,55,590,37,1,6,22,0,0,6,20,0,0,0
110892,20870,Kid's Cheeseburger,1 burger,410,19,7,0.5,70,850,38,1,6,24,0,4,15,20,0,0,0
110893,20870,Old Fashion Burger,1 burger,360,14,4.5,0.5,55,680,38,1,7,22,0,0,6,20,0,0,0
110894,20870,Mighty Deluxe Burger,1 burger,410,19,5,0.5,60,710,39,1,8,22,6,4,6,20,0,0,0
110895,20870,Mighty Deluxe Cheeseburger,1 burger,460,23,8,0.5,75,960,39,1,8,24,6,8,15,20,0,0,0
110896,20870,Double Good Time,1 burger,690,39,15,1.5,140,1280,39,1,8,43,6,10,25,30,0,0,0
110897,20870,Bacon Cheeseburger,1 burger,550,31,11,0.5,85,1420,37,1,6,32,6,8,15,20,0,0,0
110898,20870,Mammoth Burger,1 burger,870,50,21,2,205,1620,39,1,8,63,0,8,35,35,0,0,0
110899,20870,Guacamole Bacon Burger,1 burger,590,29,8,0.5,70,1400,52,4,9,30,30,15,8,20,0,0,0
110900,20870,Ranch Burger,1 burger,480,27,6,0.5,65,740,38,1,5,22,4,0,6,20,0,0,0
110901,20870,BBQ Burger,1 burger,400,14,4.5,0.5,55,910,46,1,13,22,0,4,10,25,0,0,0
110902,20870,Chili Burger,1 burger,460,20,7,0.5,75,880,43,3,6,28,15,10,20,25,0,0,0
110903,20870,Double Chili Burger,1 burger,630,31,12,1.5,135,940,43,3,6,45,15,10,20,35,0,0,0
110904,20870,Single Mushroom Swiss Burger,1 burger,440,21,8,1,70,970,39,2,5,26,0,2,15,20,0,0,0
110905,20870,Double Mushroom Swiss Burger,1 burger,610,33,12,2,125,1030,39,2,5,42,0,2,20,30,0,0,0
110906,20870,Big Daddy Bacon Cheeseburger,1 burger,960,62,22,1.5,170,2550,40,1,8,60,0,8,25,30,0,0,0
110907,20871,BLT Sandwich,1 sandwich,430,22,6,0,25,1680,37,1,6,22,6,4,4,15,0,0,0
110908,20871,Oven Roasted Chicken Sandwich,1 sandwich,420,20,3,0,60,1100,40,2,7,21,8,4,4,10,0,0,0
110909,20871,Crispy Chicken Sandwich,1 sandwich,490,23,3.5,2.5,50,1160,46,2,5,25,8,6,6,15,0,0,0
110910,20871,Teriyaki Chicken Sandwich,1 sandwich,440,11,4,0,65,1550,64,3,28,24,20,2,15,15,0,0,0
110911,20871,Ranch Peppercorn Chicken Sandwich,1 sandwich,720,43,9,2.5,80,2250,48,2,5,37,10,8,15,20,0,0,0
110912,20871,Buffalo Chicken Sandwich,1 sandwich,570,32,4,2.5,55,1740,47,2,5,26,20,6,6,20,0,0,0
110913,20871,Guacamole Chicken Sandwich,1 sandwich,670,33,6,2.5,55,2120,61,5,8,33,30,15,6,20,0,0,0
110914,20871,Chicken Dunkers,3 pieces,580,35,4.5,5,60,1820,42,0,2,27,6,4,10,25,0,0,0
110915,20871,"Chicken Dunkers, Kid's",2 pieces,390,23,3,3,40,1210,28,0,1,18,4,2,6,15,0,0,0
110916,20871,Honey Mustard Sauce,1 fl oz,140,12,2,0,10,150,9,0,8,1,0,0,0,0,0,0,0
