food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111422,20903,Asian Chicken Salad,401 g,140,1,0,0,25,470,19,5,13,14,0,0,0,0,0,0,0
111423,20903,Chicken Club Salad,431 g,300,15,6,0,65,880,13,4,7,27,0,0,0,0,0,0,0
111424,20903,Side Salad,137 g,60,3,1.5,0,10,65,5,2,3,3,0,0,0,0,0,0,0
111425,20903,Southwest Chicken Salad,488 g,300,11,5,0,55,860,29,7,8,24,0,0,0,0,0,0,0
111426,20904,Bacon Bacon Cheeseburger,294 g,840,56,19,1.5,95,1610,51,2,9,34,0,0,0,0,0,0,0
111427,20904,Bacon Ultimate Cheeseburger,338 g,1090,77,30,3,140,2040,53,2,12,46,0,0,0,0,0,0,0
111428,20904,Bacon 'n' Cheese Ciabatta Burger,395 g,1140,79,28,3,135,1740,69,3,7,45,0,0,0,0,0,0,0
111429,20904,Hamburger,118 g,310,14,6,1,40,600,30,1,6,16,0,0,0,0,0,0,0
111430,20904,Hamburger with Cheese,131 g,350,17,8,1,50,790,31,1,7,18,0,0,0,0,0,0,0
111431,20904,Hamburger deluxe,169 g,370,21,7,1,45,560,31,2,6,17,0,0,0,0,0,0,0
111432,20904,Hamburger deluxe with Cheese,194 g,460,28,11,1,70,930,33,2,7,21,0,0,0,0,0,0,0
111433,20904,Jumbo Jack,261 g,600,35,12,1.5,45,940,51,3,11,21,0,0,0,0,0,0,0
111434,20904,Jumbo Jack with Cheese,286 g,690,42,16,1.5,70,1310,54,3,12,25,0,0,0,0,0,0,0
111435,20904,Junior Bacon Cheeseburger,131 g,430,25,9,1,60,820,30,1,6,20,0,0,0,0,0,0,0
111436,20904,Original Ciabatta Burger,307 g,720,42,13,1.5,55,1280,67,3,5,25,0,0,0,0,0,0,0
111437,20904,Sourdough Jack,245 g,710,51,18,3,75,1230,36,3,7,27,0,0,0,0,0,0,0
111438,20904,Sourdough Ultimate Cheeseburger,291 g,950,73,29,4.5,125,1360,36,2,7,38,0,0,0,0,0,0,0
111439,20904,Ultimate Cheeseburger,323 g,1010,71,28,3,125,1580,53,2,12,40,0,0,0,0,0,0,0
111440,20905,Bacon Chicken Sandwich,152 g,440,24,6,2.5,40,970,39,2,4,19,0,0,0,0,0,0,0
111441,20905,Bruschetta Chicken Ciabatta Sandwich,338 g,660,26,7,0,85,1880,69,4,5,41,0,0,0,0,0,0,0
111442,20905,Chicken Breast Strips,4 strips - 201 g,500,25,6,6,80,1260,36,3,1,35,0,0,0,0,0,0,0
111443,20905,Chicken Fajita Pita,218 g,300,10,4.5,0,65,880,31,3,4,23,0,0,0,0,0,0,0
111444,20905,Chicken Sandwich,145 g,400,21,4.5,2.5,35,730,38,2,4,15,0,0,0,0,0,0,0
111445,20905,Chipotle Chicken Ciabatta™ with Grilled Chicken,312 g,700,30,9,0,105,1920,68,4,5,44,0,0,0,0,0,0,0
111446,20905,Chipotle Chicken Ciabatta™ with Spicy Crispy Chicken,297 g,770,36,10,3,80,1720,78,4,4,36,0,0,0,0,0,0,0
111447,20905,Fish & Chips - small,216 g,570,30,7,9,35,1100,58,4,1,17,0,0,0,0,0,0,0
111448,20905,Fish & Chips - medium,250 g,660,34,8,10,35,1250,70,5,1,18,0,0,0,0,0,0,0
111449,20905,Fish & Chips - large,313 g,830,42,10,12,35,1530,92,6,1,21,0,0,0,0,0,0,0
111450,20905,Jack's Spicy Chicken,270 g,620,31,6,3,50,1100,61,4,8,25,0,0,0,0,0,0,0
111451,20905,Jack's Spicy Chicken with Cheese,294 g,700,37,10,3,70,1410,62,4,8,29,0,0,0,0,0,0,0
111452,20905,Sourdough Grilled Chicken Club,266 g,530,28,7,2,85,1430,34,3,5,36,0,0,0,0,0,0,0
111453,20905,Southwest Chicken Pita,182 g,230,3.5,1,0,40,790,34,3,3,18,0,0,0,0,0,0,0
111454,20906,Bacon Cheddar Potato Wedges,257 g,720,48,15,12,45,1360,52,4,2,21,0,0,0,0,0,0,0
111455,20906,Egg Roll,1 roll - 57 g,130,6,2,1,5,310,15,2,1,5,0,0,0,0,0,0,0
111456,20906,Egg Rolls,3 rolls - 170 g,400,19,6,3,15,920,44,6,4,14,0,0,0,0,0,0,0
111457,20906,Beef Monster Taco,112 g,240,14,5,2,20,390,20,3,4,8,0,0,0,0,0,0,0
111458,20906,Natural Cut Fries,small - 99 g,270,12,3,3.5,0,440,35,3,1,4,0,0,0,0,0,0,0
111459,20906,Natural Cut Fries,medium - 133 g,360,17,4,5,0,590,47,4,1,5,0,0,0,0,0,0,0
111460,20906,Natural Cut Fries,large - 196 g,530,25,6,7,0,870,69,5,1,8,0,0,0,0,0,0,0
111461,20906,Onion Rings,8 rings - 119 g,500,30,6,10,0,420,51,3,3,6,0,0,0,0,0,0,0
111462,20906,Regular Beef Taco,76 g,160,8,3,1,15,270,15,2,4,5,0,0,0,0,0,0,0
111463,20906,Seasoned Curly Fries,small - 84 g,270,15,3,5,0,590,30,3,1,4,0,0,0,0,0,0,0
111464,20906,Seasoned Curly Fries,medium - 125 g,400,23,5,7,0,890,45,5,1,6,0,0,0,0,0,0,0
111465,20906,Seasoned Curly Fries,large - 170 g,550,31,6,10,0,1200,60,6,1,8,0,0,0,0,0,0,0
111466,20906,Stuffed Jalapenos,3 pieces - 72 g,230,13,6,2,20,690,22,2,2,7,0,0,0,0,0,0,0
111467,20906,Stuffed Jalapenos,7 pieces - 168 g,530,30,13,4.5,45,1600,51,4,5,15,0,0,0,0,0,0,0
111468,20907,Cheesecake,103 g,310,16,9,1,55,220,34,0,23,7,0,0,0,0,0,0,0
111469,20907,Chocolate Ice Cream Shake,small - 315 g,660,29,18,1,110,270,89,1,79,11,0,0,0,0,0,0,0
111470,20907,Chocolate Ice Cream Shake,medium - 413 g,850,38,24,1.5,150,340,111,1,98,15,0,0,0,0,0,0,0
111471,20907,Chocolate Ice Cream Shake,large - 630 g,1310,57,36,2,225,540,178,2,158,23,0,0,0,0,0,0,0
111472,20907,Chocolate Malted Crunch Ice Cream Shake,small - 329 g,720,33,22,1,115,270,94,1,80,13,0,0,0,0,0,0,0
111473,20907,Chocolate Malted Crunch Ice Cream Shake,medium - 427 g,920,43,28,1.5,155,350,116,1,99,16,0,0,0,0,0,0,0
111474,20907,Chocolate Malted Crunch Ice Cream Shake,large - 659 g,1450,65,43,2.5,230,540,188,2,160,25,0,0,0,0,0,0,0
111475,20907,Double Fudge Cake,85 g,310,11,3,0.5,25,270,49,4,37,3,0,0,0,0,0,0,0
111476,20907,OREO Cookie Ice Cream Shake,small - 301 g,670,33,19,1,110,350,81,1,63,12,0,0,0,0,0,0,0
111477,20907,OREO Cookie Ice Cream Shake,medium - 399 g,870,43,26,1.5,150,430,103,1,81,15,0,0,0,0,0,0,0
111478,20907,OREO Cookie Ice Cream Shake,large - 601 g,1350,66,39,2,225,710,162,2,126,23,0,0,0,0,0,0,0
111479,20907,Strawberry Ice Cream Shake,small - 313 g,640,28,18,1,110,220,84,0,71,10,0,0,0,0,0,0,0
111480,20907,Strawberry Ice Cream Shake,medium - 411 g,830,38,24,1.5,150,300,106,0,89,14,0,0,0,0,0,0,0
111481,20907,Strawberry Ice Cream Shake,large - 626 g,1270,56,35,2,225,440,167,1,141,21,0,0,0,0,0,0,0
111482,20907,Vanilla Ice Cream Shake,small - 285 g,570,29,18,1,115,220,65,0,54,11,0,0,0,0,0,0,0
111483,20907,Vanilla Ice Cream Shake,medium - 373 g,750,38,24,1.5,150,290,85,0,71,14,0,0,0,0,0,0,0
111484,20907,Vanilla Ice Cream Shake,large - 570 g,1140,58,36,2.5,230,440,128,1,108,22,0,0,0,0,0,0,0
111485,20908,Barq's Root Beer,20 fl oz - 420 g,180,0,0,0,0,40,50,0,50,0,0,0,0,0,0,0,0
111486,20908,Coca Cola Classic,20 fl oz - 420 g,170,0,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0
