food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111637,20922,Krystal,60 g,160,7,3,0,20,260,17,1,1,7,0,0,6,4,0,0,0
111638,20922,Cheese Krystal,68 g,180,9,4,0,25,430,17,2,1,9,0,4,10,2,0,0,0
111639,20922,Bacon Cheese Krystal,65 g,190,10,4.5,0,25,430,16,2,2,10,0,4,10,4,0,0,0
111640,20922,DBL Cheese Krystal,121 g,310,16,7,0,65,800,26,1,2,16,0,8,20,10,0,0,0
111641,20922,Double Krystal,108 g,260,13,6,0,40,550,24,2,2,13,0,0,15,10,0,0,0
111642,20923,BA,202 g,470,27,8,0.5,55,760,39,2,6,22,10,10,8,30,0,0,0
111643,20923,BA with Cheese,218 g,530,32,11,0.5,55,1020,40,2,6,25,10,10,15,30,0,0,0
111644,20923,BA Double Bacon Cheese,305 g,800,53,20,1.5,115,1600,41,2,6,44,10,10,25,40,0,0,0
111645,20924,4Carb Scrambler (bacon),1 serving - 5.5 oz - 156 g,370,29,10,1,595,830,4,1,0,24,0,25,15,10,0,0,0
111646,20924,4Carb Scrambler (sausage),1 serving - 7.5 oz - 213 g,600,51,18,1.5,600,1040,3,2,1,32,0,30,15,20,0,0,0
111647,20924,Scrambler,312 g,440,26,11,0,255,840,33,3,1,20,0,15,8,10,0,0,0
111648,20924,Country Breakfast,230 g,660,42,14,0,590,1450,46,8,3,24,8,20,4,30,0,0,0
111649,20924,Kryspers,51 g,190,13,5,0,10,340,17,2,0,1,0,0,0,4,0,0,0
111650,20924,Chik Biscuit,137 g,360,15,3,0,20,1030,40,0,2,13,0,4,4,8,0,0,0
111651,20924,Biscuit & Gravy,200 g,280,14,3,0,0,710,34,0,2,5,0,0,4,4,0,0,0
111652,20924,Bacon Egg Cheese Biscuit,137 g,390,23,7,0,40,1090,33,0,2,11,0,18,10,4,0,0,0
111653,20924,Sausage Biscuit,144 g,480,33,10,0,40,980,33,0,2,12,0,0,6,6,0,0,0
111654,20924,Plain Biscuit,87 g,270,13,3,0,0,660,33,0,2,5,0,0,4,4,0,0,0
111655,20924,Krystal Sunriser,94 g,240,14,5,0,255,460,14,2,1,12,0,10,10,6,0,0,0
111656,20925,Corn Pup,68 g,260,19,8,0,50,480,19,1,5,5,0,0,0,2,0,0,0
111657,20925,Chili Cheese Pup,76 g,210,12,5,0,40,510,17,2,2,9,0,6,10,4,0,0,0
111658,20925,Plain Pup,57 g,170,9,3.5,0,25,500,15,1,0,6,0,0,4,6,0,0,0
111659,20926,Krystal Chili,217 g,200,7,3.5,0,25,1130,22,7,2,13,0,0,15,2,0,0,0
111660,20926,Chili Cheese Fries,207 g,540,28,13,0,45,800,59,6,1,13,0,20,15,15,0,0,0
111661,20926,Regular Fries,119 g,470,20,8,0,20,90,53,7,0,4,0,0,20,0,0,0,0
111662,20926,Chik'n Bites Salad,262 g,290,20,11,0,65,490,12,4,1,20,0,0,0,4,0,0,0
111663,20926,Chik'n Bites (sm),113 g,310,19,8,0,55,790,16,1,0,17,10,35,20,4,0,0,0
111664,20927,Krystal Chik,81 g,240,11,3.5,0,25,640,24,2,1,11,0,0,0,0,0,0,0
111665,20928,Coca-Cola Classic (frzn),16 oz,130,0,0,0,0,12,36,0,36,0,0,0,0,0,0,0,0
111666,20928,Sprite,16 oz,126,0,0,0,0,33,39,0,39,0,0,0,0,0,0,0,0
111667,20928,Diet Coke (sm),16 oz,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
111668,20928,Coca-Cola Classic (sm),16 oz,129,0,0,0,0,9,40,0,40,0,0,0,0,0,0,0,0
111669,20929,Lemon Icebox Pie,99 g,260,9,2,0,25,180,41,2,37,5,2,0,15,4,0,0,0
111670,20929,Fried Apple Turnover,81 g,220,10,3.5,0,5,300,31,2,7,3,0,0,0,6,0,0,0
