food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111671,20930,Homeburger,115 g,270,18,8,0,90,480,2,0,0,27,0,0,0,0,0,0,0
111672,20930,Natureburger,90 g,210,11,4,0,0,720,8,6,0,17,0,0,0,0,0,0,0
111673,20930,Jumbo Hot Dog,91 g,215,16.7,0.6,0,37,1028,2,0,0,14,0,0,0,0,0,0,0
111674,20930,Regular Hot Dog,51 g,166,15,6,0,12,555,2,0,0,6.4,0,0,0,0,0,0,0
111675,20930,Chick'N Lick'N,80 g,101,1.3,0.5,0,49,574,4.5,0,0,18,0,0,0,0,0,0,0
111676,20930,Gobbler Patty,125 g,183,5.4,1.5,0,108,571,5.7,2.1,0,28,0,0,0,0,0,0,0
111677,20930,Chicken Fingers,4 pieces - 150 g,428,20,2.5,0,56,921,38,1.7,0,25,0,0,0,0,0,0,0
111678,20930,Chili,100 g,139,6.4,2.5,0,22,455,9.1,2.5,0,11,0,0,0,0,0,0,0
111679,20930,Veggie Chili,300 g,250,8,3.5,0,0,1050,28,10,0,15,0,0,0,0,0,0,0
111680,20930,Chili Dog,278 g,610,27,9.8,0,43,1618,60,5.3,0,32,0,0,0,0,0,0,0
111681,20930,BLT,273 g,561,25,4.2,0,33,1480,55,2.8,0,29,0,0,0,0,0,0,0
111682,20930,Sloppy Joe Platter,310 g,851,35,13,0,87,1565,83,6.9,0,50,0,0,0,0,0,0,0
111683,20930,Coney Island Hotdog,91 g,215,17,7,0,27,1058,2.1,0,0,14,0,0,0,0,0,0,0
111684,20930,Regular Caesar Salad,200 g,500,30,8,0,63,1700,32,4,0,27,0,0,0,0,0,0,0
111685,20930,Kiddie Homeburger,155 g,401,16,6.9,0,67,824,33.8,3.6,0,32,0,0,0,0,0,0,0
111686,20930,Kiddie Natureburger,155 g,296,8.1,8.6,0,0,557,42.9,7.2,0,13.4,0,0,0,0,0,0,0
111687,20930,Safari Buddies,4 pieces - 90 g,256,12,1.5,0,23,408,24,0,0,14,0,0,0,0,0,0,0
111688,20930,Nature Wrap,1 wrap - 180 g,380,15,5,0,15,1090,32,5,0,29,0,0,0,0,0,0,0
111689,20931,Regular French Fries,150 g,419,19,2,0,0,599,57,4.3,0,4.9,0,0,0,0,0,0,0
111690,20931,Kiddie French Fries,75 g,209,9.4,1,0,0,299,29,2.2,0,2.5,0,0,0,0,0,0,0
111691,20931,Onion Rings,6 pieces - 90 g,304,18,2,0,1,626,31,2.1,0,3.8,0,0,0,0,0,0,0
111692,20931,Coney Fries,292 g,616,28,5.7,0,33,1245,70,7.9,0,20,0,0,0,0,0,0,0
111693,20931,Taters'N Cream,236 g,612,33,11,0,27,846,64,4.9,0,15,0,0,0,0,0,0,0
111694,20931,Side Caesar Salad,100 g,251,15.5,4,0,31,848,16.1,1.9,0,13.5,0,0,0,0,0,0,0
111695,20932,Homeburger Bun,92 g,268,3.3,1,0,0,450,49,1.8,0,11,0,0,0,0,0,0,0
111696,20932,Whole Wheat Bun,50 g,140,1.5,0.4,0,0,250,26,2,0,6,0,0,0,0,0,0,0
111697,20932,Hotdog Bun,85 g,247,3.1,1,0,0,416,45,1.7,0,10,0,0,0,0,0,0,0
111698,20932,Kiddie Homeburger Bun,71 g,206,2.6,0.5,0,0,347,38,1.4,0,8.4,0,0,0,0,0,0,0
111699,20932,Guk,15 ml,50,5,0,0,10,150,3,0,0,0.1,0,0,0,0,0,0,0
111700,20932,Back Bacon,76.5 g,112,4.6,1.9,0,29.8,207,0,0,0,17,0,0,0,0,0,0,0
111701,20932,Cheese,28.4 g,97,7.1,4.6,0,9,14,0.2,0,0,8,0,0,0,0,0,0,0
