food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
111760,20939,Hamburger,3.7 oz - 105 g,260,9,3.5,0.5,30,530,33,1,7,13,2,2,15,15,0,0,0
111761,20939,Cheeseburger,4.2 oz - 119 g,310,12,6,1,40,740,35,1,7,15,2,6,20,15,0,0,0
111762,20939,Double Cheeseburger,6.1 oz - 173 g,460,23,11,1.5,80,1140,37,1,8,25,2,10,30,20,0,0,0
111763,20939,Quarter Pounder,6.1 oz - 171 g,420,18,7,1,70,730,40,3,8,24,2,2,15,25,0,0,0
111764,20939,Quarter Pounder,7 oz - 199 g,510,25,12,1.5,95,1150,43,3,9,29,2,10,30,25,0,0,0
111765,20939,Double Quarter Pounder,9.9 oz - 280 g,730,40,19,3,160,1330,46,3,9,47,2,10,30,35,0,0,0
111766,20939,Big Mac,7.8 oz - 219 g,560,30,10,1.5,80,1010,47,3,8,25,2,8,25,25,0,0,0
111767,20939,Big N' Tasty,8.2 oz - 232 g,470,23,8,1.5,80,790,41,3,9,24,8,8,15,25,0,0,0
111768,20939,Big N' Tasty,8.7 oz - 247 g,520,26,10,1.5,95,1010,43,3,9,27,8,15,20,25,0,0,0
111769,20939,Filet-O-Fish,5 oz - 141 g,400,18,4,1,40,640,42,1,8,14,0,2,15,10,0,0,0
111770,20939,McChicken ,5.2 oz - 147 g,370,16,3.5,1,50,810,41,1,5,15,2,2,15,15,0,0,0
111771,20939,Premium Grilled Chicken Classic Sandwich,8 oz - 229 g,420,9,2,0,80,1240,52,3,11,32,10,15,8,20,0,0,0
111772,20939,Premium Crispy Chicken Classic Sandwich,8.2 oz - 232 g,500,16,3,1.5,60,1380,63,3,11,27,10,15,8,20,0,0,0
111773,20939,Premium Grilled Chicken Club Sandwich,9.4 oz - 269 g,590,22,8,0,120,1690,54,3,12,45,10,20,30,20,0,0,0
111774,20939,Premium Crispy Chicken Club Sandwich,9.6 oz - 272 g,680,29,9,1.5,100,1830,64,3,11,40,10,20,30,20,0,0,0
111775,20939,Premium Grilled Chicken Ranch BLT Sandwich,8.5 oz - 242 g,490,13,4,0,90,1610,54,3,13,39,10,15,10,20,0,0,0
111776,20939,Premium Crispy Chicken Ranch BLT Sandwich,8.6 oz - 245 g,580,20,5,1.5,70,1750,64,3,12,34,10,15,10,20,0,0,0
111777,20939,Premium Spicy Chicken Sandwich,8 oz - 226 g,510,17,3,1.5,55,1430,64,3,11,26,10,15,8,20,0,0,0
111778,20940,Small French Fries,2.6 oz - 74 g,250,13,2.5,3.5,0,140,30,3,0,2,6,0,2,4,0,0,0
111779,20940,Medium French Fries,4 oz - 114 g,380,20,4,5,0,220,47,5,0,4,10,0,2,6,0,0,0
111780,20940,Large French Fries,6 oz - 170 g,570,30,6,8,0,330,70,7,0,6,15,0,2,10,0,0,0
111781,20940,Ketchup Packet,1 pkg - 10 g,10,0,0,0,0,100,3,0,2,0,2,2,0,0,0,0,0
111782,20940,Salt Packet,1 pkg - 0.7 g,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
111783,20941,Chicken McNuggets,4 piece - 2.3 oz - 64 g,170,10,2,1,25,450,10,0,0,10,2,2,0,2,0,0,0
111784,20941,Chicken McNuggets,6 piece - 3.4 oz - 96 g,250,15,3,1.5,35,670,15,0,0,15,2,2,2,4,0,0,0
111785,20941,Chicken McNuggets,10 piece - 5.6 oz - 160 g,420,24,5,2.5,60,1120,26,0,0,25,2,4,2,6,0,0,0
111786,20941,Chicken McNuggets,20 piece - 11.3 oz - 320 g,840,49,11,5,125,2240,51,0,0,50,6,6,4,15,0,0,0
111787,20941,Barbeque Sauce,1 pkg - 28 g,45,0,0,0,0,260,11,0,10,0,0,2,0,0,0,0,0
111788,20941,Honey,1 pkg - 14 g,50,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0
111789,20941,Hot Mustard Sauce,1 pkg - 28 g,50,2,0,0,0,260,9,1,6,1,0,0,0,2,0,0,0
111790,20941,Sweet 'N Sour Sauce,1 pkg - 28 g,50,0,0,0,0,160,11,0,10,0,0,0,0,2,0,0,0
111791,20941,Chicken Selects Premium Breast Strips,3 piece - 4.7 oz - 133 g,380,20,3.5,2.5,55,930,28,0,0,23,4,0,2,4,0,0,0
111792,20941,Chicken Selects Premium Breast Strips,5 piece - 7.8 oz - 221 g,630,33,6,4.5,90,1550,46,0,0,39,6,0,4,8,0,0,0
111793,20941,Chicken Selects Premium Breast Strips,10 piece - 15.6 oz - 442 g,1270,66,12,9,180,3100,92,0,0,77,15,0,8,15,0,0,0
111794,20941,Spicy Buffalo Sauce,1.5 oz - 43 g,60,6,1,0,0,910,1,1,0,0,0,8,0,0,0,0,0
111795,20941,Creamy Ranch Sauce,1.5 oz - 43 g,200,21,3.5,0,10,300,3,0,1,0,0,0,2,0,0,0,0
111796,20941,Tangy Honey Mustard Sauce,1.5 oz - 43 g,70,2,0,0,0,160,13,1,9,1,0,0,0,1,0,0,0
111797,20941,Southwestern Chipotle Barbeque Sauce,1.5 oz - 43 g,70,0,0,0,0,260,16,1,14,0,0,4,2,4,0,0,0
111798,20942,Asian Salad,12.7 oz - 362 g,290,10,1,0,65,890,23,6,12,31,90,130,15,20,0,0,0
111799,20942,Asian Salad,12.9 oz - 365 g,370,17,2,1.5,45,1030,34,6,12,26,80,130,15,20,0,0,0
