food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
112236,20968,Toasted Deli Sandwich Chicken Salad (White Roll),,370,5,1,0,0,0,58,5,5,24,0,0,0,0,0,0,0
112237,20968,Toasted Deli Sandwich Chicken Salad (White Roll),100 ml,132.1,1.8,0.4,0,0,0,20.2,1.8,1.8,8.6,0,0,0,0,0,0,0
112238,20968,Grilled Chicken Caesar Salad,,210,8,4,0,0,0,6,4,4,28,0,0,0,0,0,0,0
112239,20968,Grilled Chicken Caesar Salad,100 ml,72.9,2.8,1.4,0,0,0,2.1,1.4,1.4,9.7,0,0,0,0,0,0,0
112240,20968,Crispy Chicken Caesar Salad,,305,14,4,0,0,0,19,4,4,25,0,0,0,0,0,0,0
112241,20968,Crispy Chicken Caesar Salad,100 ml,102,6.4,1.3,0,0,0,6.4,1.3,1.3,8.4,0,0,0,0,0,0,0
112242,20968,Grilled Chicken Ranch Salad,,250,11,5,0,0,0,6,4,4,32,0,0,0,0,0,0,0
112243,20968,Grilled Chicken Ranch Salad,100 ml,82.2,3.6,1.6,0,0,0,2,1.3,1.3,10.5,0,0,0,0,0,0,0
112244,20968,Crispy Chicken Ranch Salad,,350,17,5,0,0,0,19,4,4,29,0,0,0,0,0,0,0
112245,20968,Crispy Chicken Ranch Salad,100 ml,111.1,5.4,1.6,0,0,0,6,1.3,1.3,9.2,0,0,0,0,0,0,0
112246,20968,Toasted Deli Sandwich Chicken Salad (Brown Roll),,380,8,1,0,0,0,53,5,5,24,0,0,0,0,0,0,0
112247,20968,Toasted Deli Sandwich Chicken Salad (Brown Roll),100 ml,135.7,2.9,0.4,0,0,0,18.9,1.8,1.8,8.6,0,0,0,0,0,0,0
112248,20968,Low Fat Ranch Dressing (Newman's Own),,70,2,0,0,0,0,10,0,5,3,0,0,0,0,0,0,0
112249,20968,Low Fat Ranch Dressing (Newman's Own),100 ml,88.9,2.5,0,0,0,0,12.7,0,6.4,3.8,0,0,0,0,0,0,0
112250,20968,Low Fat Caesar Dressing (Newman's Own),,55,2,1,0,0,0,7,0,5,3,0,0,0,0,0,0,0
112251,20968,Low Fat Caesar Dressing (Newman's Own),100 ml,70.8,2.6,1.3,0,0,0,9,0,6.4,3.9,0,0,0,0,0,0,0
112252,20968,Low Fat Balsamic Dressing (Newman's Own),,20,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
112253,20968,Low Fat Balsamic Dressing (Newman's Own),100 ml,62.3,3.1,0,0,0,0,9.4,0,6.2,0,0,0,0,0,0,0,0
112254,20968,Garden Side Salad,,15,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0
112255,20968,Garden Side Salad,100 ml,16.3,0,0,0,0,0,2.2,2.2,2.2,1.1,0,0,0,0,0,0,0
112256,20969,Toasted Deli Sweet Chilli Chicken (Brown Roll),,555,15,2,0,0,0,80,4,19,25,0,0,0,0,0,0,0
112257,20969,Toasted Deli Sweet Chilli Chicken (Brown Roll),100 ml,190.1,5.1,0.7,0,0,0,27.4,1.4,6.5,8.6,0,0,0,0,0,0,0
112258,20969,Hamburger,,250,8,3,0,0,0,30,3,7,14,0,0,0,0,0,0,0
