food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
112607,20990,TOPZ Burger,229 g,420,15,5,0,70,970,44,4,4,28,4,8,6,30,0,0,0
112608,20990,TOPZ Jr. Burger,111 g,230,9,3,0,40,720,21,2,2,16,2,4,4,25,0,0,0
112609,20990,Cheeseburger,251 g,490,23,11,0,95,890,38,3,4,34,2,15,10,35,0,0,0
112610,20990,Double Cheeseburger,350 g,720,36,18,0,185,1780,45,4,6,56,4,20,20,130,0,0,0
112611,20990,Turkey Burger,248 g,390,11,2,0,65,1650,38,5,4,35,4,10,25,35,0,0,0
112612,20990,Garden Cheeseburger,237 g,490,17,8,0,35,1310,62,8,5,21,4,15,15,25,0,0,0
112613,20990,Chicken Breast Burger,205 g,320,5,1,0,70,970,37,3,3,31,4,6,4,60,0,0,0
112614,20990,Spicy Chicken Breast Burger,212 g,350,6,1,0,80,1120,43,4,4,32,4,6,4,40,0,0,0
112615,20990,Ahi Fillet Burger,205 g,360,8,2,0,45,770,42,3,4,31,2,6,4,25,0,0,0
112616,20990,Double Dog,242 g,390,8,2,0,35,1610,60,7,8,20,8,10,15,25,0,0,0
112617,20990,Chicken Dog,219 g,370,10,3,0,55,1480,49,4,4,22,2,8,6,40,0,0,0
112618,20990,Grilled Cheese,134 g,440,20,12,0,50,1020,50,3,7,15,2,20,25,20,0,0,0
112619,20990,Grilled Cheese w/ Tomato,189 g,460,20,12,0,45,1100,54,4,9,17,2,20,30,30,0,0,0
112620,20990,Grilled Cheese w/ Bacon,144 g,530,29,16,0,65,1230,50,3,7,18,2,15,25,25,0,0,0
112621,20990,Grilled Cheese w/ Burger,210 g,620,32,17,0,105,1320,49,2,8,34,2,20,30,30,0,0,0
112622,20990,Grilled Cheese w/ BBT,277 g,740,41,21,0,135,1720,40,5,8,53,2,20,35,40,0,0,0
112623,20991,Aero Fries,158 g,380,14,4,0,0,330,58,7,0,6,2,4,2,25,0,0,0
112624,20991,French Fries,170 g,498,22,3,0,0,344,68,7,0,7,2,2,2,12,0,0,0
112625,20991,Chili Cheese Fries,277 g,660,35,9,0,40,900,68,11,0,19,2,15,15,20,0,0,0
112626,20991,TOPZ Chopped Salad,412 g,270,16,6,0,45,1760,13,7,0,19,35,45,10,80,0,0,0
112627,20991,Grilled Vegetable Salad,351 g,220,13,3,0,15,870,17,9,8,11,35,60,8,40,0,0,0
112628,20991,Spicy Chinese Chicken Salad,422 g,370,16,2,0,90,1350,23,7,0,34,30,90,30,120,0,0,0
112629,20991,Spicy Chinese Ahi Salad,422 g,360,17,3,0,55,1290,16,7,0,37,25,60,10,30,0,0,0
112630,20991,Chili,full order - 8 oz - 186 g,220,10,3,0,70,1030,8,3,4,24,4,10,2,20,0,0,0
112631,20991,Chili,half order - 4 oz - 93 g,110,5,1,0,35,515,4,1,2,12,2,5,1,10,0,0,0
112632,20992,Banana Fruit Shake,12 oz - 360 g,310,1,0,0,15,180,64,1,30,13,2,10,40,10,0,0,0
112633,20992,Blueberry Fruit Shake,12 oz - 360 g,210,0,0,0,0,40,51,0,32,0,30,8,2,15,0,0,0
112634,20992,Peach Fruit Shake,12 oz - 360 g,200,1,1,0,0,30,45,0,32,1,310,6,2,4,0,0,0
112635,20992,Raspberry Fruit Shake,12 oz - 360 g,210,0,0,0,0,15,50,1,30,1,50,15,2,20,0,0,0
112636,20992,Strawberry Fruit Shake,12 oz - 360 g,160,1,1,0,0,100,37,0,18,1,70,2,4,4,0,0,0
112637,20992,Tropical Fruit Shake,12 oz - 360 g,230,1,1,0,0,10,53,0,38,2,30,15,2,4,0,0,0
112638,20992,Chocolate Banana Shake,12 oz - 360 g,350,1,0,0,15,210,70,2,32,13,4,8,40,4,0,0,0
112639,20993,Jr. Kids Burger,74 g,200,6,2,0,40,370,21,1,2,15,2,2,2,15,0,0,0
112640,20993,Jr. Kids Hot Dog,86 g,200,4,1,0,20,810,30,3,5,10,4,4,6,15,0,0,0
112641,20993,Jr. Kids Grilled Cheese,67 g,220,10,6,0,25,510,25,1,3,7,1,10,12,10,0,0,0
