food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
112642,20994,Hamburger,84 g,200,9,0,0,0,382,17,0,0,12,0,0,0,0,0,0,0
112643,20994,French Fries,196 g,413,16,0,0,0,174,59,0,0,8,0,0,0,0,0,0,0
112644,20994,Chili Burger,84 g,251,14,0,0,0,243,16,0,0,14,0,0,0,0,0,0,0
112645,20994,Double Burger,112 g,300,17,0,0,0,362,15,0,0,21,0,0,0,0,0,0,0
112646,20994,Double Chili Burger,140 g,389,19,0,0,0,419,33,0,0,20,0,0,0,0,0,0,0
112647,20994,Egg Salad Sandwich,140 g,299,13,0,0,0,407,32,0,0,12,0,0,0,0,0,0,0
112648,20994,BBQ Pork Sandwich,112 g,220,8,0,0,0,344,18,0,0,19,0,0,0,0,0,0,0
112649,20994,Chicken Salad Sandwich,140 g,266,10,0,0,0,407,30,0,0,13,0,0,0,0,0,0,0
112650,20994,Grilled Chicken Sandwich,112 g,208,7,0,0,0,455,12,0,0,25,0,0,0,0,0,0,0
112651,20994,Onion Rings,112 g,369,34,0,0,0,864,10,0,0,4,0,0,0,0,0,0,0
112652,20994,Frosted Orange Medium,540 g,444,9,0,0,0,98,86,0,0,5,0,0,0,0,0,0,0
112653,20994,Fried Apple Pies,84 g,255,15,0,0,0,41,28,0,0,2,0,0,0,0,0,0,0
112654,20994,Fried Peach Pies,84 g,256,14,0,0,0,135,30,0,0,2,0,0,0,0,0,0,0
112655,20994,Plain Dog,56 g,167,9,0,0,0,286,16,0,0,6,0,0,0,0,0,0,0
112656,20994,Chili Dog,84 g,250,17,0,0,0,466,15,0,0,9,0,0,0,0,0,0,0
