food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
113987,21068,Tortellini Starter,340 g,930,56,33,0,205,1420,82,2,0,25,0,0,0,0,0,0,0
113988,21068,Sausage Starter,284 g,690,56,21,0,140,1790,7,1,0,31,0,0,0,0,0,0,0
113989,21068,Meatballs Starter,,910,61,22,0,245,2450,23,1,0,65,0,0,0,0,0,0,0
113990,21068,Garlic Cheese Bread Starter,13.5 oz,1220,85,21,0,0,2230,105,5,0,17,0,0,0,0,0,0,0
113991,21068,Bay Shrimp Crostini,8.3 oz,630,19,5,0,70,1360,86,3,0,26,0,0,0,0,0,0,0
113992,21068,Portuguese Linguica,17 oz,840,37,13,0,105,2590,85,11,0,40,0,0,0,0,0,0,0
113993,21068,Shrimp Spinach and Artichoke Dip,298 g,580,9,3.5,0,25,1580,103,5,0,21,0,0,0,0,0,0,0
113994,21068,Tapenade of Black Olives,10.3 oz,810,37,5,0,20,2070,99,5,0,18,0,0,0,0,0,0,0
113995,21069,Lunch Chicken Caesar Salad,15.3 oz,780,60,16,0,160,1980,21,4,0,40,0,0,0,0,0,0,0
113996,21069,Dinner Chicken Caesar Salad,19.5 oz,1050,83,22,0,190,2460,29,6,0,47,0,0,0,0,0,0,0
113997,21069,Small Caesar Salad,7 oz,380,34,8,0,30,610,11,3,0,8,0,0,0,0,0,0,0
113998,21069,Cobb Salad,18.5 oz,700,44,14,0,355,1750,15,5,0,62,0,0,0,0,0,0,0
113999,21069,BLT Salad,14 oz,760,59,12,0,90,2610,30,8,0,31,0,0,0,0,0,0,0
114000,21069,House Salad,5.5 oz,190,15,4,0,15,230,8,2,0,5,0,0,0,0,0,0,0
114001,21069,Mango Macadamia Chicken Salad,20 oz,850,51,8,0,125,2020,70,6,0,34,0,0,0,0,0,0,0
114002,21069,Orzo Salad,4 oz,80,3,0.5,0,0,600,11,1,0,2,0,0,0,0,0,0,0
114003,21069,Shrimp Louie Salad,14.5 oz,680,56,10,0,350,1250,19,3,0,27,0,0,0,0,0,0,0
114004,21070,Balsamic Vinaigrette,28 g,170,18,1.5,0,0,110,2,0,0,0,0,0,0,0,0,0,0
114005,21070,Fat Free Honey Mustard,1.5 oz,60,0,0,0,0,230,13,0,0,0,0,0,0,0,0,0,0
114006,21070,Reduced Calorie French,1.5 oz,100,6,0.5,0,0,540,13,0,0,0,0,0,0,0,0,0,0
114007,21070,1000 Island,1.5 oz,150,15,2.5,0,10,310,4,0,0,1,0,0,0,0,0,0,0
114008,21070,Blue Cheese,1.5 oz,190,21,4,0,20,270,1,0,0,2,0,0,0,0,0,0,0
114009,21070,Creamy Pesto,1.5 oz,200,21,3.5,0,15,180,1,0,0,1,0,0,0,0,0,0,0
114010,21070,Caesar,57 g,320,34,5,0,25,530,1,0,0,2,0,0,0,0,0,0,0
114011,21071,Mediterranean White Bean,9 oz,150,6,1,0,0,470,19,6,0,6,0,0,0,0,0,0,0
114012,21071,Chicken Orzo,9 oz,90,2.5,1,0,20,830,9,1,0,8,0,0,0,0,0,0,0
114013,21071,Cream of Broccoli,9 oz,220,12,7,0,40,1110,19,2,0,9,0,0,0,0,0,0,0
114014,21071,Chicken Mulligatawny,9 oz,250,14,8,0,60,990,20,2,0,10,0,0,0,0,0,0,0
114015,21071,Clam Chowder,9 oz,380,29,18,0,95,850,25,2,0,6,0,0,0,0,0,0,0
114016,21071,Minestrone,9.5 oz,120,5,1,0,5,890,15,3,0,5,0,0,0,0,0,0,0
114017,21072,Sausage Sandwich,411 g,830,49,16,0,110,2460,57,5,0,41,0,0,0,0,0,0,0
114018,21072,Meatball Sandwich,447 g,900,50,16,0,145,2450,64,6,0,50,0,0,0,0,0,0,0
114019,21072,Tuscan Chicken Sandwich,496 g,1110,67,13,0,175,1160,55,6,0,74,0,0,0,0,0,0,0
114020,21072,Seafood Cheddar Melt,14.5 oz,980,56,19,0,185,1940,74,6,0,44,0,0,0,0,0,0,0
114021,21072,Brie & Arugula Sandwich,12.8 oz,1350,102,41,0,195,2070,61,4,0,46,0,0,0,0,0,0,0
114022,21072,Factory Burger,20 oz,1380,89,31,0,315,1700,39,2,0,100,0,0,0,0,0,0,0
114023,21073,Spaghetti,284 g,300,3.5,0.5,0,0,680,56,4,0,9,0,0,0,0,0,0,0
114024,21073,Spaghetti,284 g,310,5,0.5,0,0,540,55,4,0,9,0,0,0,0,0,0,0
114025,21073,Spaghetti,284 g,310,3.5,1,0,10,740,55,4,0,14,0,0,0,0,0,0,0
114026,21073,Spaghetti,284 g,460,19,11,0,85,570,56,3,0,15,0,0,0,0,0,0,0
114027,21073,Spaghetti,242 g,590,34,21,0,95,650,49,3,0,23,0,0,0,0,0,0,0
114028,21073,Pot Pourri,284 g,480,22,12,0,65,710,54,4,0,16,0,0,0,0,0,0,0
114029,21073,Spaghetti & Meatballs,383 g,610,24,8,0,95,1440,62,4,0,35,0,0,0,0,0,0,0
114030,21073,Spaghetti,390 g,620,29,11,0,75,1420,57,4,0,28,0,0,0,0,0,0,0
114031,21073,Spaghetti,284 g,380,11,6,0,40,620,56,4,0,12,0,0,0,0,0,0,0
114032,21073,Spaghetti,284 g,300,3.5,0.5,0,5,710,56,4,0,12,0,0,0,0,0,0,0
114033,21073,Spaghetti,262 g,440,18,10,0,50,640,53,4,0,15,0,0,0,0,0,0,0
114034,21073,Spaghetti,284 g,380,12,6,0,40,550,56,4,0,12,0,0,0,0,0,0,0
114035,21073,Spaghetti,284 g,310,4,0.5,0,5,640,55,4,0,12,0,0,0,0,0,0,0
114036,21073,Spaghetti,262 g,450,19,11,0,50,570,52,3,0,15,0,0,0,0,0,0,0
114037,21073,Spaghetti,262 g,520,26,16,0,90,590,53,3,0,18,0,0,0,0,0,0,0
