food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
114107,21079,Ceaser,,620,0,11.7,0,0,0,33.7,0,0,20.7,0,0,0,0,0,0,0
114108,21079,Chicken Caesar,,695.6,0,11.7,0,0,0,35.6,0,0,37.7,0,0,0,0,0,0,0
114109,21079,Chicken Bruschetta,,318.6,0,3,0,0,0,10.9,0,0,25.6,0,0,0,0,0,0,0
114110,21079,Chinese Chicken,,379.3,0,4.1,0,0,0,19.8,0,0,21.8,0,0,0,0,0,0,0
114111,21079,House,,154.1,0,36,0,0,0,15,0,0,8,0,0,0,0,0,0,0
114112,21079,Chopped,,372.2,0,9.1,0,0,0,20.2,0,0,29.2,0,0,0,0,0,0,0
114113,21080,Chicken Pesto,,600.2,0,11.6,0,0,0,29.4,0,0,18.4,0,0,0,0,0,0,0
114114,21080,Tortellini Pesto,,668.3,0,11.7,0,0,0,53.1,0,0,10.1,0,0,0,0,0,0,0
114115,21080,Southwest Chicken,,265.4,0,0.9,0,0,0,42.3,0,0,18.6,0,0,0,0,0,0,0
114116,21080,Chicken Tarragon,,698.4,0,6.5,0,0,0,35.9,0,0,22.4,0,0,0,0,0,0,0
114117,21080,Thai,,529.1,0,5.6,0,0,0,39.6,0,0,15.7,0,0,0,0,0,0,0
114118,21080,Greek,,452.7,0,9.1,0,0,0,25.4,0,0,8.8,0,0,0,0,0,0,0
114119,21081,Cream Basil Chicken,,1434.5,0,54.5,0,0,0,61.7,0,0,41.3,0,0,0,0,0,0,0
114120,21081,Thai Chicken Linguine,,1026.8,0,6.9,0,0,0,107.9,0,0,55.5,0,0,0,0,0,0,0
114121,21081,Chicken Marsala,,628.4,0,1.8,0,0,0,74.8,0,0,30.7,0,0,0,0,0,0,0
114122,21081,Chicken Linguine Pesto,,1015.1,0,20.4,0,0,0,56.7,0,0,29.5,0,0,0,0,0,0,0
114123,21081,Spaghetti & Meatballs,,753.6,0,15.2,0,0,0,76.4,0,0,34.8,0,0,0,0,0,0,0
114124,21081,Italian Sausage,,771.6,0,11.2,0,0,0,71.7,0,0,34.5,0,0,0,0,0,0,0
114125,21081,Angel Hair Pomodoro,,526.1,0,4.2,0,0,0,59.4,0,0,9.7,0,0,0,0,0,0,0
114126,21081,Fettuccini Alfredo,,1139.5,0,55.7,0,0,0,60.2,0,0,25.3,0,0,0,0,0,0,0
114127,21081,Chicken Parmigiana,,515.8,0,3.9,0,0,0,74.7,0,0,35.5,0,0,0,0,0,0,0
114128,21081,Four Cheese Ravioli,,539.4,0,7.8,0,0,0,77.2,0,0,26.8,0,0,0,0,0,0,0
114129,21082,Grilled Chicken Bruchetta,,439.6,0,3.7,0,0,0,11.9,0,0,65.7,0,0,0,0,0,0,0
114130,21082,Grilled Chicken Marsala Dinner,,480.9,0,8.2,0,0,0,13.6,0,0,39.3,0,0,0,0,0,0,0
114131,21082,Grilled Ckn Tom Crm Dinner,,449,0,8,0,0,0,19.9,0,0,39.5,0,0,0,0,0,0,0
114132,21083,Chicken Fussili Pesto,,531.7,0,11.6,0,0,0,28.5,0,0,14.8,0,0,0,0,0,0,0
114133,21083,Chickent Tomato Cream,,361.8,0,5,0,0,0,40.6,0,0,17.7,0,0,0,0,0,0,0
114134,21083,Chicken Basil Cream,,716.2,0,27.2,0,0,0,30.8,0,0,20.6,0,0,0,0,0,0,0
114135,21083,Italian Sausage,,416.1,0,6,0,0,0,38.9,0,0,17.2,0,0,0,0,0,0,0
114136,21083,Angel Hair Pomodoro,,263,0,2.1,0,0,0,29.7,0,0,4.8,0,0,0,0,0,0,0
114137,21083,Fettucini Alfredo,,568.8,0,27.8,0,0,0,30.1,0,0,12.7,0,0,0,0,0,0,0
114138,21083,Spaghetti & Meatballs,,376.8,0,7.6,0,0,0,38.2,0,0,17.4,0,0,0,0,0,0,0
114139,21083,Chicken Primavera,,306.8,0,7.6,0,0,0,6.1,0,0,25.4,0,0,0,0,0,0,0
114140,21083,Grilled Chicken Marsala,,371.1,0,7.4,0,0,0,12.8,0,0,29.2,0,0,0,0,0,0,0
