food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
114141,21084,Gourmet Cheese Pizza,1 slice - 10.3 oz,660,21,0,0,40,1460,84,4,0,30,0,0,0,0,0,0,0
114142,21084,Gourmet Mushroom Pizza,1 slice - 10.8 oz,610,20,0,0,20,1600,85,5,0,22,0,0,0,0,0,0,0
114143,21084,Gourmet Meat Delight Pizza,1 slice - 11.9 oz,780,29,0,0,80,2250,84,4,0,41,0,0,0,0,0,0,0
114144,21084,Gourmet Broccoli & Spinach Pizza,1 slice - 12.8 oz,720,28,0,0,30,1540,88,6,0,29,0,0,0,0,0,0,0
114145,21084,"Gourmet Ham, Pineapple, & Bacon Pizza",1 slice - 11.9 oz,680,21,0,0,45,1820,88,4,0,33,0,0,0,0,0,0,0
114146,21084,Sauteed Spinach & Yellow Pepper Pizza,1 slice - 11.5 oz,670,24,0,0,30,1470,86,5,0,28,0,0,0,0,0,0,0
114147,21084,Gourmet Mushroom & Spinach Pizza,1 slice - 12.8 oz,710,27,0,0,30,1680,87,6,0,29,0,0,0,0,0,0,0
114148,21084,Gourmet Tomato & Basil Pizza,1 slice - 12.6 oz,700,25,0,0,40,1650,87,5,0,28,0,0,0,0,0,0,0
114149,21084,Cheese Pizza,1 slice - 7.7 oz,460,13,0,0,30,1080,60,3,0,24,0,0,0,0,0,0,0
114150,21084,Pepperoni Pizza,1 slice - 9.6 oz,730,37,0,0,75,2200,61,3,0,35,0,0,0,0,0,0,0
114151,21084,Sausage Pizza,1 slice - 9.7 oz,670,31,0,0,80,1810,60,3,0,35,0,0,0,0,0,0,0
114152,21084,Supreme Pizza,1 slice - 10.3 oz,630,27,0,0,60,1720,63,3,0,31,0,0,0,0,0,0,0
114153,21084,White Pizza,1 slice - 8.3 oz,570,23,0,0,55,1150,59,2,0,30,0,0,0,0,0,0,0
114154,21084,Chicken Vegetable Pizza,1 slice - 10 oz,530,17,0,0,45,1260,69,5,0,24,0,0,0,0,0,0,0
114155,21084,Mushroom Pizza,1 slice - 9 oz,460,14,0,0,20,1310,62,4,0,19,0,0,0,0,0,0,0
114156,21084,Fresh Tomato Pizza,1 slice - 8.2 oz,450,14,0,0,25,1040,60,3,0,20,0,0,0,0,0,0,0
114157,21084,Stuffed Spinach & Broccoli Pizza,1 slice - 12.9 oz,790,34,0,0,50,1610,89,5,0,32,0,0,0,0,0,0,0
114158,21084,Stuffed Pepperoni Pizza,1 slice - 12.6 oz,960,42,0,0,115,3200,89,4,0,52,0,0,0,0,0,0,0
114159,21084,Stuffed Philly Cheesesteak Pizza,1 slice - 14 oz,830,33,0,0,70,2090,94,5,0,38,0,0,0,0,0,0,0
114160,21084,Low Carb Cheese Pizza,1 slice - 6.7 oz,310,14,0,0,25,640,18,0,0,34,0,0,0,0,0,0,0
114161,21084,Low Carb Pepperoni Pizza,1 slice - 7.4 oz,420,14,0,0,60,940,18,0,0,36,0,0,0,0,0,0,0
114162,21084,Low Carb Sausage/Pepperoni Pizza,1 slice - 9.2 oz,560,35,0,0,95,1300,18,0,0,44,0,0,0,0,0,0,0
114163,21085,Mixed Garden Salad,8 oz,35,0,0,0,0,15,7,3,0,2,0,0,0,0,0,0,0
114164,21085,Fruit Salad,12 oz,130,1,0,0,0,15,32,3,0,2,0,0,0,0,0,0,0
114165,21085,Caesar Salad,8 oz,80,5,0,0,5,200,6,1,0,2,0,0,0,0,0,0,0
114166,21085,Cucumber & Tomato Salad,8 oz,130,11,0,0,0,85,9,2,0,1,0,0,0,0,0,0,0
