food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
114212,21095,Bare Burrito (Charbroiled Chicken),1 bowl - 598 g,640,7,1,0,75,2330,97,20,0,45,0,0,0,0,0,0,0
114213,21095,Bare Burrito (Charbroiled Steak),1 bowl - 595 g,730,15,5,0.5,100,2350,97,19,0,49,0,0,0,0,0,0,0
114214,21095,Bare Burrito (Pork Carnitas),1 bowl - 598 g,680,14,4,0,70,2480,99,20,0,37,0,0,0,0,0,0,0
114215,21095,Veggie & Cheese,1 bowl - 571 g,580,10,4,0,15,1990,101,20,0,19,0,0,0,0,0,0,0
114216,21095,Baja Burrito (Charbroiled Chicken),468 g,930,45,16,1,120,2170,83,10,0,55,0,0,0,0,0,0,0
114217,21095,Baja Burrito (Charbroiled Steak),465 g,1030,52,19,2,145,2190,83,9,0,59,0,0,0,0,0,0,0
114218,21095,Baja Burrito (Pork Carnitas),468 g,970,52,18,1.5,115,2320,85,10,0,47,0,0,0,0,0,0,0
114219,21095,Baja Burrito (Charbroiled Shrimp),482 g,910,44,16,1,295,2270,84,9,0,49,0,0,0,0,0,0,0
114220,21095,Baja Burrito (Breaded Fish),454 g,990,51,16,2,80,1940,96,9,0,42,0,0,0,0,0,0,0
114221,21095,Baja Burrito (Charbroiled Fish),480 g,930,44,16,1,115,1870,84,9,0,53,0,0,0,0,0,0,0
114222,21095,Burrito Mexicano (Charbroiled Chicken),542 g,940,20,4,0.5,75,2310,135,22,0,52,0,0,0,0,0,0,0
114223,21095,Burrito Mexicano (Charbroiled Steak),539 g,1030,27,8,1,100,2320,135,20,0,57,0,0,0,0,0,0,0
114224,21095,Burrito Mexicano (Pork Carnitas),542 g,980,27,7,0.5,70,2450,137,21,0,44,0,0,0,0,0,0,0
