food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
114939,21163,Flour Tortilla,,280,7,1.5,0,0,490,48,3,0,7,0,0,0,0,0,0,0
114940,21163,Spinach Tortilla,,270,6,1.5,0,0,560,47,3,0,7,0,0,0,0,0,0,0
114941,21163,Cayenne Tortilla,,270,6,1.5,0,0,470,47,3,0,7,0,0,0,0,0,0,0
114942,21163,Wheat Tortilla,,280,6,1.5,0,0,400,47,3,0,8,0,0,0,0,0,0,0
114943,21163,Rice,,110,2,0,0,0,210,21,1,0,2,0,0,0,0,0,0,0
114944,21163,Monterrey Jack,,80,6,4,0,0,115,0,0,0,5,0,0,0,0,0,0,0
114945,21163,Jack/Cheddar Blend,,83,7,4,0,0,131,1,0,0,5,0,0,0,0,0,0,0
114946,21163,Queso,,110,9,6,0,0,420,1,0,0,6,0,0,0,0,0,0,0
114947,21163,Refried Beans,,45,1.5,0,0,0,160,6,2,0,2,0,0,0,0,0,0,0
114948,21163,Whole Beans,,30,0,0,0,0,160,6,2,0,2,0,0,0,0,0,0,0
114949,21163,Black Beans,,35,0,0,0,0,125,7,1,0,2,0,0,0,0,0,0,0
114950,21163,Steak,,100,5,2,0,0,150,1,0,0,13,0,0,0,0,0,0,0
114951,21163,White Chicken,,50,1.5,0,0,0,240,0,0,0,10,0,0,0,0,0,0,0
114952,21163,Dark Chicken,,70,3.5,1,0,0,280,0,0,0,8,0,0,0,0,0,0,0
114953,21163,Roasted Veggies,,34,1,0,0,0,110,5,1,0,1,0,0,0,0,0,0,0
114954,21163,Hot Sauce,,10,0,0,0,0,120,2,1,0,0,0,0,0,0,0,0,0
114955,21163,Mild Sauce,,10,0,0,0,0,125,2,1,0,0,0,0,0,0,0,0,0
114956,21163,BBQ Sauce,,160,11,3.5,0,0,800,16,0,0,0,0,0,0,0,0,0,0
114957,21163,Death Sauce,,8,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0
114958,21163,Habenero Sauce,,4,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0
114959,21163,Lime Juice,,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
114960,21163,Salsa,,20,0,0,0,0,430,4,1,0,1,0,0,0,0,0,0,0
114961,21163,Guacamole,,50,3.5,0,0,0,70,4,2,0,1,0,0,0,0,0,0,0
114962,21163,Sour Cream,,63,5.5,3.5,0,0,16,1,0,0,1,0,0,0,0,0,0,0
