menu_id,menu_name,restaurant_id
21178,Appetizers,1162
21179,Salads w/o Dressing,1162
21180,Salads w/o Dressing - Components,1162
21181,Salad Dressings,1162
21182,Soups,1162
21183,Wet Burritos,1162
21184,Platters,1162
21185,Fajitas,1162
21186,Fajitas - Components,1162
21187,Quesadillas,1162
21188,Tacos,1162
21189,Enchiladas-One,1162
21190,Original Burrito Combos,1162
21191,Grill Items,1162
21192,Specialties,1162
21193,Specialties - Components,1162
21194,Sandwiches,1162
21195,Desserts,1162
21196,Kids,1162
21197,Kids - Components,1162
21198,Side Kicks,1162
