food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
115438,21199,Spicy Cajun - Prawn,20 oz,922,29,6,0,14,1866,122,16,0,42,0,0,360,10,0,0,0
115439,21199,Spicy Cajun - Chicken,20 oz,979,31,7,0,86,1929,121,16,0,51,0,0,311,9,0,0,0
115440,21199,Mangia! Mangia!™ - Prawn,22 oz,942,38,9,0,25,1859,103,15,0,45,0,0,539,11,0,0,0
115441,21199,Mangia! Mangia!™ - Chicken,22 oz,999,41,10,0,98,1922,102,15,0,54,0,0,490,10,0,0,0
115442,21199,Ya-Hoo BBQ - Steak,21 oz,958,30,6,0,76,1535,122,15,0,48,0,0,250,11,0,0,0
115443,21199,Ya-Hoo BBQ - Chicken,21 oz,970,33,6,0,81,1554,122,15,0,45,0,0,251,9,0,0,0
115444,21199,Thai Me Down™,25 oz,1127,43,7,0,72,1390,131,18,0,57,0,0,280,9,0,0,0
115445,21199,California,19 oz,632,17,2,0,0,1192,121,21,0,23,0,0,107,6,0,0,0
115446,21199,Baja,19 oz,843,24,3,0,0,1253,116,13,0,38,0,0,279,9,0,0,0
115447,21199,Surf & Turf,21 oz,934,28,5,0,50,1291,117,14,0,50,0,0,274,10,0,0,0
115448,21199,Godzilla™,25 oz,1103,39,15,0,143,1681,122,15,0,64,0,0,520,11,0,0,0
115449,21200,Veggie,small - 14 oz,598,21,3,0,0,964,88,11,0,16,0,0,171,6,0,0,0
115450,21200,Veggie,regular - 20 oz,778,23,3,0,0,1288,121,16,0,23,0,0,242,8,0,0,0
115451,21200,Chicken,small - 12 oz,569,13,3,0,54,885,82,9,0,30,0,0,155,6,0,0,0
115452,21200,Chicken,regular - 17 oz,849,22,6,0,108,1228,111,13,0,50,0,0,217,9,0,0,0
115453,21200,Steak,small - 12 oz,561,11,3,0,50,873,82,9,0,32,0,0,154,7,0,0,0
115454,21200,Steak,regular - 17 oz,833,18,5,0,101,1203,111,13,0,55,0,0,216,11,0,0,0
115455,21200,Pork,small - 12 oz,569,12,4,0,46,868,82,9,0,31,0,0,158,6,0,0,0
115456,21200,Pork,regular - 17 oz,849,20,6,0,92,1194,111,13,0,53,0,0,224,8,0,0,0
115457,21200,Braised Tofu,small - 16 oz,718,28,4,0,0,973,89,12,0,29,0,0,741,14,0,0,0
115458,21200,Braised Tofu,regular - 20 oz,924,33,5,0,0,1269,120,16,0,39,0,0,991,19,0,0,0
115459,21200,Bean & Cheese,19 oz,1022,28,13,0,50,1678,149,25,0,45,0,0,711,12,0,0,0
115460,21200,HTB™ - Steak & Chicken,18 oz,947,28,11,0,130,1367,111,13,0,59,0,0,428,10,0,0,0
115461,21200,HTB™ - Chicken & Veggie,20 oz,982,38,11,0,79,1444,117,14,0,43,0,0,443,8,0,0,0
115462,21201,High Tech Quesadilla,16 oz,864,38,17,0,63,1525,96,14,0,37,0,0,731,7,0,0,0
115463,21201,High Tech Salad,16 oz,393,17,4,0,61,697,33,6,0,26,0,0,181,3,0,0,0
115464,21201,Itty Bitty Beanie™,8 oz,491,11,4,0,13,762,78,13,0,20,0,0,269,6,0,0,0
115465,21201,Burrito Dog™,10 oz,688,29,11,0,54,1276,79,13,0,29,0,0,380,7,0,0,0
115466,21201,Itty Bitty Quesa-rito™,5 oz,495,23,12,0,50,720,49,3,0,21,0,0,532,3,0,0,0
115467,21202,Guacamole,,70,7,0,0,0,80,3,0,0,1,0,0,0,0,0,0,0
115468,21202,Light Sour Cream,,55,3,0,0,14,27,3,0,0,3,0,0,0,0,0,0,0
115469,21202,Jack Cheese,,106,9,0,0,25,152,0,0,0,7,0,0,0,0,0,0,0
115470,21202,Tomatoes,,9,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
115471,21202,Cilantro,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
115472,21202,Mild Green Chiles,,9,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0
115473,21202,Black Olives,,33,3,0,0,0,247,2,0,0,0,0,0,0,0,0,0,0
115474,21202,Jalapeño Peppers,,14,0,0,0,0,366,3,0,0,0,0,0,0,0,0,0,0
115475,21202,Lettuce,,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
115476,21202,Red Onions,,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
115477,21202,Charred Green Onions,,17,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
115478,21202,Extra Pinto Beans,,156,1,0,0,0,249,29,0,0,9,0,0,0,0,0,0,0
115479,21202,Extra Spanish Rice,,93,0,0,0,0,179,20,0,0,2,0,0,0,0,0,0,0
