food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
116036,21235,Joey Bag of Donuts,,773,26,11,0,67,2157,97,8,4,37,10,6,28,49,0,0,0
116037,21235,Joey Bag of Donuts,,773,25,10,0,67,2277,96,8,4,37,0,6,28,16,0,0,0
116038,21235,Joey Bag of Donuts,,713,25,8.5,0,28,2247,96,8,5,28,0,6,28,16,0,0,0
116039,21235,Joey Bag of Donuts,,633,18,8,0,28,1767,94,8,4,23,0,6,28,16,0,0,0
116040,21235,Joey Bag of Donuts,,783,27,11.8,0,73,2217,99,8,4,37,0,6,328,83,0,0,0
116041,21235,Joey Bag of Donuts,,709,21,8.8,0,57,1894,94,8,4,36,0,6,28,16,0,0,0
116042,21235,Joey Bag of Donuts,,819,26,11,0,67,2047,106,7,4,40,10,6,20,33,0,0,0
116043,21235,Joey Bag of Donuts,,819,25,10,0,67,2167,105,7,4,40,0,6,20,0,0,0,0
116044,21235,Joey Bag of Donuts,,759,25,8.5,0,28,2137,105,7,5,31,0,6,20,0,0,0,0
116045,21235,Joey Bag of Donuts,,679,18,8,0,28,1657,103,7,4,26,0,6,20,0,0,0,0
116046,21235,Joey Bag of Donuts,,829,27,11.8,0,73,2107,107,7,4,39,0,6,320,67,0,0,0
116047,21235,Joey Bag of Donuts,,755,21,8.8,0,57,1785,103,7,4,38,0,6,20,0,0,0,0
116048,21235,Joey Bag of Donuts,,463,17,8,0,67,1327,48,7,3,29,10,6,28,49,0,0,0
116049,21235,Joey Bag of Donuts,,463,16,7,0,67,1447,47,7,3,29,0,6,28,16,0,0,0
116050,21235,Joey Bag of Donuts,,403,16,5.5,0,28,1417,47,7,4,20,0,6,28,16,0,0,0
116051,21235,Joey Bag of Donuts,,323,9,5,0,28,937,45,7,3,15,0,6,28,16,0,0,0
116052,21235,Joey Bag of Donuts,,473,18,8.8,0,73,1387,50,7,3,29,0,6,328,83,0,0,0
116053,21235,Joey Bag of Donuts,,399,12,5.8,0,57,1064,45,7,3,28,0,6,28,16,0,0,0
116054,21235,Joey Bag of Donuts,,509,17,8,0,67,1217,57,6,3,32,10,6,20,33,0,0,0
116055,21235,Joey Bag of Donuts,,509,16,7,0,67,1337,56,6,3,32,0,6,20,0,0,0,0
116056,21235,Joey Bag of Donuts,,449,16,5.5,0,28,1307,56,6,4,23,0,6,20,0,0,0,0
116057,21235,Joey Bag of Donuts,,369,9,5,0,28,827,54,6,3,18,0,6,20,0,0,0,0
116058,21235,Joey Bag of Donuts,,519,18,8.8,0,73,1277,58,6,3,31,0,6,320,67,0,0,0
116059,21235,Joey Bag of Donuts,,445,12,5.8,0,57,955,54,6,3,30,0,6,20,0,0,0,0
116060,21235,Triple Lindy,,799,28,11,0,67,2464,100,9,5,38,10,6,28,49,0,0,0
116061,21235,Triple Lindy,,799,27,10,0,67,2584,99,9,5,38,0,6,28,16,0,0,0
116062,21235,Triple Lindy,,739,27,8.5,0,28,2554,99,9,6,29,0,6,28,16,0,0,0
116063,21235,Triple Lindy,,659,20,8,0,28,2074,97,9,5,24,0,6,28,16,0,0,0
116064,21235,Triple Lindy,,809,29,11.8,0,73,2524,102,9,5,38,0,6,328,83,0,0,0
116065,21235,Triple Lindy,,736,23,8.8,0,57,2202,97,9,5,37,0,6,28,16,0,0,0
116066,21235,Triple Lindy,,845,28,11,0,67,2355,109,8,5,40,10,6,20,33,0,0,0
116067,21235,Triple Lindy,,845,27,10,0,67,2475,108,8,5,40,0,6,20,0,0,0,0
116068,21235,Triple Lindy,,785,27,8.5,0,28,2445,108,8,5,31,0,6,20,0,0,0,0
116069,21235,Triple Lindy,,705,20,8,0,28,1965,106,8,5,26,0,6,20,0,0,0,0
116070,21235,Triple Lindy,,855,29,11.8,0,73,2415,110,8,5,40,0,6,320,67,0,0,0
116071,21235,Triple Lindy,,782,23,8.8,0,57,2092,106,8,5,39,0,6,20,0,0,0,0
116072,21235,Triple Lindy,,489,19,8,0,67,1634,51,8,4,30,10,6,28,49,0,0,0
116073,21235,Triple Lindy,,489,18,7,0,67,1754,50,8,4,30,0,6,28,16,0,0,0
116074,21235,Triple Lindy,,429,18,5.5,0,28,1724,50,8,5,21,0,6,28,16,0,0,0
116075,21235,Triple Lindy,,349,11,5,0,28,1244,48,8,4,16,0,6,28,16,0,0,0
116076,21235,Triple Lindy,,499,20,8.8,0,73,1694,53,8,4,30,0,6,328,83,0,0,0
116077,21235,Triple Lindy,,426,14,5.8,0,57,1372,48,8,4,29,0,6,28,16,0,0,0
116078,21235,Triple Lindy,,535,19,8,0,67,1525,60,7,4,32,10,6,20,33,0,0,0
116079,21235,Triple Lindy,,535,18,7,0,67,1645,59,7,4,32,0,6,20,0,0,0,0
116080,21235,Triple Lindy,,475,18,5.5,0,28,1615,59,7,4,23,0,6,20,0,0,0,0
116081,21235,Triple Lindy,,395,11,5,0,28,1135,57,7,4,18,0,6,20,0,0,0,0
116082,21235,Triple Lindy,,545,20,8.8,0,73,1585,61,7,4,32,0,6,320,67,0,0,0
116083,21235,Triple Lindy,,472,14,5.8,0,57,1262,57,7,4,31,0,6,20,0,0,0,0
116084,21235,Homewrecker,,892,35,17,0,97,2487,103,10,7,38,10,6,28,49,0,0,0
116085,21235,Homewrecker,,892,34,16,0,97,2607,102,10,7,38,0,6,28,16,0,0,0
116086,21235,Homewrecker,,832,34,14.5,0,58,2577,102,10,8,29,0,6,28,16,0,0,0
116087,21235,Homewrecker,,752,27,14,0,58,2097,100,10,7,24,0,6,28,16,0,0,0
116088,21235,Homewrecker,,902,36,17.8,0,103,2547,104,10,7,38,0,6,328,83,0,0,0
116089,21235,Homewrecker,,829,30,14.8,0,87,2224,100,10,7,37,0,6,28,16,0,0,0
116090,21235,Homewrecker,,938,35,17,0,97,2377,111,9,7,40,10,6,20,33,0,0,0
116091,21235,Homewrecker,,938,34,16,0,97,2497,110,9,7,40,0,6,20,0,0,0,0
116092,21235,Homewrecker,,878,34,14.5,0,58,2467,110,9,8,31,0,6,20,0,0,0,0
116093,21235,Homewrecker,,798,27,14,0,58,1987,108,9,7,26,0,6,20,0,0,0,0
116094,21235,Homewrecker,,948,36,17.8,0,103,2437,113,9,7,40,0,6,320,67,0,0,0
116095,21235,Homewrecker,,875,30,14.8,0,87,2115,108,9,7,39,0,6,20,0,0,0,0
116096,21235,Homewrecker,,582,26,14,0,97,1657,54,9,6,30,10,6,28,49,0,0,0
116097,21235,Homewrecker,,582,25,13,0,97,1777,53,9,6,30,0,6,28,16,0,0,0
116098,21235,Homewrecker,,522,25,11.5,0,58,1747,53,9,7,21,0,6,28,16,0,0,0
116099,21235,Homewrecker,,442,18,11,0,58,1267,51,9,6,16,0,6,28,16,0,0,0
116100,21235,Homewrecker,,592,27,14.8,0,103,1717,55,9,6,30,0,6,328,83,0,0,0
116101,21235,Homewrecker,,519,21,11.8,0,87,1394,51,9,6,29,0,6,28,16,0,0,0
116102,21235,Homewrecker,,628,26,14,0,97,1547,62,8,6,32,10,6,20,33,0,0,0
116103,21235,Homewrecker,,628,25,13,0,97,1667,61,8,6,32,0,6,20,0,0,0,0
116104,21235,Homewrecker,,568,25,11.5,0,58,1637,61,8,7,23,0,6,20,0,0,0,0
116105,21235,Homewrecker,,488,18,11,0,58,1157,59,8,6,18,0,6,20,0,0,0,0
116106,21235,Homewrecker,,638,27,14.8,0,103,1607,64,8,6,32,0,6,320,67,0,0,0
116107,21235,Homewrecker,,565,21,11.8,0,87,1285,59,8,6,31,0,6,20,0,0,0,0
116108,21235,Art Vandalay,,752,27,14,0,58,2097,100,10,7,24,0,6,28,16,0,0,0
116109,21235,Art Vandalay,,798,27,14,0,58,1987,108,9,7,26,0,6,20,0,0,0,0
116110,21235,Art Vandalay,,442,18,11,0,58,1267,51,9,6,16,0,6,28,16,0,0,0
116111,21235,Art Vandalay,,488,18,11,0,58,1157,59,8,6,18,0,6,20,0,0,0,0
116112,21236,The Full Monty,,210,8,4,0,34,525,19,5,2,14,5,3,14,24,0,0,0
116113,21236,The Full Monty,,210,8,3.5,0,34,585,18,5,2,14,0,3,14,7,0,0,0
116114,21236,The Full Monty,,180,8,2.7,0,14,570,18,5,3,9,0,3,14,7,0,0,0
116115,21236,The Full Monty,,140,5,2.5,0,14,330,17,5,2,7,0,3,14,7,0,0,0
116116,21236,The Full Monty,,215,9,4.4,0,36,555,20,5,2,14,0,3,164,41,0,0,0
116117,21236,The Full Monty,,178,6,2.9,0,29,394,17,5,2,13,0,3,14,7,0,0,0
116118,21236,The Full Monty,,240,8,4,0,34,495,24,5,2,15,5,3,10,17,0,0,0
116119,21236,The Full Monty,,240,8,3.5,0,34,555,24,5,2,15,0,3,10,0,0,0,0
116120,21236,The Full Monty,,210,8,2.7,0,14,540,24,5,3,11,0,3,10,0,0,0,0
116121,21236,The Full Monty,,170,5,2.5,0,14,300,23,5,2,8,0,3,10,0,0,0,0
116122,21236,The Full Monty,,245,9,4.4,0,36,525,25,5,2,15,0,3,160,33,0,0,0
116123,21236,The Full Monty,,208,6,2.9,0,29,364,23,5,2,15,0,3,10,0,0,0,0
116124,21236,The Full Monty,,240,11,4.5,0,34,525,19,5,2,14,5,3,14,24,0,0,0
116125,21236,The Full Monty,,240,11,4,0,34,585,18,5,2,14,0,3,14,7,0,0,0
116126,21236,The Full Monty,,210,11,3.2,0,14,570,18,5,3,9,0,3,14,7,0,0,0
116127,21236,The Full Monty,,170,8,3,0,14,330,17,5,2,7,0,3,14,7,0,0,0
116128,21236,The Full Monty,,245,12,4.9,0,36,555,20,5,2,14,0,3,164,41,0,0,0
116129,21236,The Full Monty,,208,9,3.4,0,29,394,17,5,2,13,0,3,14,7,0,0,0
116130,21236,The Full Monty,,270,11,4.5,0,34,495,24,5,2,15,5,3,10,17,0,0,0
116131,21236,The Full Monty,,270,11,4,0,34,555,24,5,2,15,0,3,10,0,0,0,0
116132,21236,The Full Monty,,240,11,3.2,0,14,540,24,5,3,11,0,3,10,0,0,0,0
116133,21236,The Full Monty,,200,8,3,0,14,300,23,5,2,8,0,3,10,0,0,0,0
116134,21236,The Full Monty,,275,12,4.9,0,36,525,25,5,2,15,0,3,160,33,0,0,0
116135,21236,The Full Monty,,238,9,3.4,0,29,364,23,5,2,15,0,3,10,0,0,0,0
116136,21236,The Other Lewinsky,,282,15,8,0,54,717,21,5,4,14,5,3,13,23,0,0,0
116137,21236,The Other Lewinsky,,282,14,7.5,0,54,777,20,5,4,14,0,3,13,6,0,0,0
116138,21236,The Other Lewinsky,,252,14,6.7,0,34,762,20,5,4,10,0,3,13,6,0,0,0
116139,21236,The Other Lewinsky,,212,11,6.5,0,34,522,19,5,4,7,0,3,13,6,0,0,0
116140,21236,The Other Lewinsky,,287,15,8.4,0,56,747,21,5,4,14,0,3,163,39,0,0,0
116141,21236,The Other Lewinsky,,250,12,6.9,0,49,586,19,5,4,14,0,3,13,6,0,0,0
116142,21236,The Other Lewinsky,,299,15,8,0,54,676,24,5,4,15,5,3,10,17,0,0,0
116143,21236,The Other Lewinsky,,299,14,7.5,0,54,736,23,5,4,15,0,3,10,0,0,0,0
116144,21236,The Other Lewinsky,,269,14,6.7,0,34,721,23,5,4,10,0,3,10,0,0,0,0
116145,21236,The Other Lewinsky,,229,11,6.5,0,34,481,22,5,4,8,0,3,10,0,0,0,0
116146,21236,The Other Lewinsky,,304,15,8.4,0,56,706,25,5,4,15,0,3,160,33,0,0,0
116147,21236,The Other Lewinsky,,267,12,6.9,0,49,545,22,5,4,14,0,3,10,0,0,0,0
116148,21236,The Other Lewinsky,,312,18,8.5,0,54,717,21,5,4,14,5,3,13,23,0,0,0
116149,21236,The Other Lewinsky,,312,17,8,0,54,777,20,5,4,14,0,3,13,6,0,0,0
116150,21236,The Other Lewinsky,,282,17,7.2,0,34,762,20,5,4,10,0,3,13,6,0,0,0
116151,21236,The Other Lewinsky,,242,14,7,0,34,522,19,5,4,7,0,3,13,6,0,0,0
116152,21236,The Other Lewinsky,,317,18,8.9,0,56,747,21,5,4,14,0,3,163,39,0,0,0
116153,21236,The Other Lewinsky,,280,15,7.4,0,49,586,19,5,4,14,0,3,13,6,0,0,0
116154,21236,The Other Lewinsky,,329,18,8.5,0,54,676,24,5,4,15,5,3,10,17,0,0,0
116155,21236,The Other Lewinsky,,329,17,8,0,54,736,23,5,4,15,0,3,10,0,0,0,0
116156,21236,The Other Lewinsky,,299,17,7.2,0,34,721,23,5,4,10,0,3,10,0,0,0,0
116157,21236,The Other Lewinsky,,259,14,7,0,34,481,22,5,4,8,0,3,10,0,0,0,0
116158,21236,The Other Lewinsky,,334,18,8.9,0,56,706,25,5,4,15,0,3,160,33,0,0,0
116159,21236,The Other Lewinsky,,297,15,7.4,0,49,545,22,5,4,14,0,3,10,0,0,0,0
116160,21236,The Ugly Naked Guy,,212,11,6.5,0,34,522,19,5,4,7,0,3,13,6,0,0,0
116161,21236,The Ugly Naked Guy,,229,11,6.5,0,34,481,22,5,4,8,0,3,10,0,0,0,0
116162,21236,The Ugly Naked Guy,,242,14,7,0,34,522,19,5,4,7,0,3,13,6,0,0,0
116163,21236,The Ugly Naked Guy,,259,14,7,0,34,481,22,5,4,8,0,3,10,0,0,0,0
116164,21237,Sherrnan Klump,,545,34,20,0,95,1060,38,2,5,20,0,12,40,0,0,0,0
116165,21237,John Coctostan,,763,42,23,0,135,1817,55,8,6,38,10,12,48,49,0,0,0
116166,21237,John Coctostan,,763,41,22,0,135,1937,54,8,6,38,0,12,48,16,0,0,0
116167,21237,John Coctostan,,703,41,20.5,0,95,1907,54,8,7,29,0,12,48,16,0,0,0
116168,21237,John Coctostan,,623,34,20,0,95,1427,52,8,6,24,0,12,48,16,0,0,0
116169,21237,John Coctostan,,773,43,23.8,0,140,1877,57,8,6,38,0,12,348,83,0,0,0
116170,21237,John Coctostan,,699,37,20.8,0,125,1554,52,8,6,37,0,12,48,16,0,0,0
116171,21237,John Coctostan,,809,42,23,0,135,1707,64,7,6,41,10,12,40,33,0,0,0
116172,21237,John Coctostan,,809,41,22,0,135,1827,63,7,6,41,0,12,40,0,0,0,0
116173,21237,John Coctostan,,749,41,20.5,0,95,1797,63,7,7,32,0,12,40,0,0,0,0
116174,21237,John Coctostan,,669,34,20,0,95,1317,61,7,6,27,0,12,40,0,0,0,0
116175,21237,John Coctostan,,819,43,23.8,0,140,1767,65,7,6,40,0,12,340,67,0,0,0
116176,21237,John Coctostan,,745,37,20.8,0,125,1445,61,7,6,39,0,12,40,0,0,0,0
116177,21237,I Said Posse,,675,38,20,0,95,1477,58,8,9,26,0,12,48,14,0,0,0
116178,21237,I Said Posse,,735,38,20,0,95,1417,69,8,9,29,0,12,40,0,0,0,0
116179,21238,Ruprict,,268,17,9,0,30,1577,20,7,4,10,0,0,8,16,0,0,0
116180,21238,Ruprict,,314,17,9,0,30,1467,29,6,4,13,0,0,0,0,0,0,0
116181,21238,Billy Barou,,780,30,12,0,70,2152,105,8,6,36,10,0,8,49,0,0,0
116182,21238,Billy Barou,,780,29,11,0,70,2272,104,8,6,36,0,0,8,16,0,0,0
116183,21238,Billy Barou,,720,29,9.5,0,30,2242,104,8,7,27,0,0,8,16,0,0,0
116184,21238,Billy Barou,,640,22,9,0,30,1762,102,8,6,22,0,0,8,16,0,0,0
116185,21238,Billy Barou,,790,31,12.8,0,75,2212,107,8,6,36,0,0,308,83,0,0,0
116186,21238,Billy Barou,,716,25,9.8,0,60,1890,102,8,6,35,0,0,8,16,0,0,0
116187,21238,Billy Barou,,826,30,12,0,70,2043,113,7,6,38,10,0,0,33,0,0,0
116188,21238,Billy Barou,,826,29,11,0,70,2163,112,7,6,38,0,0,0,0,0,0,0
116189,21238,Billy Barou,,766,29,9.5,0,30,2133,112,7,7,29,0,0,0,0,0,0,0
116190,21238,Billy Barou,,686,22,9,0,30,1653,110,7,6,24,0,0,0,0,0,0,0
116191,21238,Billy Barou,,836,31,12.8,0,75,2103,115,7,6,38,0,0,300,67,0,0,0
116192,21238,Billy Barou,,762,25,9.8,0,60,1780,110,7,6,37,0,0,0,0,0,0,0
116193,21239,Pinky Tuscadero,,373,18,7,0,28,1100,43,7,7,13,0,6,20,0,0,0,0
116194,21239,Pinky Tuscadero,,183,12,5,0,28,580,12,6,6,8,0,6,20,0,0,0,0
116195,21239,Close Talker,,581,26,10,0,67,1857,58,13,8,31,10,6,28,49,0,0,0
116196,21239,Close Talker,,581,25,9,0,67,1977,57,13,8,31,0,6,28,16,0,0,0
116197,21239,Close Talker,,521,25,7.5,0,28,1947,57,13,9,22,0,6,28,16,0,0,0
116198,21239,Close Talker,,441,18,7,0,28,1467,55,13,8,17,0,6,28,16,0,0,0
116199,21239,Close Talker,,591,27,10.8,0,73,1917,60,13,8,31,0,6,328,83,0,0,0
116200,21239,Close Talker,,518,21,7.8,0,57,1594,55,13,8,30,0,6,28,16,0,0,0
116201,21239,Close Talker,,627,26,10,0,67,1747,67,12,8,34,10,6,20,33,0,0,0
116202,21239,Close Talker,,627,25,9,0,67,1867,66,12,8,34,0,6,20,0,0,0,0
116203,21239,Close Talker,,567,25,7.5,0,28,1837,66,12,9,25,0,6,20,0,0,0,0
116204,21239,Close Talker,,487,18,7,0,28,1357,64,12,8,20,0,6,20,0,0,0,0
116205,21239,Close Talker,,637,27,10.8,0,73,1807,68,12,8,33,0,6,320,67,0,0,0
116206,21239,Close Talker,,564,21,7.8,0,57,1485,64,12,8,32,0,6,20,0,0,0,0
116207,21239,Close Talker,,391,20,8,0,67,1337,27,12,7,26,10,6,28,49,0,0,0
116208,21239,Close Talker,,391,19,7,0,67,1457,26,12,7,26,0,6,28,16,0,0,0
116209,21239,Close Talker,,331,19,5.5,0,28,1427,26,12,8,17,0,6,28,16,0,0,0
116210,21239,Close Talker,,251,12,5,0,28,947,24,12,7,12,0,6,28,16,0,0,0
116211,21239,Close Talker,,401,21,8.8,0,73,1397,29,12,7,26,0,6,328,83,0,0,0
116212,21239,Close Talker,,328,15,5.8,0,57,1074,24,12,7,25,0,6,28,16,0,0,0
116213,21239,Close Talker,,437,20,8,0,67,1227,36,11,7,29,10,6,20,33,0,0,0
116214,21239,Close Talker,,437,19,7,0,67,1347,35,11,7,29,0,6,20,0,0,0,0
116215,21239,Close Talker,,377,19,5.5,0,28,1317,35,11,8,20,0,6,20,0,0,0,0
116216,21239,Close Talker,,297,12,5,0,28,837,33,11,7,15,0,6,20,0,0,0,0
116217,21239,Close Talker,,447,21,8.8,0,73,1287,37,11,7,28,0,6,320,67,0,0,0
116218,21239,Close Talker,,374,15,5.8,0,57,965,33,11,7,27,0,6,20,0,0,0,0
