food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
116581,21271,Original Fish Taco w/ Corn Tortillas,136 g,300,16,2.5,0,20,250,27,2,2,11,10,4,15,15,0,0,0
116582,21271,Especial Fish Taco w/ Corn Tortillas,165 g,370,22,4.5,0,35,330,29,3,2,14,15,8,25,15,0,0,0
116583,21271,Carnitas w/ Corn Tortillas,143 g,230,9,3.5,0,30,420,34,2,2,13,10,10,25,10,0,0,0
116584,21271,Chicken w/ Corn Tortillas,158 g,300,15,4,0,45,440,24,2,2,16,10,10,25,10,0,0,0
116585,21271,Carne Asada w/ Corn Tortillas,143 g,250,10,4,0,35,520,23,2,1,14,8,10,25,15,0,0,0
116586,21271,Mahi Mahi w/ Corn Tortillas,158 g,310,16,4,0,30,230,23,2,1,17,8,10,25,10,0,0,0
116587,21271,Original Fish Taco w/ Flour Tortillas,137 g,320,17,2.5,0,20,520,29,2,3,11,10,6,6,11,0,0,0
116588,21271,Especial Fish Taco w/ Flour Tortillas,166 g,390,23,4.5,0,35,600,31,3,3,14,15,10,16,11,0,0,0
116589,21271,Carnitas w/ Flour Tortillas,144 g,250,10,3.5,0,30,690,36,2,3,13,10,12,16,6,0,0,0
116590,21271,Chicken w/ Flour Tortillas,159 g,320,16,4,0,45,710,26,2,3,16,10,12,16,6,0,0,0
116591,21271,Carne Asada w/ Flour Tortillas,144 g,270,11,4,0,35,790,25,2,2,14,8,12,16,11,0,0,0
116592,21271,Mahi Mahi w/ Flour Tortillas,159 g,330,17,4,0,30,500,25,2,2,17,8,12,16,6,0,0,0
116593,21272,Carnitas,1 taco - 69 g,110,5,1.5,0,20,270,11,1,2,8,6,2,4,4,0,0,0
116594,21272,Chicken,1 taco - 69 g,110,3.5,0.5,0,30,240,10,1,1,11,4,2,4,4,0,0,0
116595,21272,Carne Asada,1 taco - 69 g,130,6,2,0,20,380,10,1,0,8,2,2,6,4,0,0,0
116596,21273,Fish Taco,282 g,620,29,4.5,0,25,830,74,12,2,16,10,6,30,20,0,0,0
116597,21273,Fish Especial Taco,315 g,690,35,7,0,40,910,75,13,2,19,15,10,40,25,0,0,0
116598,21273,Carnitas Taco,289 g,550,23,6,0,35,1000,70,12,3,18,10,10,35,20,0,0,0
116599,21273,Chicken Taco,304 g,620,28,6,0,50,1020,70,12,2,22,10,10,40,20,0,0,0
116600,21273,Carne Asada Taco,289 g,570,24,6,0,40,1110,70,12,1,19,8,10,35,25,0,0,0
116601,21274,Original #1,419 g,920,46,7,0,50,1080,101,14,3,27,20,10,45,35,0,0,0
116602,21274,Pesky,484 g,1050,56,12,0,70,1240,105,16,4,33,25,20,60,35,0,0,0
116603,21274,Two Carnitas Tacos,433 g,780,32,9,0,70,1420,94,14,5,31,20,20,60,30,0,0,0
116604,21274,Two Chicken Tacos,461 g,920,44,10,0,90,1460,94,14,4,38,20,20,60,35,0,0,0
116605,21274,Two Carne Asada Tacos,433 g,810,34,10,0,70,1630,93,14,3,32,15,20,60,40,0,0,0
116606,21275,Three Fish Tacos,555 g,1220,62,9,0,70,1330,128,16,5,37,30,15,60,50,0,0,0
116607,21275,Three Fish Especial Tacos,653 g,1420,78,16,0,105,1570,134,19,7,47,40,30,90,50,0,0,0
116608,21275,Three Carnitas Tacos,576 g,1010,41,13,0,100,1840,118,16,7,43,35,30,90,45,0,0,0
116609,21275,Three Chicken Tacos,619 g,1220,59,14,0,135,1890,117,16,5,54,30,30,90,45,0,0,0
116610,21275,Three Carne Asada Tacos,576 g,1060,44,14,0,105,2150,116,16,4,46,25,30,90,50,0,0,0
116611,21276,Bean & Cheese,425 g,820,36,19,0,105,1890,88,16,4,34,4,30,90,20,0,0,0
116612,21276,Fish,339 g,740,40,8,0,50,1080,70,6,5,24,20,15,15,25,0,0,0
116613,21276,Especial Carnitas,563 g,890,33,9,0,65,2130,118,8,11,32,25,20,20,30,0,0,0
116614,21276,Especial Chicken,563 g,890,29,6,0,85,2050,117,8,9,39,20,25,20,35,0,0,0
116615,21276,Especial Carne Asada,563 g,940,37,10,0,65,2380,117,8,7,33,15,20,20,40,0,0,0
116616,21276,Baja Grill Carnitas,371 g,630,29,12,0,95,1900,59,5,9,36,30,30,40,20,0,0,0
116617,21276,Baja Grill Chicken,371 g,630,24,8,0,120,1800,58,5,6,46,25,30,40,20,0,0,0
116618,21276,Baja Grill Carne Asada,371 g,680,32,13,0,100,2220,58,5,5,38,20,30,40,25,0,0,0
116619,21276,Grilled Mesquite Shrimp,360 g,710,31,10,0,215,2020,77,6,4,30,8,20,45,15,0,0,0
116620,21276,Mahi Mahi,371 g,720,36,11,0,70,1230,56,5,5,42,20,30,40,15,0,0,0
116621,21276,Chips served w/ Burritos,43 g,220,11,1,0,0,240,28,3,0,3,2,2,6,4,0,0,0
116622,21277,Bean & Cheese,502 g,1020,43,18,0,90,2190,125,23,4,34,4,25,90,25,0,0,0
116623,21277,Fish,481 g,1050,52,9,0,50,1610,116,16,5,28,20,15,25,35,0,0,0
116624,21277,Especial Carnitas,705 g,1200,46,10,0,65,2670,164,18,11,36,25,25,30,40,0,0,0
116625,21277,Especial Chicken,705 g,1200,41,8,0,85,2590,164,18,9,44,20,25,30,40,0,0,0
116626,21277,Especial Carne Asada,705 g,1250,49,11,0,65,2920,163,18,8,38,15,20,30,45,0,0,0
116627,21277,Baja Grill Carnitas,513 g,940,42,13,0,95,2440,106,15,9,40,30,30,50,25,0,0,0
116628,21277,Baja Grill Chicken,513 g,940,36,10,0,125,2330,105,15,7,50,25,30,50,30,0,0,0
116629,21277,Baja Grill Carne Asada,513 g,990,44,14,0,100,2760,104,15,5,42,20,30,50,35,0,0,0
116630,21277,Grilled Mesquite Shrimp,502 g,1020,43,11,0,220,2560,123,16,4,34,8,20,50,25,0,0,0
116631,21278,Chicken Fiesta Salad,431 g,480,33,10,0,110,1060,12,5,7,35,50,45,30,15,0,0,0
116632,21278,Chicken Chopped Salad,512 g,570,33,9,0,105,1490,35,8,11,37,110,45,35,20,0,0,0
