food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
116669,21282,Crunchy Taco,92 g,150,7,2.5,0.5,20,360,14,2,1,7,4,4,2,6,0,0,0
116670,21282,Soft Taco - Beef,113 g,190,8,2.5,1,20,630,22,2,2,9,4,4,8,8,0,0,0
116671,21282,Ranchero Chicken Soft Taco,135 g,170,4,1,0.5,25,710,22,2,3,12,8,8,8,6,0,0,0
116672,21282,Grilled Steak Soft Taco,128 g,170,5,1.5,0.5,15,560,21,2,3,11,10,4,8,8,0,0,0
116673,21282,Gordita Baja - Beef,153 g,250,9,3,0,20,640,31,2,7,12,8,8,8,10,0,0,0
116674,21282,Gordita Baja - Chicken,153 g,230,6,1,0,25,570,29,2,7,15,10,6,6,10,0,0,0
116675,21282,Gordita Baja - Steak,153 g,230,7,1.5,0,15,570,29,3,7,13,8,6,6,10,0,0,0
116676,21282,Bean Burrito,213 g,350,8,2,2,0,1220,56,9,4,13,10,10,15,15,0,0,0
116677,21282,Burrito Supreme - Chicken,241 g,350,8,2,1.5,25,1270,50,6,5,19,15,10,15,15,0,0,0
116678,21282,Burrito Supreme - Steak,241 g,350,9,2.5,1.5,15,1260,50,6,5,17,15,10,15,15,0,0,0
116679,21282,Fiesta Burrito - Chicken,198 g,340,8,2,1.5,25,1160,50,3,4,16,10,8,15,10,0,0,0
116680,21282,Tostada,177 g,200,6,1,1,0,670,30,8,2,8,10,10,6,8,0,0,0
116681,21282,Enchirito - Beef,206 g,270,9,3,1,20,1300,35,5,3,12,15,20,10,10,0,0,0
116682,21282,Enchirito - Chicken,206 g,250,5,1.5,1,25,1230,34,5,3,16,15,20,10,10,0,0,0
116683,21282,Enchirito - Steak,206 g,250,7,2,1,15,1220,34,6,3,14,15,20,10,10,0,0,0
116684,21283,Grande Soft Taco,206 g,450,21,8,2.5,45,1410,44,2,4,19,2,6,20,15,0,0,0
116685,21283,Double Decker Taco,156 g,340,14,5,1.5,25,810,39,5,2,14,2,4,15,10,0,0,0
116686,21283,Spicy Chicken Soft Taco,114 g,180,7,2,0.5,20,580,21,2,2,10,6,4,8,8,0,0,0
116687,21283,Spicy Chicken Burrito,191 g,420,19,4,1.5,30,1220,51,4,4,14,6,6,15,15,0,0,0
116688,21283,1/2 lb Beef Combo Burrito,241 g,470,19,7,2,45,1620,52,5,4,22,8,15,20,20,0,0,0
116689,21283,1/2 lb Beef & Potato Burrito,252 g,540,25,8,3.5,30,1660,66,4,4,15,8,15,20,20,0,0,0
116690,21283,1/2 lb Cheesy Bean & Rice Burrito,227 g,490,21,6,3,15,1430,61,6,6,13,6,8,25,15,0,0,0
116691,21283,Cheesy Fiesta Potatoes,138 g,290,18,6,3,15,790,28,2,2,4,2,6,6,6,0,0,0
116692,21283,Caramel Apple Empanada,85 g,290,15,3.5,3,5,300,37,1,12,2,8,0,4,4,0,0,0
116693,21284,Taco,78 g,170,10,4,0.5,25,350,13,1,1,8,0,4,6,6,0,0,0
116694,21284,Taco Supreme,113 g,220,14,7,1,35,360,14,1,2,9,6,8,8,6,0,0,0
116695,21284,Double Decker Taco Supreme,191 g,380,18,8,2,40,820,41,5,4,15,6,8,15,10,0,0,0
116696,21284,Soft Taco - Beef,99 g,210,10,4,1,25,620,21,1,2,10,0,4,10,8,0,0,0
116697,21284,Soft Taco Supreme - Beef,135 g,260,14,7,1,35,640,23,1,3,11,6,8,15,8,0,0,0
116698,21284,Ranchero Chicken Soft Taco,135 g,270,14,4,0.5,35,710,21,2,3,14,8,6,10,6,0,0,0
116699,21284,Grilled Steak Soft Taco,128 g,280,17,4.5,1,30,650,21,1,3,12,6,4,10,8,0,0,0
116700,21285,Gordita Supreme - Beef,153 g,310,16,7,0.5,35,600,30,2,7,14,6,8,15,15,0,0,0
116701,21285,Gordita Supreme - Chicken,153 g,290,12,5,0,45,530,28,2,7,17,8,6,10,10,0,0,0
116702,21285,Gordita Supreme - Steak,153 g,290,13,6,0.5,35,520,28,2,7,16,6,6,10,15,0,0,0
116703,21285,Gordita Baja - Beef,153 g,350,19,5,0.5,30,760,31,2,7,13,6,6,15,15,0,0,0
116704,21285,Gordita Baja - Chicken,153 g,320,15,3.5,0,40,690,29,2,7,17,6,6,10,10,0,0,0
116705,21285,Gordita Baja - Steak,153 g,320,16,4,0,30,680,29,2,7,15,6,6,10,10,0,0,0
116706,21285,Gordita Nacho Cheese - Beef,153 g,300,13,4,1.5,20,740,32,2,7,12,8,4,10,15,0,0,0
116707,21285,Gordita Nacho Cheese - Chicken,153 g,270,10,2.5,1,25,670,30,2,7,16,8,2,8,10,0,0,0
116708,21285,Gordita Nacho Cheese - Steak,153 g,270,11,3,1.5,20,660,30,2,7,14,6,2,8,10,0,0,0
116709,21286,Chalupa Supreme - Beef,153 g,400,24,8,2.5,35,620,31,2,4,13,6,8,15,15,0,0,0
116710,21286,Chalupa Supreme - Chicken,153 g,370,21,7,2,45,550,29,2,4,17,8,6,15,10,0,0,0
116711,21286,Chalupa Supreme - Steak,153 g,370,22,7,2,35,550,29,2,4,15,6,6,15,15,0,0,0
116712,21286,Chalupa Baja - Beef,153 g,430,28,7,2,30,780,32,2,4,13,6,6,15,15,0,0,0
116713,21286,Chalupa Baja - Chicken,153 g,400,24,5,2,40,710,30,2,4,17,6,6,15,10,0,0,0
116714,21286,Chalupa Baja - Steak,153 g,410,25,6,2,30,700,30,2,4,15,6,6,15,15,0,0,0
116715,21286,Chalupa Nacho Cheese - Beef,153 g,380,22,5,3,20,760,33,2,4,12,8,4,10,15,0,0,0
116716,21286,Chalupa Nacho Cheese - Chicken,153 g,350,18,4,3,25,700,31,2,4,16,8,2,10,10,0,0,0
116717,21286,Chalupa Nacho Cheese - Steak,153 g,360,20,4.5,3,20,690,31,2,4,14,6,2,10,15,0,0,0
116718,21287,Bean Burrito,198 g,370,10,3.5,2,10,1200,55,8,4,14,8,10,20,15,0,0,0
116719,21287,7-Layer Burrito,283 g,530,21,8,2.5,25,1400,68,9,6,18,8,10,30,20,0,0,0
116720,21287,Chili Cheese Burrito,156 g,390,18,9,1.5,40,1080,40,3,3,16,0,15,30,10,0,0,0
116721,21287,Burrito Supreme - Beef,248 g,440,18,8,2,40,1330,52,5,5,17,15,15,20,15,0,0,0
116722,21287,Burrito Supreme - Chicken,248 g,410,14,6,2,45,1270,50,5,5,21,15,15,20,15,0,0,0
116723,21287,Burrito Supreme - Steak,248 g,420,16,7,2,35,1260,50,6,5,19,15,15,20,15,0,0,0
116724,21287,Fiesta Burrito - Beef,184 g,390,14,5,2,25,1210,51,3,4,14,6,8,20,15,0,0,0
116725,21287,Fiesta Burrito - Chicken,184 g,370,11,3.5,1.5,30,1140,49,3,4,18,6,6,20,10,0,0,0
116726,21287,Fiesta Burrito - Steak,184 g,370,12,4,1.5,25,1140,49,3,4,16,4,8,20,15,0,0,0
116727,21287,Grilled Stuft Burrito - Beef,325 g,720,32,11,3,55,2140,80,7,6,27,6,10,35,25,0,0,0
116728,21287,Grilled Stuft Burrito - Chicken,325 g,670,25,7,2.5,70,2010,77,7,6,35,10,10,30,20,0,0,0
116729,21287,Grilled Stuft Burrito - Steak,325 g,680,27,8,3,55,1990,77,7,6,31,6,10,30,25,0,0,0
116730,21288,Tostada,170 g,250,10,4,1.5,15,710,29,7,2,11,8,10,15,8,0,0,0
116731,21288,Crunchwrap Supreme™,254 g,560,24,9,3.5,35,1350,70,4,7,17,8,8,25,20,0,0,0
116732,21288,Mexican Pizza,216 g,540,31,10,3.5,45,1040,47,5,3,20,8,15,35,15,0,0,0
116733,21288,Enchirito - Beef,213 g,380,18,9,1.5,45,1430,35,5,3,19,10,25,25,10,0,0,0
116734,21288,Enchirito - Chicken,213 g,350,14,7,1.5,55,1360,33,5,3,23,15,25,25,10,0,0,0
116735,21288,Enchirito - Steak,213 g,360,16,8,1.5,45,1350,33,5,3,21,10,25,25,10,0,0,0
116736,21288,MexiMelt,128 g,290,16,8,1,40,880,23,2,2,15,4,10,25,8,0,0,0
116737,21288,Fiesta Taco Salad,548 g,860,46,14,5,65,1800,82,12,10,31,20,20,40,30,0,0,0
116738,21288,Fiesta Taco Salad,479 g,490,25,11,2,65,1530,43,10,9,24,20,20,25,20,0,0,0
116739,21288,Fiesta Taco Salad,464 g,420,21,10,1.5,65,1480,34,9,8,24,20,20,25,20,0,0,0
116740,21288,Express Taco Salad,479 g,630,34,12,3.5,65,1390,58,10,8,26,25,25,25,20,0,0,0
116741,21288,Express Taco Salad,436 g,410,21,10,1.5,65,1300,32,8,8,23,25,25,25,20,0,0,0
116742,21288,Cheese Quesadilla,142 g,490,28,13,2,55,1150,39,3,4,19,0,10,50,8,0,0,0
116743,21288,Chicken Quesadilla,184 g,540,30,13,2,80,1380,40,3,4,28,4,15,50,10,0,0,0
116744,21288,Steak Quesadilla,184 g,540,31,14,2,70,1370,40,3,4,26,0,15,50,15,0,0,0
116745,21288,Zesty Chicken Border Bowl,418 g,730,40,8,2.5,45,1810,69,10,5,23,15,15,15,20,0,0,0
116746,21288,Zesty Chicken Border Bowl,376 g,490,16,4,2.5,30,1570,64,10,3,22,15,15,15,20,0,0,0
116747,21288,Southwest Steak Border Bowl,443 g,690,28,8,2.5,55,2330,79,10,3,30,15,20,20,30,0,0,0
116748,21289,Nachos,98 g,320,20,4.5,4,5,530,32,2,3,4,0,0,8,4,0,0,0
116749,21289,Nachos Supreme,195 g,460,26,8,3.5,30,810,42,5,3,13,8,8,10,10,0,0,0
116750,21289,Nachos BellGrande,308 g,790,44,12,7,35,1300,79,10,5,19,10,8,15,15,0,0,0
116751,21289,Pintos 'n Cheese,128 g,180,7,3.5,1,15,700,20,6,1,10,6,10,15,6,0,0,0
116752,21289,Mexican Rice,131 g,200,9,3.5,0.5,15,850,26,2,0,6,8,15,10,8,0,0,0
