food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
116896,21301,1/4 Chicken (White),5.1 oz,295,14,0,0,0,0,0.9,0,0,42.3,0,0,0,0,0,0,0
116897,21301,1/4 White (No Skin),3.9 oz,167,3.1,0,0,0,0,0.1,0,0,34.6,0,0,0,0,0,0,0
116898,21301,1/4 Chicken (Dark),4.5 oz,298,18.3,0,0,0,0,0.5,0,0,32.9,0,0,0,0,0,0,0
116899,21301,1/4 Dark (No Skin),3.4 oz,170,6.7,0,0,0,0,1.1,0,0,26.3,0,0,0,0,0,0,0
116900,21302,Beef Fajita Dinner,,859,34,0,0,0,0,93,0,0,46,0,0,0,0,0,0,0
116901,21302,Chicken Thigh Fajita Dinner,,850,33,0,0,0,0,91,0,0,48,0,0,0,0,0,0,0
116902,21302,Chicken Breast Fajita Dinner,,804,28,0,0,0,0,92,0,0,48,0,0,0,0,0,0,0
116903,21302,Half Order Chicken Thigh Fajita Dinner,,1900,81,0,0,0,0,204,0,0,92,0,0,0,0,0,0,0
116904,21302,Half Order Chicken Breast Fajita Dinner,,1827,74,0,0,0,0,205,0,0,88,0,0,0,0,0,0,0
116905,21302,Half Order Beef Fajita Dinner,,1914,83,0,0,0,0,207,0,0,89,0,0,0,0,0,0,0
116906,21302,Chicken Fajita Burrito,,697,25,0,0,0,0,72,0,0,43,0,0,0,0,0,0,0
116907,21302,Steak Fajita Burrito,,739,29,0,0,0,0,73,0,0,43,0,0,0,0,0,0,0
116908,21303,Borracho Beans,4 oz,108,2.5,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0
116909,21303,Refried Beans,4 oz,171,6,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0
116910,21303,Black Beans,4 oz,111,1,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0
116911,21303,Spanish Rice,4 oz,181,5,0,0,0,0,30,0,0,3,0,0,0,0,0,0,0
116912,21303,Calabacita,4 oz,78.4,5,0,0,0,0,6.4,0,0,1.8,0,0,0,0,0,0,0
116913,21303,Elotes,1 each,220,11,0,0,0,0,26.4,0,0,6.5,0,0,0,0,0,0,0
116914,21303,"6"" Flour Tortilla",1 each,129,3.3,0,0,0,0,21.7,0,0,3.2,0,0,0,0,0,0,0
116915,21303,"6"" Table Corn Tortilla",1 each,70,1,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0
116916,21303,Guacamole,1 oz,48,4,0,0,0,0,2.3,0,0,0.4,0,0,0,0,0,0,0
116917,21303,Sour Cream,1 oz,57,4.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
116918,21303,Chips,2 oz,6,13.5,0,0,0,0,36,0,0,4.5,0,0,0,0,0,0,0
116919,21303,Queso,3 oz,184,11.7,0,0,0,0,7,0,0,8.9,0,0,0,0,0,0,0
116920,21303,Tortilla Soup,small - 8.5 oz,248.5,8.3,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0
116921,21303,Tortilla Soup,large - 19 oz,371,12.5,0,0,0,0,32,0,0,33,0,0,0,0,0,0,0
116922,21304,Crispy Chicken Taco,,165,9,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0
116923,21304,Soft Beef Taco,,200,8,0,0,0,0,22,0,0,11,0,0,0,0,0,0,0
116924,21304,Soft Chicken Taco,,217,9,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0
116925,21304,Beef Fajita Taco,,254,10,0,0,0,0,23,0,0,19,0,0,0,0,0,0,0
116926,21304,Chicken Thigh Fajita Taco,,249,9,0,0,0,0,22,0,0,20,0,0,0,0,0,0,0
116927,21304,Chicken Breast Fajita Taco,,226,7,0,0,0,0,23,0,0,19,0,0,0,0,0,0,0
116928,21304,Bean and Cheese Taco,,295,12,0,0,0,0,35,0,0,12,0,0,0,0,0,0,0
