food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
117188,21338,Taco Bravo,6.5 oz,340,14,5,0,25,650,39,8,1,15,0,0,0,0,0,0,0
117189,21338,Crispy Taco,3.3 oz,180,10,4,0,25,270,13,3,0,9,0,0,0,0,0,0,0
117190,21338,Softshell Taco,4 oz,220,10,5,0,25,470,21,4,1,11,0,0,0,0,0,0,0
117191,21338,Chicken Softshell Taco,4 oz,190,6,3,0,30,760,19,4,0,14,0,0,0,0,0,0,0
117192,21338,Taco Burger w/ Cheese,5 oz,280,12,5,0,35,600,28,3,3,14,0,0,0,0,0,0,0
117193,21338,Taco Burger w/o Cheese,4.8 oz,250,9,3,0,25,560,28,3,3,13,0,0,0,0,0,0,0
117194,21338,Steak Softshell Taco,4 oz,190,8,8,0,10,300,19,6,1,13,0,0,0,0,0,0,0
117195,21339,Super Burrito,8.9 oz,450,20,9,0,40,920,49,10,2,19,0,0,0,0,0,0,0
117196,21339,Meat & Potato Burrito,8.4 oz,490,23,8,0,30,1190,55,9,1,15,0,0,0,0,0,0,0
117197,21339,Chicken & Potato Burrito,8.4 oz,460,19,7,0,35,1470,54,8,1,18,0,0,0,0,0,0,0
117198,21339,Crunchy Chicken and Potato Burrito,8.9 oz,590,29,8,0,35,1420,62,8,1,20,0,0,0,0,0,0,0
117199,21339,Bean Burrito w/ Cheese,6.6 oz,380,12,5,0,15,830,53,10,1,15,0,0,0,0,0,0,0
117200,21339,Bean Burrito w/o Cheese,6.6 oz,320,7,2,0,0,740,53,10,1,11,0,0,0,0,0,0,0
117201,21339,Beefy Burrito,6.6 oz,430,20,9,0,55,870,41,8,1,22,0,0,0,0,0,0,0
117202,21339,Combination Burrito,6.6 oz,400,16,7,0,35,850,47,9,1,18,0,0,0,0,0,0,0
117203,21339,Beef Grilled Burrito,8.2 oz,590,32,15,0,75,1240,49,9,1,27,0,0,0,0,0,0,0
117204,21339,Chicken Grilled Burrito,8.2 oz,590,30,13,0,95,1790,47,8,1,33,0,0,0,0,0,0,0
117205,21339,Steak Grilled Burrito,8.2 oz,600,34,21,0,55,1020,46,11,3,31,0,0,0,0,0,0,0
117206,21339,Steak and Potato Burrito,8.4 oz,460,22,12,0,15,1010,53,10,1,17,0,0,0,0,0,0,0
117207,21340,Chicken Festiva Salad w/o dressing,10.5 oz,400,23,10,0,70,830,24,4,2,24,0,0,0,0,0,0,0
117208,21340,Crunchy Chicken Festiva Salad w/o dressing,11.3 oz,580,36,12,0,70,780,35,3,2,27,0,0,0,0,0,0,0
