food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
117299,21351,Chicken Soft Taco,,168,5,2,0,30,467,17,1,0,12,0,0,0,0,0,0,0
117300,21351,Deluxe Taco,,438,27,12,0,48,953,28,4,1,23,0,0,0,0,0,0,0
117301,21352,Meat and Potato Burrito,,545,26,11,0,33,1721,58,6,3,21,0,0,0,0,0,0,0
117302,21352,Fiesta Chicken Burrito,,649,26,10,0,74,2323,72,2,3,29,0,0,0,0,0,0,0
117303,21352,Chipotle Steak Burrito,,690,31,11,0,68,2207,73,4,3,29,0,0,0,0,0,0,0
117304,21353,Enchilada - Meat,,303,18,12,0,42,895,17,3,1,18,0,0,0,0,0,0,0
117305,21353,Enchilada - Cheese,,383,28,27,0,60,722,13,1,1,19,0,0,0,0,0,0,0
117306,21353,Enchilada - Chicken,,235,11,5,0,74,606,11,1,1,22,0,0,0,0,0,0,0
117307,21353,Double Enchilada - Meat,,607,36,25,0,84,1790,33,7,2,37,0,0,0,0,0,0,0
117308,21353,Double Enchilada - Cheese,,767,55,54,0,120,1443,27,1,2,38,0,0,0,0,0,0,0
117309,21353,Double Enchilada - Chicken,,471,21,11,0,148,1211,22,1,2,44,0,0,0,0,0,0,0
117310,21354,Deluxe Nachos,,924,44,10,0,47,1981,107,15,5,31,0,0,0,0,0,0,0
117311,21355,Tostada,,378,16,8,0,26,757,30,5,1,15,0,0,0,0,0,0,0
117312,21355,Deluxe Tostada,,460,21,10,0,34,892,38,7,2,18,0,0,0,0,0,0,0
117313,21356,Taco Salad,,833,56,19,0,60,1609,55,7,2,33,0,0,0,0,0,0,0
117314,21356,Chicken Taco Salad,,731,44,11,0,104,1251,47,3,2,38,0,0,0,0,0,0,0
117315,21357,Texas Style Beef Burrito,,1290,49,17,0,71,4708,167,14,5,48,0,0,0,0,0,0,0
117316,21357,Texas Style Chicken Burrito,,1152,37,13,0,82,4314,160,10,5,45,0,0,0,0,0,0,0
117317,21357,Texas Style Fajita Steak Burrito,,1194,42,14,0,76,4198,161,11,5,44,0,0,0,0,0,0,0
117318,21357,Texas Style Beef Sancho,,1250,63,21,0,92,3434,121,12,4,54,0,0,0,0,0,0,0
117319,21357,Texas Style Chicken Sancho,,972,43,13,0,81,2527,108,6,4,39,0,0,0,0,0,0,0
117320,21357,Texas Style Fajita Steak Sancho,,1013,47,15,0,75,2411,109,7,4,39,0,0,0,0,0,0,0
117321,21357,Texas Stacked Enchilada,,1030,57,25,0,113,2614,79,13,4,54,0,0,0,0,0,0,0
117322,21358,Cheese Quesadilla,,403,36,17,0,60,595,6,0,2,14,0,0,0,0,0,0,0
117323,21358,Deluxe Enchilada - Meat,,731,45,28,0,100,2088,40,8,3,43,0,0,0,0,0,0,0
117324,21358,Deluxe Enchilada - Cheese,,931,69,64,0,145,1654,31,1,3,45,0,0,0,0,0,0,0
117325,21358,Deluxe Enchilada - Chicken,,561,27,12,0,175,1440,26,1,3,52,0,0,0,0,0,0,0
117326,21358,Deluxe Sancho,,724,41,20,0,80,2124,50,8,2,40,0,0,0,0,0,0,0
117327,21359,Chicken Quesadilla,,457,36,18,0,93,877,7,0,2,25,0,0,0,0,0,0,0
117328,21359,Meat Lovers Quesadilla,,503,34,20,0,83,1349,21,5,3,30,0,0,0,0,0,0,0
117329,21360,Mexican Rice,,669,1,0,0,0,4133,152,5,4,16,0,0,0,0,0,0,0
117330,21360,Refried Beans,,303,8,6,0,30,877,41,13,1,17,0,0,0,0,0,0,0
117331,21360,Chili with Cheese,,303,8,6,0,35,1287,36,8,5,20,0,0,0,0,0,0,0
