food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
117563,21375,Casita Burrito,12 oz,647,31,15,0,89,1233,54,16,0,40,0,0,0,0,0,0,0
117564,21375,Crisp Bean Burrito,5.3 oz,427,18,5,0,12,453,53,9,0,15,0,0,0,0,0,0,0
117565,21375,Crisp Chicken Burrito,4.8 oz,422,25,8,0,54,795,32,2,0,17,0,0,0,0,0,0,0
117566,21375,Crisp Meat Burrito,5.3 oz,552,30,10,0,58,1000,39,7,0,34,0,0,0,0,0,0,0
117567,21375,Soft Bean Burrito,6.8 oz,380,10,4,0,15,715,58,13,0,16,0,0,0,0,0,0,0
117568,21375,Soft Meat Burrito,6.8 oz,491,21,8,0,56,1197,48,12,0,31,0,0,0,0,0,0,0
117569,21375,Big Juan Burrito (Beef),12.8 oz,640,25,12,0,60,1120,71,15,0,34,0,0,0,0,0,0,0
117570,21375,Big Juan Burrito (Chicken),12.8 oz,620,24,11,0,65,1230,69,12,0,34,0,0,0,0,0,0,0
117571,21375,Chicken BLT Burrito,8.8 oz,580,39,12,0,50,1020,38,5,0,23,0,0,0,0,0,0,0
117572,21375,Chicken & Black Bean Burrito,8.5 oz,400,18,7,0,35,580,45,5,0,19,0,0,0,0,0,0,0
117573,21375,"Beef, Bean & Cheese Burrito",9.5 oz,617,23,10,0,63,1343,66,18,0,39,0,0,0,0,0,0,0
117574,21375,Veggie Burrito,11 oz,491,16,6,0,24,643,70,10,0,21,0,0,0,0,0,0,0
117575,21376,Crisp Taco,4 oz,295,17,7,0,48,609,16,5,0,22,0,0,0,0,0,0,0
117576,21376,Soft Taco,5.3 oz,316,15,7,0,48,599,23,5,0,24,0,0,0,0,0,0,0
117577,21376,1/2 lb. Soft taco,7 oz,512,23,10,0,63,1111,46,12,0,33,0,0,0,0,0,0,0
117578,21376,Super Soft Taco,10.5 oz,510,23,12,0,60,590,50,11,0,29,0,0,0,0,0,0,0
117579,21376,1/2 lb. Chicken Soft Taco,7 oz,387,16,6,0,48,933,41,7,0,21,0,0,0,0,0,0,0
117580,21377,Taco Salad,regular - 7.5 oz,479,28,11,0,63,895,30,7,0,30,0,0,0,0,0,0,0
117581,21377,Chicken Taco Salad,9 oz,370,21,7,0,48,861,27,3,0,19,0,0,0,0,0,0,0
117582,21377,Chicken Fiesta Salad,12 oz,390,19,6,0,45,840,35,4,0,20,0,0,0,0,0,0,0
117583,21377,Tostada Salad,9.8 oz,628,33,14,0,82,1004,48,13,0,36,0,0,0,0,0,0,0
117584,21378,Nachos,10.5 oz,680,38,19,0,78,1250,61,11,0,26,0,0,0,0,0,0,0
117585,21378,Nachos Deluxe,15.3 oz,1048,57,23,0,109,2252,91,17,0,46,0,0,0,0,0,0,0
117586,21378,Taco Cheeseburger,7.5 oz,633,36,10,0,66,1291,48,7,0,31,0,0,0,0,0,0,0
117587,21378,Cheddar Melt,3.3 oz,205,11,6,0,30,255,17,1,0,11,0,0,0,0,0,0,0
117588,21379,Mexi-Fries,small - 4 oz,266,17,0,0,0,799,27,0,0,3,0,0,0,0,0,0,0
117589,21379,Mexi-Fries,medium - 6 oz,390,25,0,0,0,1170,40,0,0,4,0,0,0,0,0,0,0
117590,21379,Mexi-Fries,large - 8 oz,532,34,0,0,0,1598,54,0,0,6,0,0,0,0,0,0,0
117591,21379,Stuffed Fries,small - 4.3 oz,490,37,10,0,20,1400,34,3,0,8,0,0,0,0,0,0,0
117592,21379,Stuffed Fries,medium - 6.3 oz,640,44,13,0,25,1740,50,5,0,12,0,0,0,0,0,0,0
117593,21379,Stuffed Fries,large - 8.5 oz,990,73,19,0,35,2580,88,6,0,16,0,0,0,0,0,0,0
117594,21379,Cheddar Fries,small - 4.8 oz,352,24,0,0,0,931,27,0,0,8,0,0,0,0,0,0,0
117595,21379,Cheddar Fries,medium - 7 oz,505,35,0,0,0,1346,40,0,0,11,0,0,0,0,0,0,0
117596,21379,Cheddar Fries,large - 9.5 oz,704,48,0,0,0,1862,54,0,0,16,0,0,0,0,0,0,0
117597,21379,Refritos,7 oz,326,10,5,0,22,525,44,13,0,18,0,0,0,0,0,0,0
117598,21379,Mexi-Rice,4 oz,159,2,1,0,0,530,30,1,0,3,0,0,0,0,0,0,0
117599,21380,Cinnamon Crustos,3.5 oz,373,15,0,0,0,86,47,0,0,9,0,0,0,0,0,0,0
117600,21380,Fruit-Filled Empanada,4 oz,250,9,0,0,0,46,37,0,0,5,0,0,0,0,0,0,0
117601,21381,Original Hot Sauce,1 oz,10,0,0,0,0,120,2,0,0,0,0,0,0,0,0,0,0
117602,21381,Green Sauce,1 oz,5,0,0,0,0,115,2,1,0,0,0,0,0,0,0,0,0
117603,21381,Salsa Fresca,1 oz,65,0,0,0,0,3508,16,0,0,0,0,0,0,0,0,0,0
117604,21381,1000 Island Dressing,1 oz,120,12,1.5,0,5,120,3,0,0,0,0,0,0,0,0,0,0
