food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
117611,21387,Chico Chicken Burrito,,596,20,0,0,0,0,75,0,0,29,0,0,0,0,0,0,0
117612,21387,Chico Steak Burrito,,587,18,0,0,0,0,75,0,0,27,0,0,0,0,0,0,0
117613,21387,Chicken Burrito,,704,20,0,0,0,0,96,0,0,34,0,0,0,0,0,0,0
117614,21387,Steak Burrito,,734,21,0,0,0,0,96,0,0,38,0,0,0,0,0,0,0
117615,21387,Gallito Burrito,,990,60,0,0,0,0,53,0,0,57,0,0,0,0,0,0,0
117616,21387,El Cheapo Burrito,,637,7,0,0,0,0,118,0,0,25,0,0,0,0,0,0,0
117617,21387,Pescado Burrito Baja Style,,746,34,0,0,0,0,78,0,0,31,0,0,0,0,0,0,0
117618,21387,Pescado Burrito Cabo Style,,621,20,0,0,0,0,71,0,0,37,0,0,0,0,0,0,0
117619,21387,Vegetariano Burrito,,692,27,0,0,0,0,91,0,0,22,0,0,0,0,0,0,0
117620,21387,Fajita Steak Burrito,,960,37,0,0,0,0,111,0,0,45,0,0,0,0,0,0,0
117621,21387,Fajita Chicken Burrito,,982,40,0,0,0,0,113,0,0,43,0,0,0,0,0,0,0
117622,21387,Thai Chicken Burrito,,624,22,0,0,0,0,79,0,0,27,0,0,0,0,0,0,0
117623,21387,Foghead Burrito,,874,35,0,0,0,0,99,0,0,40,0,0,0,0,0,0,0
117624,21387,Mahi Mahi Burrito,,755,33,0,0,0,0,75,0,0,38,0,0,0,0,0,0,0
117625,21387,Shrimp Burrito Baja Style,,1035,58,0,0,0,0,88,0,0,36,0,0,0,0,0,0,0
117626,21387,Shrimp Burrito Cabo Style,,751,30,0,0,0,0,86,0,0,32,0,0,0,0,0,0,0
117627,21387,The Works or Wet Style,,209,18,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0
117628,21387,Chico Chicken Burrito,,805,38,0,0,0,0,78,0,0,37,0,0,0,0,0,0,0
117629,21387,Chico Steak Burrito,,796,36,0,0,0,0,78,0,0,35,0,0,0,0,0,0,0
117630,21387,Chicken Burrito,,913,38,0,0,0,0,99,0,0,42,0,0,0,0,0,0,0
117631,21387,Steak Burrito,,943,39,0,0,0,0,99,0,0,46,0,0,0,0,0,0,0
117632,21387,Gallito Burrito,,1199,78,0,0,0,0,56,0,0,65,0,0,0,0,0,0,0
117633,21387,El Cheapo Burrito,,846,25,0,0,0,0,121,0,0,33,0,0,0,0,0,0,0
117634,21387,Pescado Burrito Baja Style,,955,52,0,0,0,0,81,0,0,39,0,0,0,0,0,0,0
117635,21387,Pescado Burrito Cabo Style,,830,38,0,0,0,0,74,0,0,45,0,0,0,0,0,0,0
117636,21387,Vegetariano Burrito,,901,45,0,0,0,0,94,0,0,30,0,0,0,0,0,0,0
117637,21387,Fajita Steak Burrito,,1169,55,0,0,0,0,114,0,0,53,0,0,0,0,0,0,0
117638,21387,Fajita Chicken Burrito,,1191,58,0,0,0,0,116,0,0,51,0,0,0,0,0,0,0
117639,21387,Thai Chicken Burrito,,833,40,0,0,0,0,82,0,0,35,0,0,0,0,0,0,0
117640,21387,Foghead Burrito,,1083,53,0,0,0,0,102,0,0,48,0,0,0,0,0,0,0
117641,21387,Mahi Mahi Burrito,,964,51,0,0,0,0,78,0,0,46,0,0,0,0,0,0,0
117642,21387,Shrimp Burrito Baja Style,,1244,76,0,0,0,0,91,0,0,44,0,0,0,0,0,0,0
117643,21387,Shrimp Burrito Cabo Style,,960,48,0,0,0,0,89,0,0,40,0,0,0,0,0,0,0
117644,21388,"Side Una Mas Taco, chicken",,338,13,0,0,0,0,37,0,0,19,0,0,0,0,0,0,0
117645,21388,"Side Una Mas Taco, steak",,399,16,0,0,0,0,37,0,0,26,0,0,0,0,0,0,0
117646,21388,"Side Una Mas Taco, veggies",,335,13,0,0,0,0,46,0,0,12,0,0,0,0,0,0,0
117647,21388,"Side Pescado Taco, Baja style",,347,21,0,0,0,0,28,0,0,14,0,0,0,0,0,0,0
117648,21388,"Side Pescado Taco, Cabo style",,343,21,0,0,0,0,24,0,0,17,0,0,0,0,0,0,0
117649,21388,Side Chicken Taquitos,,333,22,0,0,0,0,27,0,0,7,0,0,0,0,0,0,0
117650,21388,Side Crispy Chicken Taco,,373,24,0,0,0,0,24,0,0,15,0,0,0,0,0,0,0
117651,21388,"Side Quesadilla, Chica",,523,35,0,0,0,0,34,0,0,19,0,0,0,0,0,0,0
117652,21388,Side Rice and Beans,,107,0,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0
117653,21388,"Side Una Mas Taco, chicken",,445,13,0,0,0,0,58,0,0,24,0,0,0,0,0,0,0
117654,21388,"Side Una Mas Taco, steak",,506,16,0,0,0,0,58,0,0,31,0,0,0,0,0,0,0
