food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
117823,21402,Boston's Oven Roasted BBQ Wings,starter size - 417 g,690,42,0,0,0,420,24,2,0,54,0,0,0,0,0,0,0
117824,21402,Boston's Oven Roasted BBQ Wings,double order - 771 g,1350,84,0,0,0,810,42,2,0,107,0,0,0,0,0,0,0
117825,21402,Boston's Oven Roasted Honey Garlic Wings,starter size - 417 g,700,42,0,0,0,125,26,2,0,54,0,0,0,0,0,0,0
117826,21402,Boston's Oven Roasted Honey Garlic Wings,double order - 771 g,1370,84,0,0,0,220,47,2,0,107,0,0,0,0,0,0,0
117827,21402,Boston's Oven Roasted Mild Wings,starter size - 389 g,640,42,0,0,0,30,12,2,0,54,0,0,0,0,0,0,0
117828,21402,Boston's Oven Roasted Mild Wings,double order - 715 g,1250,84,0,0,0,30,19,2,0,107,0,0,0,0,0,0,0
117829,21402,Boston's Oven Roasted Hot Wings,starter size - 417 g,640,42,0,0,0,1070,13,2,0,54,0,0,0,0,0,0,0
117830,21402,Boston's Oven Roasted Hot Wings,double order - 771 g,1260,84,0,0,0,2110,21,3,0,107,0,0,0,0,0,0,0
117831,21402,Boston's Oven Roasted Teriyaki Wings,starter size - 439 g,690,42,0,0,0,380,25,2,0,54,0,0,0,0,0,0,0
117832,21402,Boston's Oven Roasted Teriyaki Wings,double order - 771 g,1350,84,0,0,0,680,43,2,0,108,0,0,0,0,0,0,0
117833,21402,Boston's Breaded BBQ Wings,starter size - 422 g,950,52,0,0,0,3770,33,2,0,73,0,0,0,0,0,0,0
117834,21402,Boston's Breaded BBQ Wings,double order - 867 g,2050,115,0,0,0,8240,61,2,0,160,0,0,0,0,0,0,0
117835,21402,Boston's Breaded Honey Garlic Wings,starter size - 422 g,960,52,0,0,0,3480,35,2,0,72,0,0,0,0,0,0,0
117836,21402,Boston's Breaded Honey Garlic Wings,double order - 867 g,2070,114,0,0,0,7650,66,1,0,159,0,0,0,0,0,0,0
117837,21402,Boston's Breaded Mild Wings,starter size - 394 g,900,52,0,0,0,3380,21,2,0,72,0,0,0,0,0,0,0
117838,21402,Boston's Breaded Mild Wings,double order - 810 g,1950,114,0,0,0,7460,38,1,0,159,0,0,0,0,0,0,0
117839,21402,Boston's Breaded Hot Wings,starter size - 422 g,900,52,0,0,0,4420,22,2,0,73,0,0,0,0,0,0,0
117840,21402,Boston's Breaded Hot Wings,double order - 867 g,1960,115,0,0,0,9540,40,2,0,159,0,0,0,0,0,0,0
117841,21402,Boston's Breaded Teriyaki Wings,starter size - 445 g,950,52,0,0,0,3730,34,2,0,73,0,0,0,0,0,0,0
117842,21402,Boston's Breaded Teriyaki Wings,double order - 867 g,2050,115,0,0,0,8110,62,2,0,160,0,0,0,0,0,0,0
117843,21402,Bandera Pizza Bread,333 g,950,53,0,0,0,1850,89,1,0,31,0,0,0,0,0,0,0
117844,21402,Boston's Pizza Bread,190 g,510,13,0,0,0,640,83,1,0,14,0,0,0,0,0,0,0
117845,21402,Garlic Twist Bread,single order - 198 g,560,20,0,0,0,1350,82,1,0,14,0,0,0,0,0,0,0
117846,21402,Garlic Twist Bread,basket to share - 397 g,1130,40,0,0,0,2690,164,1,0,28,0,0,0,0,0,0,0
117847,21402,Three Cheese Toast,single order - 124 g,370,18,0,0,0,780,36,1,0,16,0,0,0,0,0,0,0
117848,21402,Three Cheese Toast,basket to share - 243 g,740,36,0,0,0,1560,71,1,0,32,0,0,0,0,0,0,0
117849,21402,Taco Beef Nachos,682 g,1550,88,0,0,0,2070,128,13,0,67,0,0,0,0,0,0,0
117850,21402,Spicy Chicken Nachos,682 g,1390,72,0,0,0,2640,127,13,0,65,0,0,0,0,0,0,0
117851,21402,Nachos,597 g,1320,71,0,0,0,1790,126,12,0,53,0,0,0,0,0,0,0
117852,21402,Baked Garlic Prawns & Scallops,234 g,290,18,0,0,0,210,4,2,0,29,0,0,0,0,0,0,0
117853,21402,Cactus Cuts Potatoes & Dip,454 g,930,64,0,0,0,1260,73,7,0,15,0,0,0,0,0,0,0
117854,21402,Cactus Nachos,774 g,1660,109,0,0,0,3030,112,12,0,58,0,0,0,0,0,0,0
117855,21402,Chicken Fingers,284 g,370,14,0,0,0,540,15,1,0,46,0,0,0,0,0,0,0
