menu_id,menu_name,restaurant_id
21438,Bread Sides,1194
21439,Chicken Sides,1194
21440,Salads & Dressings,1194
21441,"12"" Medium Classic Hand-Tossed Pizzas",1194
21442,"12"" Medium Ultimate Deep Dish Pizzas",1194
21443,"12"" Medium Crunchy Thin Crust Pizzas",1194
21444,"14"" Large Classic Hand-Tossed Pizzas",1194
21445,"14"" Large Ultimate Deep Dish Pizzas",1194
21446,"14"" Large Crunchy Thin Crust Pizzas",1194
21447,"12"" Medium Pizza Crust/Sauce/Cheese Options",1194
21448,"14"" Large Pizza Crust/Sauce/Cheese Options",1194
21449,"12"" Medium 2-or-3-Topping Pizza Toppings",1194
21450,"14"" Large 2-or-3-Topping Pizza Toppings",1194
21451,"12"" Medium Single-Topping Pizza Toppings",1194
21452,"14"" Large Single-Topping Pizza Toppings",1194
