food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
120491,21469,Cheese,1/4 pizza - 63.8 g,170,6,1.5,0,5,270,22,0,1,5,0,0,0,0,0,0,0
120492,21469,Cheese,1/4 pizza - 68.3 g,190,8,2.5,0,10,360,22,0,1,6,0,0,0,0,0,0,0
120493,21469,Cheese,1/4 pizza - 67.3 g,170,6,1.5,0,5,270,22,0,1,5,0,0,0,0,0,0,0
120494,21469,Cheese,1/4 pizza - 70.8 g,190,7.5,2,0,10,320,22,0,1,6,0,0,0,0,0,0,0
120495,21469,Cheese,1/4 pizza - 67.3 g,175,6.5,1.5,0,5,295,22,0,1,5,0,0,0,0,0,0,0
120496,21469,Cheese,1/4 pizza - 65.8 g,175,6,1.5,0,5,285,22,0,1,5,0,0,0,0,0,0,0
120497,21469,Cheese,1/4 pizza - 67.3 g,175,6.5,1.5,0,5,310,22,0,1,5,0,0,0,0,0,0,0
120498,21469,Cheese,1/4 pizza - 67.3 g,170,6,1.5,0,5,270,22,0,1,5,0,0,0,0,0,0,0
120499,21469,Cheese,1/4 pizza - 67.8 g,175,6,1.5,0,5,325,22,0,1,6,0,0,0,0,0,0,0
120500,21469,Cheese,1/4 pizza - 68.3 g,170,6,1.5,0,5,315,22,0,1,5,0,0,0,0,0,0,0
120501,21469,Cheese,1/4 pizza - 69.8 g,170,6,1.5,0,5,290,22,0,1,5,0,0,0,0,0,0,0
120502,21469,Cheese,1/4 pizza - 67.3 g,170,6,1.5,0,5,270,22,0,1,5,0,0,0,0,0,0,0
120503,21469,Cheese,1/4 pizza - 66.8 g,185,7.5,1.5,0,10,420,22,0,1,6,0,0,0,0,0,0,0
120504,21469,Cheese,1/4 pizza - 70.8 g,175,6,1.5,0,5,270,23,0,2,5,0,0,0,0,0,0,0
120505,21469,Cheese,1/4 pizza - 68.3 g,185,7,1.5,0,5,310,22,0,1,6,0,0,0,0,0,0,0
120506,21469,Cheese,1/4 pizza - 70.8 g,170,6,1.5,0,5,270,22,0,1,5,0,0,0,0,0,0,0
120507,21469,All-Meat,1/4 pizza - 76 g,210,10,3,0,15,500,22,0,1,7,0,0,0,0,0,0,0
120508,21469,BBQ Chicken,1/4 pizza - 72 g,180,6,1.5,0,5,350,26,1,4,6,0,0,0,0,0,0,0
120509,21469,Deluxe,1/4 pizza - 80 g,190,8,2,0,10,440,23,0,1,6,0,0,0,0,0,0,0
120510,21469,Dutch Crunch,1/4 pizza - 91 g,290,6,1,0,0,310,56,1,21,4,0,0,0,0,0,0,0
120511,21469,Garden Vegetable,1/4 pizza - 81 g,180,7,1.5,0,5,330,23,0,1,5,0,0,0,0,0,0,0
120512,21469,Hawaiian,1/4 pizza - 79 g,190,8,2.5,0,10,420,23,0,2,7,0,0,0,0,0,0,0
120513,21469,PBJ,1/4 pizza - 72 g,230,8,1.5,0,0,210,34,1,12,5,0,0,0,0,0,0,0
120514,21469,Taco,1/4 pizza - 83 g,180,8,2.5,0,5,270,23,0,1,6,0,0,0,0,0,0,0
120515,21469,Tower,1/4 pizza - 87 g,210,10,2.5,0,10,530,23,0,1,7,0,0,0,0,0,0,0
120516,21470,Cheese,1/6 pizza - 74 g,200,9,2.5,0,10,320,24,0,1,6,0,0,0,0,0,0,0
120517,21470,Cheese,1/6 pizza - 80 g,230,11.5,3.5,0,15,435,24,0,1,8,0,0,0,0,0,0,0
120518,21470,Cheese,1/6 pizza - 78.5 g,200,9,2.5,0,10,320,24,0,1,6,0,0,0,0,0,0,0
120519,21470,Cheese,1/6 pizza - 81 g,220,10.5,3,0,15,370,24,0,1,7,0,0,0,0,0,0,0
120520,21470,Cheese,1/6 pizza - 78.5 g,205,9.5,2.5,0,10,350,24,0,1,6,0,0,0,0,0,0,0
120521,21470,Cheese,1/6 pizza - 82 g,220,10.5,3.5,0,15,365,24,0,1,7,0,0,0,0,0,0,0
120522,21470,Cheese,1/6 pizza - 78.5 g,210,9.5,2.5,0,10,375,24,0,1,6,0,0,0,0,0,0,0
120523,21470,Cheese,1/6 pizza - 78.5 g,200,9,2.5,0,10,320,24,0,1,6,0,0,0,0,0,0,0
120524,21470,Cheese,1/6 pizza - 79 g,205,9,2.5,0,15,390,24,0,1,7,0,0,0,0,0,0,0
120525,21470,Cheese,1/6 pizza - 80 g,200,9,2.5,0,10,375,24,0,1,6,0,0,0,0,0,0,0
120526,21470,Cheese,1/6 pizza - 80 g,200,9,2.5,0,10,340,24,0,1,6,0,0,0,0,0,0,0
120527,21470,Cheese,1/6 pizza - 78.5 g,200,9,2.5,0,10,320,24,0,1,6,0,0,0,0,0,0,0
120528,21470,Cheese,1/6 pizza - 78.5 g,220,11,3,0,15,520,24,0,1,7,0,0,0,0,0,0,0
120529,21470,Cheese,1/6 pizza - 81 g,205,9,2.5,0,10,320,25,0,2,6,0,0,0,0,0,0,0
120530,21470,Cheese,1/6 pizza - 78.5 g,215,10.5,2.5,0,10,365,24,0,1,7,0,0,0,0,0,0,0
120531,21470,Cheese,1/6 pizza - 81 g,200,9,2.5,0,10,320,24,0,1,6,0,0,0,0,0,0,0
120532,21470,All-Meat,1/6 pizza - 91 g,250,13,4,0,20,630,24,0,1,9,0,0,0,0,0,0,0
120533,21470,BBQ Chicken,1/6 pizza - 88 g,220,9,2.5,0,10,420,29,1,5,8,0,0,0,0,0,0,0
120534,21470,Deluxe,1/6 pizza - 96 g,230,11,3,0,10,540,25,1,1,8,0,0,0,0,0,0,0
120535,21470,Dutch Crunch,1/6 pizza - 111 g,360,8,1,0,0,370,70,1,28,4,0,0,0,0,0,0,0
120536,21470,Garden Vegetable,1/6 pizza - 97 g,210,10,2.5,0,10,390,25,1,1,7,0,0,0,0,0,0,0
120537,21470,Hawaiian,1/6 pizza - 92 g,240,12,3.5,0,15,510,25,0,2,9,0,0,0,0,0,0,0
120538,21470,PBJ,1/6 pizza - 81 g,260,10,1.5,0,0,230,38,1,13,6,0,0,0,0,0,0,0
120539,21470,Taco,1/6 pizza - 100 g,220,10,3,0,10,330,24,1,1,7,0,0,0,0,0,0,0
120540,21470,Tower,1/6 pizza - 105 g,250,13,4,0,15,670,25,1,1,9,0,0,0,0,0,0,0
120541,21471,Cheese,1/6 pizza - 53 g,120,4.5,2,0,10,260,15,0,1,5,0,0,0,0,0,0,0
120542,21471,Cheese,1/6 pizza - 61 g,160,7.5,3.5,0,20,420,15,0,1,7,0,0,0,0,0,0,0
120543,21471,Cheese,1/6 pizza - 59 g,120,4.5,2,0,10,260,15,0,1,5,0,0,0,0,0,0,0
120544,21471,Cheese,1/6 pizza - 62 g,150,7,3,0,15,330,15,0,1,6,0,0,0,0,0,0,0
120545,21471,Cheese,1/6 pizza - 59 g,130,5.5,2,0,10,300,15,0,1,5,0,0,0,0,0,0,0
120546,21471,Cheese,1/6 pizza - 61 g,140,6,3,0,15,305,15,0,1,6,0,0,0,0,0,0,0
120547,21471,Cheese,1/6 pizza - 59 g,130,5.5,2,0,10,325,15,0,1,5,0,0,0,0,0,0,0
120548,21471,Cheese,1/6 pizza - 59 g,120,4.5,2,0,10,260,15,0,1,5,0,0,0,0,0,0,0
120549,21471,Cheese,1/6 pizza - 61 g,130,4.5,2,0,15,360,15,0,1,6,0,0,0,0,0,0,0
120550,21471,Cheese,1/6 pizza - 59 g,120,4.5,2,0,10,315,15,0,1,5,0,0,0,0,0,0,0
120551,21471,Cheese,1/6 pizza - 60 g,120,4.5,2,0,10,290,15,0,1,5,0,0,0,0,0,0,0
120552,21471,Cheese,1/6 pizza - 59 g,120,4.5,2,0,10,260,16,0,1,5,0,0,0,0,0,0,0
120553,21471,Cheese,1/6 pizza - 59 g,150,7,2.5,0,15,540,15,0,1,6,0,0,0,0,0,0,0
120554,21471,Cheese,1/6 pizza - 62 g,125,4.5,2,0,10,260,16,0,2,5,0,0,0,0,0,0,0
120555,21471,Cheese,1/6 pizza - 61 g,145,6.5,2.5,0,15,335,16,0,1,6,0,0,0,0,0,0,0
120556,21471,Cheese,1/6 pizza - 61 g,120,4.5,2,0,10,260,15,0,1,5,0,0,0,0,0,0,0
120557,21471,All-Meat,1/6 pizza - 75 g,190,10,4,0,25,680,16,0,1,9,0,0,0,0,0,0,0
120558,21471,BBQ Chicken,1/6 pizza - 69 g,140,4.5,2,0,10,370,20,1,5,7,0,0,0,0,0,0,0
120559,21471,Deluxe,1/6 pizza - 81 g,160,8,3,0,15,560,17,1,1,6,0,0,0,0,0,0,0
120560,21471,Dutch Crunch,1/6 pizza - 90 g,280,3.5,0.5,0,0,310,62,1,28,3,0,0,0,0,0,0,0
120561,21471,Garden Vegetable,1/6 pizza - 82 g,140,6,2,0,5,350,17,1,1,5,0,0,0,0,0,0,0
120562,21471,Hawaiian,1/6 pizza - 78 g,170,8,3.5,0,20,520,17,0,2,8,0,0,0,0,0,0,0
120563,21471,PBJ,1/6 pizza - 60 g,180,6,1,0,0,160,29,1,13,4,0,0,0,0,0,0,0
120564,21471,Taco,1/6 pizza - 84 g,150,6,3,0,10,290,16,0,1,6,0,0,0,0,0,0,0
120565,21471,Tower,1/6 pizza - 94 g,190,10,3.5,0,20,730,17,1,1,8,0,0,0,0,0,0,0
120566,21472,Cheese,1/8 pizza - 58 g,130,6,2.5,0,10,240,13,1,1,5,0,0,0,0,0,0,0
120567,21472,Cheese,1/8 pizza - 69 g,180,10.5,4.5,0,20,460,13,1,1,8,0,0,0,0,0,0,0
120568,21472,Cheese,1/8 pizza - 65 g,130,6,2.5,0,10,240,13,1,1,5,0,0,0,0,0,0,0
120569,21472,Cheese,1/8 pizza - 70 g,165,9,3.5,0,15,325,13,1,1,7,0,0,0,0,0,0,0
120570,21472,Cheese,1/8 pizza - 65 g,140,7,2.5,0,10,290,13,1,1,5,0,0,0,0,0,0,0
120571,21472,Cheese,1/8 pizza - 65 g,150,7.5,3.5,0,15,285,13,1,1,6,0,0,0,0,0,0,0
120572,21472,Cheese,1/8 pizza - 65 g,145,7,2.5,0,10,325,13,1,1,5,0,0,0,0,0,0,0
120573,21472,Cheese,1/8 pizza - 65 g,130,6,2.5,0,10,240,13,1,1,5,0,0,0,0,0,0,0
120574,21472,Cheese,1/8 pizza - 68 g,140,6.5,2.5,0,15,370,13,1,1,6,0,0,0,0,0,0,0
120575,21472,Cheese,1/8 pizza - 65 g,130,6,2.5,0,10,310,13,1,1,5,0,0,0,0,0,0,0
120576,21472,Cheese,1/8 pizza - 69 g,130,6,2.5,0,10,280,13,1,1,5,0,0,0,0,0,0,0
120577,21472,Cheese,1/8 pizza - 65 g,135,6,2.5,0,10,240,14,1,1,5,0,0,0,0,0,0,0
120578,21472,Cheese,1/8 pizza - 66 g,165,9.5,3.5,0,20,610,13,1,1,7,0,0,0,0,0,0,0
120579,21472,Cheese,1/8 pizza - 70 g,135,6,2.5,0,10,240,15,1,2,5,0,0,0,0,0,0,0
120580,21472,Cheese,1/8 pizza - 69 g,165,9,3.5,0,15,345,14,1,1,6,0,0,0,0,0,0,0
