food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
120796,21482,All Meat Combo,1/4 pizza,220,10,0,0,20,480,21,1,0,10,0,0,0,0,0,0,0
120797,21482,Bacon Cheeseburger,1/4 pizza,210,10,0,0,25,530,21,1,0,10,0,0,0,0,0,0,0
120798,21482,Cheese,1/4 pizza,150,4,0,0,10,240,20,1,0,7,0,0,0,0,0,0,0
120799,21482,Combo,1/4 pizza,210,8,0,0,20,490,22,2,0,10,0,0,0,0,0,0,0
120800,21482,Hawaiian,1/4 pizza,160,4,0,0,10,270,23,1,0,7,0,0,0,0,0,0,0
120801,21482,Hot Stuf,1/4 pizza,210,9,0,0,20,480,21,1,0,10,0,0,0,0,0,0,0
120802,21482,Humble Pie,1/4 pizza,230,11,0,0,25,420,21,1,0,10,0,0,0,0,0,0,0
120803,21482,Pepperoni,1/4 pizza,160,5,0,0,10,280,20,1,0,7,0,0,0,0,0,0,0
120804,21482,Super Combo,1/4 pizza,220,9,0,0,25,510,22,1,0,11,0,0,0,0,0,0,0
120805,21482,Super Hawaiian,1/4 pizza,180,6,0,0,10,290,21,1,0,8,0,0,0,0,0,0,0
120806,21482,Super Taco,1/4 pizza,230,10,0,0,25,510,22,2,0,11,0,0,0,0,0,0,0
120807,21482,Taco,1/4 pizza,210,9,0,0,20,480,22,1,0,11,0,0,0,0,0,0,0
120808,21482,Veggie,1/4 pizza,160,4.5,0,0,10,290,21,1,0,7,0,0,0,0,0,0,0
120809,21483,All Meat Combo,1/8 pizza,370,16,0,0,35,860,35,2,0,18,0,0,0,0,0,0,0
120810,21483,Bacon Cheeseburger,1/8 pizza,330,13,0,0,35,810,35,2,0,16,0,0,0,0,0,0,0
120811,21483,Cheese,1/8 pizza,260,7,0,0,15,450,34,1,0,12,0,0,0,0,0,0,0
120812,21483,Combo,1/8 pizza,350,14,0,0,30,850,37,3,0,17,0,0,0,0,0,0,0
120813,21483,Hawaiian,1/8 pizza,280,8,0,0,20,550,38,1,0,13,0,0,0,0,0,0,0
120814,21483,Hot Stuf,1/8 pizza,360,6,0,0,35,840,35,2,0,17,0,0,0,0,0,0,0
120815,21483,Humble Pie,1/8 pizza,380,18,0,0,35,750,35,2,0,16,0,0,0,0,0,0,0
120816,21483,Pepperoni,1/8 pizza,290,10,0,0,20,580,34,1,0,13,0,0,0,0,0,0,0
120817,21483,Super Combo,1/8 pizza,390,17,0,0,40,940,37,3,0,19,0,0,0,0,0,0,0
120818,21483,Super Hawaiian,1/8 pizza,280,8,0,0,20,550,37,1,0,13,0,0,0,0,0,0,0
120819,21483,Super Taco,1/8 pizza,390,18,0,0,45,850,36,2,0,19,0,0,0,0,0,0,0
120820,21483,Taco,1/8 pizza,360,16,0,0,40,810,36,2,0,18,0,0,0,0,0,0,0
120821,21483,Veggie,1/8 pizza,270,9,0,0,15,520,36,2,0,12,0,0,0,0,0,0,0
120822,21484,All Meat Combo,1/10 pizza,410,18,0,0,40,940,38,2,0,20,0,0,0,0,0,0,0
120823,21484,Bacon Cheeseburger,1/10 pizza,390,18,0,0,45,910,0.7,2,0,19,0,0,0,0,0,0,0
120824,21484,Cheese,1/10 pizza,290,9,0,0,20,510,36,1,0,14,0,0,0,0,0,0,0
120825,21484,Combo,1/10 pizza,390,16,0,0,35,930,39,3,0,12,0,0,0,0,0,0,0
120826,21484,Hawaiian,1/10 pizza,310,9,0,0,25,610,38,1,0,15,0,0,0,0,0,0,0
120827,21484,Hot Stuf,1/10 pizza,400,18,0,0,40,930,38,2,0,19,0,0,0,0,0,0,0
120828,21484,Humble Pie,1/10 pizza,420,20,0,0,45,830,38,2,0,18,0,0,0,0,0,0,0
120829,21484,Pepperoni,1/10 pizza,330,12,0,0,25,650,36,1,0,15,0,0,0,0,0,0,0
120830,21484,Super Combo,1/10 pizza,430,19,0,0,45,1040,39,3,0,22,0,0,0,0,0,0,0
120831,21484,Super Hawaiian,1/10 pizza,340,12,0,0,25,650,38,2,0,16,0,0,0,0,0,0,0
120832,21484,Super Taco,1/10 pizza,450,22,0,0,60,950,38,3,0,22,0,0,0,0,0,0,0
120833,21484,Taco,1/10 pizza,420,19,0,0,55,920,38,2,0,22,0,0,0,0,0,0,0
120834,21484,Veggie,1/10 pizza,310,10,0,0,20,590,38,2,0,14,0,0,0,0,0,0,0
120835,21485,All Meat Combo,1/10 pizza,610,27,0,0,60,1400,56,3,0,29,0,0,0,0,0,0,0
120836,21485,Bacon Cheeseburger,1/10 pizza,580,27,0,0,65,1400,55,3,0,28,0,0,0,0,0,0,0
120837,21485,Cheese,1/10 pizza,430,13,0,0,25,760,53,2,0,20,0,0,0,0,0,0,0
120838,21485,Combo,1/10 pizza,580,24,0,0,55,1390,57,4,0,28,0,0,0,0,0,0,0
120839,21485,Hawaiian,1/10 pizza,460,13,0,0,35,910,58,2,0,22,0,0,0,0,0,0,0
120840,21485,Hot Stuf,1/10 pizza,590,26,0,0,60,1380,56,3,0,28,0,0,0,0,0,0,0
120841,21485,Humble Pie,1/10 pizza,620,30,0,0,65,1230,56,3,0,27,0,0,0,0,0,0,0
120842,21485,Pepperoni,1/10 pizza,490,18,0,0,40,960,54,2,0,22,0,0,0,0,0,0,0
120843,21485,Super Combo,1/10 pizza,630,28,0,0,70,1530,58,4,0,32,0,0,0,0,0,0,0
120844,21485,Super Hawaiian,1/10 pizza,500,18,0,0,40,950,57,2,0,23,0,0,0,0,0,0,0
120845,21485,Super Taco,1/10 pizza,640,31,0,0,80,1380,57,4,0,31,0,0,0,0,0,0,0
120846,21485,Taco,1/10 pizza,590,27,0,0,70,1330,56,3,0,30,0,0,0,0,0,0,0
120847,21485,Veggie,1/10 pizza,450,14,0,0,25,870,56,3,0,21,0,0,0,0,0,0,0
120848,21486,All Meat Combo,1/8 pizza,300,14,0,0,30,670,27,1,0,14,0,0,0,0,0,0,0
120849,21486,Bacon Cheeseburger,1/8 pizza,270,12,0,0,25,630,26,1,0,13,0,0,0,0,0,0,0
120850,21486,Cheese,1/8 pizza,220,8,0,0,15,370,26,1,0,10,0,0,0,0,0,0,0
120851,21486,Combo,1/8 pizza,290,13,0,0,25,650,28,2,0,13,0,0,0,0,0,0,0
120852,21486,Hawaiian,1/8 pizza,240,8,0,0,15,460,29,1,0,11,0,0,0,0,0,0,0
120853,21486,Hot Stuf,1/8 pizza,290,14,0,0,25,650,27,1,0,13,0,0,0,0,0,0,0
120854,21486,Humble Pie,1/8 pizza,310,15,0,0,30,590,27,1,0,13,0,0,0,0,0,0,0
120855,21486,Pepperoni,1/8 pizza,260,11,0,0,20,490,26,1,0,11,0,0,0,0,0,0,0
120856,21486,Super Combo,1/8 pizza,320,15,0,0,35,740,28,2,0,16,0,0,0,0,0,0,0
120857,21486,Super Hawaiian,1/8 pizza,250,10,0,0,20,480,27,1,0,11,0,0,0,0,0,0,0
120858,21486,Super Taco,1/8 pizza,330,17,0,0,40,650,28,2,0,15,0,0,0,0,0,0,0
120859,21486,Taco,1/8 pizza,300,14,0,0,35,620,27,2,0,15,0,0,0,0,0,0,0
120860,21486,Veggie,1/8 pizza,230,8,0,0,15,420,27,2,0,10,0,0,0,0,0,0,0
120861,21487,All Meat Combo,1/10 pizza,350,17,0,0,35,770,29,2,0,16,0,0,0,0,0,0,0
120862,21487,Bacon Cheeseburger,1/10 pizza,330,16,0,0,35,750,29,1,0,15,0,0,0,0,0,0,0
120863,21487,Cheese,1/10 pizza,250,9,0,0,15,430,28,1,0,11,0,0,0,0,0,0,0
120864,21487,Combo,1/10 pizza,330,15,0,0,30,710,30,2,0,15,0,0,0,0,0,0,0
120865,21487,Hawaiian,1/10 pizza,270,10,0,0,20,520,31,1,0,12,0,0,0,0,0,0,0
120866,21487,Hot Stuf,1/10 pizza,340,17,0,0,30,750,29,1,0,15,0,0,0,0,0,0,0
120867,21487,Humble Pie,1/10 pizza,350,18,0,0,35,680,29,1,0,15,0,0,0,0,0,0,0
120868,21487,Pepperoni,1/10 pizza,290,13,0,0,20,560,28,1,0,12,0,0,0,0,0,0,0
120869,21487,Super Combo,1/10 pizza,370,18,0,0,40,860,31,2,0,18,0,0,0,0,0,0,0
120870,21487,Super Hawaiian,1/10 pizza,290,12,0,0,20,550,30,1,0,13,0,0,0,0,0,0,0
120871,21487,Super Taco,1/10 pizza,380,20,0,0,45,76,30,2,0,17,0,0,0,0,0,0,0
120872,21487,Taco,1/10 pizza,350,17,0,0,40,730,30,2,0,17,0,0,0,0,0,0,0
120873,21487,Veggie,1/10 pizza,260,10,0,0,15,480,30,2,0,11,0,0,0,0,0,0,0
120874,21488,All Meat Combo,1/8 pizza,280,15,0,0,30,570,20,1,0,13,0,0,0,0,0,0,0
120875,21488,Bacon Cheeseburger,1/8 pizza,250,13,0,0,30,530,20,1,0,11,0,0,0,0,0,0,0
120876,21488,Cheese,1/8 pizza,180,8,0,0,15,260,16,1,0,8,0,0,0,0,0,0,0
120877,21488,Combo,1/8 pizza,250,13,0,0,25,540,18,1,0,11,0,0,0,0,0,0,0
120878,21488,Hawaiian,1/8 pizza,200,9,0,0,15,350,19,1,0,9,0,0,0,0,0,0,0
120879,21488,Hot Stuf,1/8 pizza,270,15,0,0,30,550,20,1,0,12,0,0,0,0,0,0,0
120880,21488,Humble Pie,1/8 pizza,270,16,0,0,30,480,17,1,0,11,0,0,0,0,0,0,0
120881,21488,Pepperoni,1/8 pizza,220,11,0,0,20,220,16,1,0,9,0,0,0,0,0,0,0
120882,21488,Super Combo,1/8 pizza,300,16,0,0,35,640,21,2,0,14,0,0,0,0,0,0,0
120883,21488,Super Hawaiian,1/8 pizza,230,11,0,0,20,380,21,1,0,10,0,0,0,0,0,0,0
