food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
121625,21507,Cheese Pizza,1 slice,161,3.6,2.5,0,10.6,370,19.9,0.8,0,9.6,0,0,0,0,0,0,0
121626,21507,Cheese Pizza w/ Pepperoni Topping,1 slice,181,5.4,3.1,0,15.6,438,19.9,0.8,0,10.4,0,0,0,0,0,0,0
121627,21507,Cheese Pizza w/ Ham Topping,1 slice,167,3.9,2.8,0,13.6,440,19.9,0.8,0,10.9,0,0,0,0,0,0,0
121628,21507,Cheese Pizza w/ Mushroom Topping,1 slice,163,3.6,2.5,0,10.6,370,20.3,0.9,0,9.7,0,0,0,0,0,0,0
121629,21507,Cheese Pizza w/ Onions Topping,1 slice,162,3.6,2.5,0,10.6,370,20.2,0.9,0,9.6,0,0,0,0,0,0,0
121630,21507,Cheese Pizza w/ Green Peppers Topping,1 slice,162,3.6,2.5,0,10.6,370,20.2,0.9,0,9.6,0,0,0,0,0,0,0
121631,21507,Cheese Pizza w/ Beef Topping,1 slice,182,4.9,2.8,0,15.6,436,20.2,0.9,0,10.5,0,0,0,0,0,0,0
121632,21507,Cheese Pizza w/ Sausage Topping,1 slice,181,4.8,2.6,0,14.6,456,20.2,0.8,0,10.6,0,0,0,0,0,0,0
121633,21507,Cheese Pizza w/ Bacon Topping,1 slice,184,3.7,2.5,0,11.6,370,20.3,0.8,0,13.6,0,0,0,0,0,0,0
121634,21507,Cheese Pizza w/ Black Olives Topping,1 slice,166,3.7,2.5,0,11.9,403,20.3,0.9,0,9.6,0,0,0,0,0,0,0
121635,21507,Cheese Pizza w/ Green Olives Topping,1 slice,166,3.7,2.5,0,11.9,403,20.3,0.9,0,9.6,0,0,0,0,0,0,0
121636,21507,Cheese Pizza w/ Banana Peppers Topping,1 slice,166,3.6,2.5,0,10.6,490,20.3,0.8,0,9.6,0,0,0,0,0,0,0
121637,21507,Cheese Pizza w/ Pineapple Topping,1 slice,165,3.6,2.5,0,10.6,370,20.9,1.4,0,9.6,0,0,0,0,0,0,0
121638,21507,Cheese Pizza w/ Anchovies Topping,1 slice,195,6.3,3,0,24.4,1022,19.9,0.8,0,15,0,0,0,0,0,0,0
121639,21508,Cheese Pizza,1 slice,191,5.7,2.7,0,11.2,437,23.2,0.9,0,11,0,0,0,0,0,0,0
121640,21508,Cheese Pizza w/ Pepperoni Topping,1 slice,213,7.7,3.4,0,17.2,512,23.2,0.9,0,12,0,0,0,0,0,0,0
121641,21508,Cheese Pizza w/ Ham Topping,1 slice,198,6.1,3.1,0,15.2,518,23.2,0.9,0,12.4,0,0,0,0,0,0,0
