food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
121795,21523,Small Cheese,1 slice - 67 g,180,9,4,0,20,260,17,1,0,8,0,0,0,0,0,0,0
121796,21523,Medium Cheese,1 slice - 76 g,200,10,5,0,20,300,19,1,0,9,0,0,0,0,0,0,0
121797,21523,Large Cheese,1 slice - 80 g,210,10,5,0,20,310,20,1,0,9,0,0,0,0,0,0,0
121798,21523,Small Deluxe Topper,1 slice - 90 g,230,13,6,0,30,390,18,1,0,11,0,0,0,0,0,0,0
121799,21523,Medium Deluxe Topper,1 slice - 105 g,270,16,8,0,35,460,20,1,0,13,0,0,0,0,0,0,0
121800,21523,Large Deluxe Topper,1 slice - 111 g,290,16,8,0,40,490,21,1,0,14,0,0,0,0,0,0,0
121801,21523,Small Meat Topper,1 slice - 89 g,250,15,7,0,35,490,17,1,0,12,0,0,0,0,0,0,0
121802,21523,Medium Meat Topper,1 slice - 102 g,300,18,8,0,45,580,20,1,0,15,0,0,0,0,0,0,0
121803,21523,Large Meat Topper,1 slice - 107 g,310,19,9,0,45,600,21,1,0,16,0,0,0,0,0,0,0
121804,21523,Small Pepperoni Topper,1 slice - 79 g,230,14,7,0,30,410,17,1,0,10,0,0,0,0,0,0,0
121805,21523,Medium Pepperoni Topper,1 slice - 94 g,280,16,8,0,40,500,20,1,0,13,0,0,0,0,0,0,0
121806,21523,Large Pepperoni Topper,1 slice - 97 g,290,17,9,0,40,520,20,1,0,13,0,0,0,0,0,0,0
121807,21523,Small Blanca,1 slice - 62 g,220,13,6,0,25,270,15,1,0,9,0,0,0,0,0,0,0
121808,21523,Medium Blanca,1 slice - 73 g,260,16,7,0,30,330,17,1,0,11,0,0,0,0,0,0,0
121809,21523,Large Blanca,1 slice - 77 g,280,17,8,0,30,350,18,1,0,12,0,0,0,0,0,0,0
121810,21523,Small Veggie Topper,1 slice - 96 g,190,9,4,0,20,350,19,1,0,8,0,0,0,0,0,0,0
121811,21523,Medium Veggie Topper,1 slice - 113 g,220,11,5,0,20,420,21,2,0,10,0,0,0,0,0,0,0
121812,21523,Large Veggie Topper,1 slice - 119 g,230,11,5,0,20,440,22,2,0,10,0,0,0,0,0,0,0
121813,21523,Small Buddy Topper,1 slice - 90 g,233,12,5,0,31,543,17,1,0,12,0,0,0,0,0,0,0
121814,21523,Medium Buddy Topper,1 slice - 105 g,275,15,7,0,38,647,20,1,0,14,0,0,0,0,0,0,0
121815,21523,Large Buddy Topper,1 slice - 110 g,286,15,7,0,39,674,20,1,0,15,0,0,0,0,0,0,0
121816,21523,Small Pelucci Topper,1 slice - 86 g,218,11,5,0,27,470,17,1,0,11,0,0,0,0,0,0,0
121817,21523,Medium Pelucci Topper,1 slice - 102 g,258,13,6,0,33,562,20,1,0,13,0,0,0,0,0,0,0
121818,21523,Large Pelucci Topper,1 slice - 107 g,268,14,6,0,34,587,21,1,0,14,0,0,0,0,0,0,0
121819,21524,Small Cheese,1 slice - 81 g,200,7,4,0,20,350,24,1,0,9,0,0,0,0,0,0,0
