food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
122097,21561,"14"" Cheese Pizza",1 slice - 4 oz - 112.3 g,250,8,4,0,20,450,32,2,3,13,4,8,20,10,0,0,0
122098,21561,"14"" Pepperoni Pizza",1 slice - 4.2 oz - 120.1 g,290,11,5,0,25,610,32,2,3,15,4,8,20,15,0,0,0
122099,21561,"14"" Deluxe Pizza",1 slice - 5.8 oz - 164.8 g,350,16,8,0,35,710,35,2,4,19,20,10,25,15,0,0,0
122100,21561,"14"" Garden Pizza",1 slice - 5.8 oz - 164.4 g,310,12,6,0,30,660,35,2,4,16,8,10,30,15,0,0,0
122101,21562,Steak Sub,1 sub - 161 g,470,24,8,0,60,480,35,3,3,29,2,20,35,20,0,0,0
122102,21563,Cheezy Bread with Sauce,2 pieces - 2 oz - 56.7 g,140,5,2,0,10,230,18,1,1,6,2,4,6,6,0,0,0
122103,21563,Italian Sub,1/2 sub - 5.7 oz - 161.5 g,420,21,9,0,55,880,36,2,3,25,10,6,35,15,0,0,0
122104,21563,Ham Sub,1/2 sub - 5.1 oz - 144.5 g,380,17,7,0,50,690,34,2,2,24,0,6,30,15,0,0,0
122105,21563,Chicken Club Sub,1/2 sub - 6 oz - 170.1 g,450,21,8,0,75,430,34,2,2,31,4,8,35,15,0,0,0
122106,21563,Veggie Sub,1/2 sub - 6.7 oz - 190 g,360,16,6,0,30,440,39,2,4,18,30,10,35,10,0,0,0
