food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
122107,21564,Cheese Dippers (w/o sauce),1/3 order,411.1,18.2,6.9,0,22.7,589.3,47,2.2,2.2,11.8,0,0,0,0,0,0,0
122108,21564,Nachos (sausage w/ jalapeños),1/2 order,517.6,38.7,17.6,0,85.6,1004.2,19.4,1.3,0.2,21.1,0,0,0,0,0,0,0
122109,21564,Nachos (chicken w/ jalapeños),1/2 order,461,32.1,15.3,0,79.8,899.9,19.4,1,0.2,21.9,0,0,0,0,0,0,0
122110,21564,Nachos (beef w/ jalapeños),1/2 order,497.1,36,17.1,0,82.2,952.2,19.6,1.7,0.1,22.3,0,0,0,0,0,0,0
122111,21564,Nachos (cheddar w/ jalapeños),1/2 order,436,31.6,15.2,0,70.9,728.9,18.5,1,0,17.5,0,0,0,0,0,0,0
122112,21564,Garlic Cheese Toast (w/o sauce),1/4 order,207.4,13.8,4.2,0,11.4,391.5,15.3,1,1,6.2,0,0,0,0,0,0,0
122113,21564,Cinnamon Sticks,1/4 order,637.9,36.9,6.5,0,0.5,8643,69.3,5.9,63.3,7.4,0,0,0,0,0,0,0
122114,21564,Garlic Toast (w/o sauce),1/4 order,160,10,2,0,0,280,15,1,1,3,0,0,0,0,0,0,0
122115,21564,Breadsticks (w/o sauce),1/4 order,128.8,3,0.4,0,0.6,258.9,22,1,1,4.3,0,0,0,0,0,0,0
122116,21564,Spicy Chicken Wings (8ct - w/o sauce),1/4 order,110,7.5,1.8,0,55,280,0.5,0,0,10,0,0,0,0,0,0,0
122117,21564,Dip Sauce Ranch,1 serving - 4 oz,549.1,63.3,8.3,0,54.7,1264.3,3.9,0.1,2.4,1.6,0,0,0,0,0,0,0
122118,21564,Dip Sauce Marinara,1 serving - 4 oz,78.1,0.5,0,0,0,546.4,11.6,5,6.3,1.6,0,0,0,0,0,0,0
122119,21564,Dip Sauce Dijon Ranch,1 serving - 4 oz,507.4,57.2,7.5,0,49.4,1403.8,5.7,0.1,2.2,3.6,0,0,0,0,0,0,0
122120,21564,Dip Sauce Bleu Cheese,1 serving - 4 oz,604.8,64.3,13.2,0,56.7,1171.8,3.8,0,3.8,3.8,0,0,0,0,0,0,0
122121,21564,Spinach Artichoke Dip (w/ bread),1/4 order,231.7,15.6,5.5,0,14.2,489.5,17.8,1.7,1.8,7,0,0,0,0,0,0,0
122122,21565,Pepperoni (w/o sauce),1/10 pizza,263.2,10.1,5.1,0,22.4,530.1,32.6,1.5,1.6,9,0,0,0,0,0,0,0
122123,21565,Ham/Bacon & Cheddar (w/o sauce),1/10 pizza,245.2,7.4,3.9,0,21.7,535.5,32.4,1.5,1.8,9.8,0,0,0,0,0,0,0
122124,21565,4 Meat Plus (w/o sauce),1/10 pizza,276.9,11.1,5.3,0,23.4,578.4,33,1.7,1.7,9.8,0,0,0,0,0,0,0
122125,21566,4 Meat,1/8 pizza,235.6,15.3,7.6,0,40.4,919.3,17.6,1.6,0.9,11.9,0,0,0,0,0,0,0
122126,21566,California Alfredo,1/8 pizza,216.6,12.9,7.6,0,44.6,693.4,17.9,0.9,1.5,12.4,0,0,0,0,0,0,0
122127,21566,Canadian Bacon,1/8 pizza,162.8,8.2,4.8,0,28.6,762.3,17.2,1.2,0.9,10,0,0,0,0,0,0,0
122128,21566,Cheese,1/8 pizza,160.8,9.2,5.6,0,28,714.5,17,1.2,0.7,9.1,0,0,0,0,0,0,0
122129,21566,Cheese Buster,1/8 pizza,198.2,10,5.5,0,25.5,505.3,17.1,1.3,0.7,9.2,0,0,0,0,0,0,0
122130,21566,Chicken,1/8 pizza,170.5,8,4.6,0,30.7,783.4,17.8,1.3,1,11.9,0,0,0,0,0,0,0
122131,21566,Chicken Club,1/8 pizza,182.5,9,5,0,32,856.9,18,1.4,1.4,12.4,0,0,0,0,0,0,0
122132,21566,Chicken Fried Chicken,1/8 pizza,216.6,12.9,7.5,0,41.3,580,19.4,1.1,1.6,11,0,0,0,0,0,0,0
122133,21566,Combo,1/8 pizza,213.2,13.4,6.4,0,33.3,842.8,18.1,1.5,1.2,10.1,0,0,0,0,0,0,0
122134,21566,Greek,1/8 pizza,255.8,17.4,6.4,0,29.9,665,18.5,0.9,0.7,11,0,0,0,0,0,0,0
122135,21566,Hamburger,1/8 pizza,191.3,10.8,6,0,30.3,779.9,17.7,1.7,0.8,11.1,0,0,0,0,0,0,0
122136,21566,Lucky 7,1/8 pizza,185.7,10.7,5.5,0,27.8,750.6,18.5,1.6,1.5,8.9,0,0,0,0,0,0,0
122137,21566,Mazzio's Works,1/8 pizza,237.9,15.3,7.1,0,38.7,949.2,18.4,1.6,1.3,11.6,0,0,0,0,0,0,0
122138,21566,Meatbuster,1/8 pizza,219.2,13.7,6.7,0,35.1,838.8,17.5,1.6,0.9,10.7,0,0,0,0,0,0,0
122139,21566,Mexican,1/8 pizza,247,14.5,7,0,35.4,876.8,21.9,2.6,1.5,12,0,0,0,0,0,0,0
122140,21566,Pepperoni,1/8 pizza,184.8,11.2,6.2,0,31.6,744.5,16.9,1.2,0.7,9.2,0,0,0,0,0,0,0
122141,21566,Sausage,1/8 pizza,206.6,12.8,6.3,0,32.8,818.9,17.6,1.5,0.9,10.2,0,0,0,0,0,0,0
122142,21566,Supreme Buster,1/8 pizza,190.1,11.2,5.7,0,29.3,737.7,17.7,1.5,1.1,9,0,0,0,0,0,0,0
122143,21566,Veggie,1/8 pizza,162.9,8.8,4.5,0,21.8,674.2,18.1,1.5,1.2,7.8,0,0,0,0,0,0,0
122144,21567,4 Meat,1/8 pizza,288,15.1,7.8,0,40.4,957.7,29.4,2.1,1.6,13.2,0,0,0,0,0,0,0
122145,21567,California Alfredo,1/8 pizza,268.9,12.6,7.8,0,44.6,731.8,29.7,1.4,2.2,13.7,0,0,0,0,0,0,0
122146,21567,Canadian Bacon,1/8 pizza,215.2,7.9,5,0,28.6,800.8,29,1.8,1.6,11.3,0,0,0,0,0,0,0
122147,21567,Cheese,1/8 pizza,213.2,8.9,5.8,0,28,753,28.8,1.8,1.4,10.4,0,0,0,0,0,0,0
122148,21567,Cheese Buster,1/8 pizza,250.5,9.7,5.7,0,25.5,543.8,29,1.8,1.4,10.5,0,0,0,0,0,0,0
122149,21567,Chicken,1/8 pizza,222.8,7.7,4.8,0,30.7,821.8,29.6,1.8,1.7,13.2,0,0,0,0,0,0,0
122150,21567,Chicken Club,1/8 pizza,234.9,8.7,5.1,0,32,895.3,29.8,1.9,2.1,13.7,0,0,0,0,0,0,0
122151,21567,Chicken Fried Chicken,1/8 pizza,268.9,12.6,7.6,0,41.3,618.5,31.3,1.6,2.2,12.3,0,0,0,0,0,0,0
122152,21567,Combo,1/8 pizza,265.5,13.1,6.6,0,33.3,881.3,29.9,2,1.9,11.4,0,0,0,0,0,0,0
122153,21567,Greek,1/8 pizza,308.2,17.1,6.6,0,29.9,703.5,30.3,1.4,1.4,12.3,0,0,0,0,0,0,0
122154,21567,Hamburger,1/8 pizza,243.6,10.5,6.1,0,30.3,818.3,29.5,2.2,1.5,12.4,0,0,0,0,0,0,0
122155,21567,Lucky 7,1/8 pizza,238.1,10.4,5.7,0,27.8,789.1,30.3,2.1,2.2,10.2,0,0,0,0,0,0,0
122156,21567,Mazzio's Works,1/8 pizza,290.3,15,7.3,0,38.7,987.6,30.2,2.1,2,12.9,0,0,0,0,0,0,0
122157,21567,Meatbuster,1/8 pizza,271.5,13.4,6.9,0,35.1,877.2,29.4,2.1,1.6,12,0,0,0,0,0,0,0
122158,21567,Mexican,1/8 pizza,299.4,14.3,7.2,0,35.4,915.2,33.7,3.1,2.2,13.4,0,0,0,0,0,0,0
122159,21567,Pepperoni,1/8 pizza,237.1,10.9,6.4,0,31.6,783,28.7,1.8,1.4,10.5,0,0,0,0,0,0,0
122160,21567,Sausage,1/8 pizza,259,12.5,6.5,0,32.8,857.3,29.4,2,1.6,11.6,0,0,0,0,0,0,0
122161,21567,Supreme Buster,1/8 pizza,242.5,10.9,5.9,0,29.3,776.2,29.5,2,1.8,10.4,0,0,0,0,0,0,0
122162,21567,Veggie,1/8 pizza,215.2,8.6,4.7,0,21.8,712.7,29.9,2,1.9,9.1,0,0,0,0,0,0,0
122163,21568,4 Meat,1/8 pizza,386.7,21.9,8.9,0,40.4,1096,37,2.5,2.2,14.1,0,0,0,0,0,0,0
122164,21568,California Alfredo,1/8 pizza,367.7,19.4,8.9,0,44.6,870.1,37.3,1.8,2.8,14.7,0,0,0,0,0,0,0
122165,21568,Canadian Bacon,1/8 pizza,313.9,14.7,6.1,0,28.7,939.1,36.6,2.2,2.2,12.3,0,0,0,0,0,0,0
122166,21568,Cheese,1/8 pizza,311.9,15.7,6.9,0,28,891.3,36.4,2.2,2,11.4,0,0,0,0,0,0,0
122167,21568,Cheese Buster,1/8 pizza,349.3,16.5,6.8,0,25.6,682.1,36.5,2.2,2,11.5,0,0,0,0,0,0,0
122168,21568,Chicken,1/8 pizza,321.6,14.5,5.9,0,30.8,960.1,37.2,2.2,2.3,14.2,0,0,0,0,0,0,0
122169,21568,Chicken Club,1/8 pizza,333.6,15.5,6.3,0,32,1033.6,37.4,2.3,2.7,14.7,0,0,0,0,0,0,0
122170,21568,Chicken Fried Chicken,1/8 pizza,367.7,19.4,8.8,0,41.4,756.8,38.9,2,2.9,13.3,0,0,0,0,0,0,0
122171,21568,Combo,1/8 pizza,364.3,19.9,7.7,0,33.3,1019.6,37.5,2.5,2.5,12.4,0,0,0,0,0,0,0
122172,21568,Greek,1/8 pizza,407,23.9,7.7,0,29.9,841.8,37.9,1.8,2,13.3,0,0,0,0,0,0,0
122173,21568,Hamburger,1/8 pizza,342.4,17.3,7.3,0,30.3,956.6,37.1,2.7,2.1,13.4,0,0,0,0,0,0,0
122174,21568,Lucky 7,1/8 pizza,336.8,17.2,6.8,0,27.8,927.4,37.9,2.5,2.8,11.2,0,0,0,0,0,0,0
122175,21568,Mazzio's Works,1/8 pizza,389.1,21.8,8.4,0,38.7,1125.9,37.8,2.5,2.6,13.9,0,0,0,0,0,0,0
122176,21568,Meatbuster,1/8 pizza,370.3,20.2,8,0,35.1,1015.5,36.9,2.5,2.2,13,0,0,0,0,0,0,0
122177,21568,Mexican,1/8 pizza,398.2,21.1,8.3,0,35.4,1053.5,41.3,3.5,2.8,14.3,0,0,0,0,0,0,0
122178,21568,Pepperoni,1/8 pizza,335.9,17.7,7.5,0,31.6,921.3,36.3,2.2,2,11.5,0,0,0,0,0,0,0
122179,21568,Sausage,1/8 pizza,357.8,19.3,7.6,0,32.8,995.6,37,2.4,2.2,12.5,0,0,0,0,0,0,0
122180,21568,Supreme Buster,1/8 pizza,341.3,17.7,7,0,29.3,914.5,37.1,2.4,2.4,11.3,0,0,0,0,0,0,0
122181,21568,Veggie,1/8 pizza,314,15.4,5.8,0,21.8,851,37.5,2.4,2.5,10.1,0,0,0,0,0,0,0
122182,21569,Spaghetti w/ Marinara & 4 Meatballs (w/o bread),1 serving,1027.4,29.9,11.6,0,65.6,2214.4,133.1,19.2,23.7,40.4,0,0,0,0,0,0,0
122183,21569,Spaghetti w/ Meat Sauce (w/o bread),1 serving,831.9,25.7,8.8,0,63.3,1179.3,110.2,7.4,14.4,36.1,0,0,0,0,0,0,0
122184,21569,Spaghetti w/ Meat Sauce & 4 Meatballs (w/o bread),1 serving,1162.4,51.1,19.5,0,127,1828.6,116.5,8.8,15.2,55.5,0,0,0,0,0,0,0
122185,21569,Spaghetti w/ Marinara (w/o bread),1 serving,696.8,4.6,0.9,0,1.8,1565.2,126.9,17.8,22.9,21,0,0,0,0,0,0,0
122186,21569,Lasagna w/ Meat Sauce (w/o bread),1 serving,940.3,52.7,23.7,0,264.6,2901.2,60.5,7.6,12.2,57.4,0,0,0,0,0,0,0
122187,21569,Lasagna w/ Marinara (w/o bread),1 serving,760.1,24.5,13.2,0,182.6,3415.7,82.7,21.5,23.6,37.3,0,0,0,0,0,0,0
122188,21569,Lasagna w/ Alfredo (w/o bread),1 serving,1248.6,93.5,57.4,0,431.6,2401.4,54.3,2.9,9,54.4,0,0,0,0,0,0,0
